CHEMBL355330	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCC1
CHEMBL211508	COc1ccccc1Oc1ccc2n[nH]c(-c3nc4ccc(N5CCC([NH+]6CCCCC6)CC5)cc4[nH]3)c2c1
CHEMBL211508	COc1ccccc1Oc1ccc2n[nH]c(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)c2c1
CHEMBL211508	COc1ccccc1Oc1ccc2[nH]nc(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)c2c1
CHEMBL418270	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1
CHEMBL169467	COc1ccc(CC(CO)n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1
CHEMBL211662	c1ccc(Oc2ccc3n[nH]c(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)cc1
CHEMBL211662	c1ccc(Oc2ccc3[nH]nc(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)cc1
CHEMBL455164	CSc1nc(N2CCCCC2)c2cnn(CC(Br)c3ccccc3)c2n1
CHEMBL459850	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O
CHEMBL270492	Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccccc4F)ncnc32)cc1
CHEMBL378024	CC(C)(C)NC(=O)Nc1ccc2[nH]nc(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)c2c1
CHEMBL378024	CC(C)(C)NC(=O)Nc1ccc2[nH]nc(-c3nc4ccc(N5CCC([NH+]6CCCCC6)CC5)cc4[nH]3)c2c1
CHEMBL454358	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CCOCC3)nc21
CHEMBL209704	c1ccc(COc2ccc3c(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)n[nH]c3c2)cc1
CHEMBL209704	c1ccc(COc2ccc3c(-c4nc5ccc(N6CCC([NH+]7CCCCC7)CC6)cc5[nH]4)n[nH]c3c2)cc1
