CHEMBL606666	CCCc1ccccc1C[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL157723	O=C(OCc1ccccc1)c1cc2c(c(CCn3cnc4c3NC=[NH+]C[C@@H]4O)c1)CCCC2
CHEMBL157723	O=C(OCc1ccccc1)c1cc2c(c(CCn3cnc4c3NC=[NH+]C[C@H]4O)c1)CCCC2
CHEMBL334197	CCCCCC(=O)Nc1ccc2ccn(CC[C@H](CO)n3cnc(C(N)=O)c3)c2c1
CHEMBL123620	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(OCCCCc4ccccc4)cc32)cn1
CHEMBL333809	CCCCCCOc1ccc2ccn(CC[C@H](CO)n3cnc(C(N)=O)c3)c2c1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@@H]1C[C@H](O)[C@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@@H]1C[C@H](O)[C@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL405920	CNc1cc[nH+]c2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1
CHEMBL405920	CNc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1
CHEMBL37053	CCOC(=O)CCCCCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL37053	CCOC(=O)CCCCCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL125038	CCCCCCOc1ccc2c(c1)c(CC[C@H](CO)n1cnc(C(N)=O)c1)cn2C
CHEMBL363042	CCCCCCCCCCn1cc2c(N)ncnc2n1
CHEMBL17889	CCCCCC[C@H]([C@H](C)O)n1cnc(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@H]([C@H](C)O)n1c[nH+]c(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@H]([C@@H](C)O)n1cnc(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@H]([C@@H](C)O)n1c[nH+]c(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@@H]([C@H](C)O)n1cnc(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@@H]([C@H](C)O)n1c[nH+]c(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@@H]([C@@H](C)O)n1cnc(C(=O)NC)c1
CHEMBL17889	CCCCCC[C@@H]([C@@H](C)O)n1c[nH+]c(C(=O)NC)c1
CHEMBL17825	CCCCCC[C@H]([C@H](C)O)n1cnc(C(N)=O)c1
CHEMBL17825	CCCCCC[C@H]([C@@H](C)O)n1cnc(C(N)=O)c1
CHEMBL17825	CCCCCC[C@@H]([C@H](C)O)n1cnc(C(N)=O)c1
CHEMBL17825	CCCCCC[C@@H]([C@@H](C)O)n1cnc(C(N)=O)c1
CHEMBL37246	CCCCCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL37246	CCCCCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL96719	CCCCCC[C@H]([C@H](C)O)n1cnc2cccnc21
CHEMBL96719	CCCCCC[C@H]([C@@H](C)O)n1cnc2cccnc21
CHEMBL96719	CCCCCC[C@@H]([C@H](C)O)n1cnc2cccnc21
CHEMBL96719	CCCCCC[C@@H]([C@@H](C)O)n1cnc2cccnc21
CHEMBL280784	CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL280784	CCCCCC[C@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL35316	CCC1=[NH+]C[C@@H](O)c2ncn([C@H]3C[C@@H](O)[C@@H](CO)O3)c2N1
CHEMBL418074	Cc1cccc(CC[C@H]([C@H](C)O)n2cnc3c(N)ncnc32)c1
CHEMBL65628	CCCCCC[C@H]([C@H](C)O)n1cncn1
CHEMBL65628	CCCCCC[C@H]([C@@H](C)O)n1cncn1
CHEMBL65628	CCCCCC[C@@H]([C@H](C)O)n1cncn1
CHEMBL65628	CCCCCC[C@@H]([C@@H](C)O)n1cncn1
CHEMBL92404	C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1
CHEMBL64503	CCCCCC[C@H]([C@H](C)O)n1cc[nH+]c1
CHEMBL64503	CCCCCC[C@H]([C@H](C)O)n1ccnc1
CHEMBL64503	CCCCCC[C@H]([C@@H](C)O)n1cc[nH+]c1
CHEMBL64503	CCCCCC[C@H]([C@@H](C)O)n1ccnc1
CHEMBL64503	CCCCCC[C@@H]([C@H](C)O)n1cc[nH+]c1
CHEMBL64503	CCCCCC[C@@H]([C@H](C)O)n1ccnc1
CHEMBL64503	CCCCCC[C@@H]([C@@H](C)O)n1cc[nH+]c1
CHEMBL64503	CCCCCC[C@@H]([C@@H](C)O)n1ccnc1
CHEMBL132985	CCCCCC[C@H]([C@@H]1CO1)n1cnc2c(N)ncnc21
CHEMBL190495	CCCCCCCCCCCn1cc2c(N)ncnc2n1
CHEMBL81390	CCC/C=C\C[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL606664	C[C@@H](O)[C@H](COCCc1ccccc1)n1cnc2c(N)ncnc21
CHEMBL606665	CCCCOC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL104714	CCCCCC[C@H]([C@@H](O)CO)n1cnc2c(N)nccc21
CHEMBL322906	CCCCCC[C@H]([C@@H](O)CF)n1cnc2c(N)nccc21
CHEMBL36986	CNOC(=O)c1ccc(C)c(CCCn2cnc3c2NC=[NH+]C[C@@H]3O)c1
CHEMBL36986	CNOC(=O)c1ccc(C)c(CCCn2cnc3c2NC=[NH+]C[C@H]3O)c1
CHEMBL93647	NC(N)=Nc1nc(-c2ccc(CNc3[nH]c4ccccc4[nH+]3)s2)cs1
CHEMBL93647	N=C(N)Nc1nc(-c2ccc(CNc3[nH]c4ccccc4[nH+]3)s2)cs1
CHEMBL93647	NC(N)=Nc1nc(-c2ccc(CNc3nc4ccccc4[nH]3)s2)cs1
CHEMBL329644	CCCCCC[C@H]([C@H](C)O)n1cnc2cnccc21
CHEMBL329644	CCCCCC[C@H]([C@H](C)O)n1cnc2c[nH+]ccc21
CHEMBL329644	CCCCCC[C@H]([C@@H](C)O)n1cnc2cnccc21
CHEMBL329644	CCCCCC[C@H]([C@@H](C)O)n1cnc2c[nH+]ccc21
CHEMBL329644	CCCCCC[C@@H]([C@H](C)O)n1cnc2cnccc21
CHEMBL329644	CCCCCC[C@@H]([C@H](C)O)n1cnc2c[nH+]ccc21
CHEMBL329644	CCCCCC[C@@H]([C@@H](C)O)n1cnc2cnccc21
CHEMBL329644	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c[nH+]ccc21
CHEMBL18838	CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)cc[nH+]c21
CHEMBL18838	CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ccnc21
CHEMBL18838	CCCCCC[C@H]([C@@H](C)O)n1cnc2c(N)cc[nH+]c21
CHEMBL18838	CCCCCC[C@H]([C@@H](C)O)n1cnc2c(N)ccnc21
CHEMBL18838	CCCCCC[C@@H]([C@H](C)O)n1cnc2c(N)cc[nH+]c21
CHEMBL18838	CCCCCC[C@@H]([C@H](C)O)n1cnc2c(N)ccnc21
CHEMBL18838	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)cc[nH+]c21
CHEMBL18838	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ccnc21
CHEMBL18433	CCCCCC[C@H]([C@H](C)O)n1c[nH+]c(C(N)=S)c1
CHEMBL18433	CCCCCC[C@H]([C@H](C)O)n1cnc(C(N)=S)c1
CHEMBL18433	CCCCCC[C@H]([C@@H](C)O)n1c[nH+]c(C(N)=S)c1
CHEMBL18433	CCCCCC[C@H]([C@@H](C)O)n1cnc(C(N)=S)c1
CHEMBL18433	CCCCCC[C@@H]([C@H](C)O)n1c[nH+]c(C(N)=S)c1
CHEMBL18433	CCCCCC[C@@H]([C@H](C)O)n1cnc(C(N)=S)c1
CHEMBL18433	CCCCCC[C@@H]([C@@H](C)O)n1c[nH+]c(C(N)=S)c1
CHEMBL18433	CCCCCC[C@@H]([C@@H](C)O)n1cnc(C(N)=S)c1
CHEMBL364717	CCCCCCCCn1cc2c(N)ncnc2n1
CHEMBL189168	CCCCCCCCCn1cc2c(N)ncnc2n1
CHEMBL97627	OC[C@H]1O[C@@H](n2cnc3c2N=CCC[C@H]3O)C[C@H]1O
CHEMBL97627	OC[C@H]1O[C@@H](n2cnc3c2N=CCC[C@H]3O)C[C@@H]1O
CHEMBL290111	COC(=O)c1ccc(C)cc1CCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL290111	COC(=O)c1ccc(C)cc1CCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL295003	C[C@H](O)[C@@H](CCCCc1ccccc1)n1cnc2c(N)ncnc21
CHEMBL420174	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCCCCc4ccccc4)cc32)cn1
CHEMBL125208	COc1ccc(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)cc1
CHEMBL43261	Cc1ccc(C[C@H]([C@H](C)O)n2cnc3c(N)ncnc32)cc1
CHEMBL42063	Cc1ccccc1CCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL340086	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCc4cccnc4)cc32)cn1
CHEMBL125386	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)NCc4ccccc4)cc32)cn1
CHEMBL332298	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(OCCCc4ccccc4)cc32)cn1
CHEMBL18078	CCCCCC[C@H]([C@H](C)O)n1cnc(C(N)=O)c1Cl
CHEMBL18078	CCCCCC[C@H]([C@@H](C)O)n1cnc(C(N)=O)c1Cl
CHEMBL18078	CCCCCC[C@@H]([C@H](C)O)n1cnc(C(N)=O)c1Cl
CHEMBL18078	CCCCCC[C@@H]([C@@H](C)O)n1cnc(C(N)=O)c1Cl
