ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC07692711	C[C@H]1CCC[C@@H](NC(=O)[C@@H](C)Sc2nc(N)cc(N)n2)[C@@H]1C
ZINC07978054	CC[C@@H](C)[C@@H](NC(N)=O)C(=O)NNC(=O)C[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC08497416	C[C@@H](CCC(=O)NN)[C@H]1CC[C@H]2[C@H]3[C@H](O)C[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C
ZINC08723910	C[C@H](Sc1nc(N)cc(N)n1)C(=O)Nc1cc(C(F)(F)F)ccc1Cl
ZINC08944654	C[C@H](Sc1nc(N)nc(N)n1)C(=O)Nc1ccccc1Sc1ccccc1
ZINC09366684	C[C@H](Sc1nc(N)nc(N)n1)C(=O)Nc1ccc(C(F)(F)F)cc1
ZINC09366685	C[C@@H](Sc1nc(N)nc(N)n1)C(=O)Nc1ccc(C(F)(F)F)cc1
ZINC10658656	Cc1sc2nc([C@H](C)Sc3nc(N)cc(N)n3)nc(N)c2c1C
ZINC06933458	Nc1nc(N)nc(CSc2nc(-c3cccs3)c(-c3cccs3)[nH]2)n1
ZINC14395035	CC(C)(C)[C@@H]1CCc2sc(C(=O)NNC(=O)c3ccc(NC(N)=O)cc3)cc2C1
ZINC19594485	Cc1ccccc1N/N=C\c1ccc(-c2ccc(S(=O)(=O)N=C(N)N)cc2)o1
ZINC20029335	N#Cc1cc2c(N)c(C(=O)Nc3ccc(OC(F)(F)F)cc3)sc2nc1N
ZINC25258029	CC[C@@H](C)[C@H](NC(N)=O)C(=O)NNC(=O)c1ccc(C(C)(C)C)cc1
ZINC25493233	Nc1nc(N)c(/N=N/c2ccc(Cl)cc2)c(Nc2ccccc2)n1
ZINC32841122	C[C@H](Sc1nc(N)c2ccsc2n1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC18113681	N/C(=N\C(=O)Nc1ccc(F)cc1)Nc1[nH+]c(=O)c2ccccc2s1
ZINC36926825	Cc1cc(Br)ccc1Nc1ccc(S(N)(=O)=O)cc1N
ZINC37130883	NS(=O)(=O)Nc1cccc(NCc2cc(Cl)ccc2O)c1
ZINC05027176	C/C(=C\C(=O)Nc1cccc2c1CCCC2)NNC(=O)c1ccccc1N
ZINC38734499	CC1=C[C@@H](C)N(c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(N)=O)cc2)N1
ZINC39335673	CCOC(=O)c1ccc(NC(=O)c2sc3nc(N)c(C#N)c(C)c3c2N)cc1
ZINC39382300	O=C(C[C@@H]1CS[C@@H](NC(=O)NC2CCCC2)N1)NCCc1c[nH]c2ccccc12
ZINC39646948	Cc1cc(C)cc(N2N[NH2+]N[C@H]2SCc2nc3cc(C(=O)[O-])ccc3c(=O)[nH]2)c1
ZINC39646986	Cc1ccc(N2N[NH2+]N[C@H]2SCc2nc3cc(C(=O)[O-])ccc3c(=O)[nH]2)cc1C
ZINC39774178	N=C1[C@H](C(N)=O)S[C@H](Nc2ccccc2)[C@@H]1C1[NH+]=c2ccccc2=[NH+]1
ZINC40682109	Cc1cc(C)cc(Nc2ncnc(NNC(=O)c3ccco3)c2N)c1
ZINC40688752	Cc1cc([C@H](C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1ncnc(NN)c1N
ZINC40701816	Nc1c(NNC(=O)c2ccccc2)ncnc1Nc1ccccc1C(F)(F)F
ZINC40703377	Cc1cc(Cl)ccc1Nc1ncnc(NNC(=O)c2ccccn2)c1N
ZINC40761077	Nc1c(NNC(=O)c2ccccc2F)ncnc1Nc1nc2ccccc2s1
ZINC40779430	Nc1c(NNC(=O)c2ccc(F)cc2)ncnc1Nc1ccc(Cl)cn1
ZINC40782776	CC(=O)c1ccc(Nc2ncnc(NNC(=O)c3ccc(F)cc3)c2N)cc1
ZINC40783275	Nc1c(NNC(=O)c2ccccc2)ncnc1Nc1ccc(Cl)cc1Cl
ZINC40783292	Nc1c(NNC(=O)c2ccccn2)ncnc1Nc1ccc(Cl)cc1Cl
ZINC40784123	Nc1c(NNC(=O)c2ccccc2)ncnc1Nc1ccc(Br)cc1F
ZINC43734921	C[C@H](Sc1nc(N)cc(N)n1)c1nc2scc(-c3cccs3)c2c(=O)[nH]1
ZINC43734922	C[C@@H](Sc1nc(N)cc(N)n1)c1nc2scc(-c3cccs3)c2c(=O)[nH]1
ZINC49127790	C[C@@H](Nc1ccc(S(N)(=O)=O)cc1N)c1ccc(Cl)s1
ZINC50208892	[NH3+][C@@H]1CCCC[C@@H]1NC(=O)Nc1ccc(Br)cc1C(=O)[O-]
ZINC50557364	CNC(=O)Nc1ccc(NC(=O)C(=O)NNc2ccc(Cl)cc2Cl)cc1
ZINC05249905	C/C(=C\C(=O)Nc1ccc(N(C)C)cc1)NNC(=O)c1ccc(O)cc1O
ZINC06547950	N#Cc1c(NC(=O)CSc2nc(N)cc(N)n2)sc2c1CCCCC2
ZINC59384216	CC1=C(C(=O)N/N=C/c2ccc(O)cc2O)[C@@H](c2ccc(Cl)cc2)NC(=S)N1
ZINC59385071	CC1=C(C(=O)N/N=C/c2ccc(O)cc2O)[C@@H](c2ccc(O)cc2)NC(=S)N1
ZINC34650494	N/C(=N\C(=O)c1cc(Cl)c(N)cc1N)NCc1ccc(Cl)c(Cl)c1
ZINC65598299	Cc1cc(C(=O)NC2CCCC2)ccc1NC(=O)c1cccc(NC(N)=O)c1
ZINC65696165	Cc1[nH]c2ccc(CNC(=O)NNC(=S)NC3CCCC3)cc2c1C
ZINC67164073	C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C)c1ccc(NC(N)=O)cc1
ZINC67467479	CC[C@H](C)[C@H](NC(N)=O)C(=O)Nc1ccc(C(=O)NC2CCCCC2)cc1
ZINC04477457	N=C1/C(=N/Nc2ccc(Cl)cc2Cl)C(=[NH2+])NN1c1ccccc1
ZINC04477459	N=C1/C(=N/Nc2c(Cl)cc(Cl)cc2Cl)C(=[NH2+])NN1c1ccccc1
ZINC01582792	[NH2+]=C(NO)N/N=C/c1cccc(I)c1
ZINC22170218	Nc1cc(F)ccc1NC(=O)C[N@@H+]1CCCC[C@H]1CCO
ZINC31468968	C[C@H]1CCCC[C@@H]1[NH+](Cc1ccc(C(N)=O)cc1)Cc1ccc(C(N)=O)cc1
ZINC35366625	NC(=O)C[N@@H+](Cc1ccc(N)cc1)Cc1ccc(Br)cc1
ZINC36268863	NS(=O)(=O)c1ccccc1N[C@H]1CC[NH2+]C2(CCC2)C1
ZINC36269049	NS(=O)(=O)c1ccc(N[C@H]2CC[NH2+]C3(CCC3)C2)nc1
ZINC37017632	Cc1cc(S(N)(=O)=O)cc(NC(=O)[C@H]2CSC[NH2+]2)c1C
ZINC37615351	CNC(=O)c1ccc(Cl)c(NC(=O)[C@](C)([NH3+])C2CC2)c1
ZINC37801233	NC(=O)C[C@H]([NH3+])C(=O)N(Cc1cccs1)Cc1cccs1
ZINC37946468	NC(=O)[C@@]1([NH2+]Cc2cccs2)COc2cc(O)ccc21
ZINC38050836	CC(C)NS(=O)(=O)c1ccccc1N[C@@H]1CCCC[C@H]1[NH3+]
ZINC38050928	CCNS(=O)(=O)c1ccc(N[C@@H]2CCCC[C@H]2[NH3+])cc1
ZINC02559813	Nc1nc(-c2cccc[nH+]2)nc(N)c1Cc1ccc(Cl)cc1Cl
ZINC40463528	CC(C)(C)[C@H]([NH3+])C(=O)Nc1ccc2c(c1)NC(=O)CS2
ZINC40857604	Cc1ccccc1N1CCN(C(=O)[C@H]([NH3+])CC(N)=O)CC1
ZINC41581878	[NH3+]CCCNC(=O)c1ccc(CNC(=O)c2cccs2)cc1
ZINC42403571	NC(=O)[C@@H]1CCCCN1c1ccc(C[NH3+])c(C(F)(F)F)c1
ZINC42406572	Cc1cc(C)c(C(N)=S)c(N2CCCC[C@H]2C(N)=O)[nH+]1
ZINC43242773	CC[C@@H]([NH3+])[C@H](c1ccc(C)s1)N1CCC(CC(N)=O)CC1
ZINC43248745	CC[C@@H]([NH3+])[C@H](c1sccc1C)N1C[C@H](C(N)=O)CC[C@@H]1C
ZINC43253783	CC[C@@H]([NH3+])[C@@H](c1ccc(Cl)s1)N1C[C@H](C(N)=O)CC[C@@H]1C
ZINC43259442	NC[C@@H](c1ccc(Br)s1)[N@@H+]1CCC[C@@H]1C(N)=O
ZINC43287286	C[C@@H]([NH3+])[C@@H](c1cc(Br)cs1)N(CC(N)=O)C1CCCC1
ZINC43410643	N/C(=N/O)c1cc2c([nH+]c1N1CCC[C@H]1CO)CCCC2
ZINC44135689	[NH3+][C@H](CSc1ccccc1)[C@@H](O)C[N@@H+]1C[C@@H]2CCCC[C@@H]2C[C@H]1C(=O)[O-]
ZINC44251906	NC(=O)C[C@@H]([NH3+])c1ccc(-c2ccccc2OC(F)(F)F)o1
ZINC44559332	NC(=O)c1ccc(N2CCCC[C@@H]2C[NH3+])cc1C(F)(F)F
ZINC48846463	CC(C)(C)[C@H]1CC[C@@]([NH2+][C@@H]2CCCC[C@@H]2[NH3+])(C(=O)[O-])CC1
ZINC49068521	CC(C)Cc1c2c([nH+]c3sc(C(N)=O)c(N)c13)CCCCCC2
ZINC49156854	C[C@H]([NH2+][C@H](C)Cc1ccsc1)c1ccc(NC(N)=O)cc1
ZINC50460870	CC(=O)Nc1ccc(NC(=O)[C@@H]2C[C@H]2[NH3+])c(C(F)(F)F)c1
ZINC51116619	NNc1ccc(Cl)c(C(=O)N[C@H]2CC[N@@H+]3CCC[C@H]23)n1
ZINC51120531	C[C@H](CNC(=O)c1cc(Cl)ccc1NN)[NH+]1CCCCC1
ZINC51355529	C[C@@]([NH2+]CCC[NH3+])(C(=O)[O-])c1ccc(OC(F)(F)F)cc1
ZINC51693877	[NH3+][C@H]1CC[C@@H](Nc2ccc(S(=O)(=O)NC3CC3)cc2)CC1
ZINC55025267	NC(=O)CC1CC[NH+]([C@H](CC(N)=S)c2ccccc2)CC1
ZINC57830822	Nc1cccc(-c2nc3cc(F)c(F)cc3n2CCCC[NH3+])c1
