ZINC04222100	C[C@H](C(=O)NCC[NH+]1CCOCC1)[C@@H]1CC[C@]2(C)Cc3sc(NC(=O)c4cnccn4)nc3[C@@H](C)[C@@H]2[C@H]1O
ZINC02136472	CC(=O)Oc1ccc(N2C(=O)[C@@H]3[C@@H](CCC(N)=O)[NH2+][C@@]4(C(=O)Nc5c4ccc(Cl)c5C)[C@@H]3C2=O)cc1
ZINC08790658	CCc1cccc2c1NC(=O)[C@]21[NH2+][C@H](CCC(N)=O)[C@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]21
ZINC08790874	CCc1cccc2c1NC(=O)[C@@]21[NH2+][C@@H](CC(N)=O)[C@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]21
ZINC08914085	COC(C/[NH+]=C/[C@]12CC[C@H](O)C[C@]1(O)CC[C@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O)OC
ZINC04177714	C[C@H]1C[C@H](C)CN(S(=O)(=O)c2ccc(C(=O)Nc3sc4c(c3C(N)=O)CC[N@@H+](C)C4)cc2)C1
ZINC09882799	NC(=O)c1c(NC(=O)C[NH+]2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)sc2c1CCCC2
ZINC10751180	CC(C)[N@@H+]1CCc2c(sc(NC(=O)[C@H]3CCCN(S(=O)(=O)c4cccs4)C3)c2C(N)=O)C1
ZINC10751907	C[N@@H+]1CCc2c(sc(NC(=O)[C@H]3CCCN(S(=O)(=O)c4ccc(Cl)s4)C3)c2C(N)=O)C1
ZINC12885352	Cc1cc(C)c2c(c1)[C@@]1([NH2+][C@H](CCC(N)=O)[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]31)C(=O)N2
ZINC12886732	COCCCN1C(=O)[C@@H]2[C@@H](Cc3c[nH]c4ccccc34)[NH2+][C@]3(C(=O)Nc4ccc(C)cc43)[C@@H]2C1=O
ZINC19899241	Nc1nc(C[NH+]2CCN(Cc3ccc4c(c3)OCO4)CC2)nc(Nc2ccc3c(c2)OCCO3)n1
ZINC25518168	NC(=O)C[NH+]1CCC(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(Br)s2)CC1
ZINC39446141	COc1c(Br)cc(C/C(=N/O)C(=O)NC/C=C2/C=[NH+]C(=N)N2)cc1Br
ZINC39631685	CC(=O)N1CCC(C(=O)N2C[C@@H](C(=O)N[C@@H](C)CCCC(C)(C)O)C3(CC[NH2+]CC3)C2)CC1
ZINC39656125	Cc1ccc2[nH]cc(CCNC(=O)[C@@H]3CN(C(=O)c4ccc(N5CCOCC5)nc4)CC34CC[NH2+]CC4)c2c1
ZINC39669979	COc1ccc2nc(CCNC(=O)[C@@H]3CN(C(=O)c4sccc4C)CC34CC[NH2+]CC4)[nH]c2c1
ZINC39671538	CC1=C(C(=O)N2C[C@@H](C(=O)NCc3cc4ccccc4[nH]3)C3(CC[NH2+]CC3)C2)[C@@H](c2cc(C)on2)ON1
ZINC39674067	CC1=C(C(=O)N2C[C@@H](C(=O)NCCc3c(C)[nH]c4ccccc34)C3(CC[NH2+]CC3)C2)[C@H](c2cc(C)on2)ON1
ZINC39676274	CCSc1ncccc1C(=O)N1C[C@H](C(=O)NCc2nc3ccccc3c(=O)[nH]2)C2(CC[NH2+]CC2)C1
ZINC39676310	CC1=C[C@H](C(=O)N2C[C@H](C(=O)NCc3nc4ccccc4c(=O)[nH]3)C3(CC[NH2+]CC3)C2)[C@@H](C(F)(F)F)O1
ZINC39685807	CC(C)[C@H](NC(=O)[C@H]1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2)C(=O)NC(C)(C)C
ZINC39693431	CC(C)(C)OC(=O)NCCNC(=O)[C@H]1CN(C(=O)c2cccnc2Cl)CC12CC[NH2+]CC2
ZINC39695798	CCSc1ncccc1C(=O)N1C[C@H](C(=O)N[C@H](C)c2nc3ccc(C)cc3[nH]2)C2(CC[NH2+]CC2)C1
ZINC39726913	C[C@H]1CC[C@]2(CC1)NC(=O)N(NC(=O)CS[C@@H]1NN=C(C3=c4ccccc4=[NH+]C3)N1C1CC1)C2=O
ZINC44695589	COc1ccc2[nH]cc(CCNC(=O)[C@@H]3CN(C(=O)c4cc(C)n(C)n4)CC34CC[NH2+]CC4)c2c1
ZINC44707850	Cc1ccc2[nH]cc(CCNC(=O)[C@@H]3CN(C(=O)c4cc(C)oc4C(F)(F)F)CC34CC[NH2+]CC4)c2c1
ZINC44713591	Cc1cc(C(=O)N2C[C@H](C(=O)NCCc3c(C)[nH]c4ccccc34)C3(CC[NH2+]CC3)C2)c(C(F)(F)F)o1
ZINC44713823	Cc1n[nH]c(C)c1[C@H](C)NC(=O)[C@H]1CN(C(=O)c2c(-c3ccccc3Cl)noc2C)CC12CC[NH2+]CC2
ZINC44713972	CCSc1ncccc1C(=O)N1C[C@@H](C(=O)N[C@@H](C)c2c(C)n[nH]c2C)C2(CC[NH2+]CC2)C1
ZINC44714112	CCn1nc(C)c(Br)c1C(=O)N1C[C@@H](C(=O)N[C@H](C)c2c(C)n[nH]c2C)C2(CC[NH2+]CC2)C1
ZINC44714201	COc1c(Cl)cc(C(=O)N2C[C@@H](C(=O)N[C@@H](C)c3c(C)n[nH]c3C)C3(CC[NH2+]CC3)C2)cc1Cl
ZINC44714228	Cc1n[nH]c(C)c1[C@@H](C)NC(=O)[C@H]1CN(C(=O)c2ccc(-c3ccccc3)o2)CC12CC[NH2+]CC2
ZINC44714577	Cc1[nH]c2ccc(C#N)cc2c1CCNC(=O)[C@@H]1CN(C(=O)c2ccncc2)CC12CC[NH2+]CC2
ZINC44714693	Cc1cc(C(=O)N2C[C@H](C(=O)NCc3nc4ccccc4c(=O)[nH]3)C3(CC[NH2+]CC3)C2)c(C(F)(F)F)o1
ZINC44714713	Cc1cc(C(=O)N2C[C@@H](C(=O)NCCc3c[nH]c4ccc(Cl)cc34)C3(CC[NH2+]CC3)C2)nn1C
ZINC44737431	COc1c(C(=O)N2C[C@H](C(=O)N[C@H](C)c3nc4ccc(C)cc4[nH]3)C3(CC[NH2+]CC3)C2)csc1Cl
