ZINC06447457	Cn1c(=O)c2[nH]c(CC[NH3+])nc2n(C)c1=O
ZINC19321647	CC1C2(O)C(=[N+]([O-])C1(C)[NH3+])CCc1nonc12
ZINC19398206	CC1(C)NC(=O)N(CCC[NH3+])C1=O
ZINC19409849	NC(=O)C1CCCN(C(=O)C2CCC[NH2+]2)C1
ZINC36136398	CNC(=O)C1CCN(C(=O)C(C)[NH3+])CC1
ZINC36227621	O=C(C1CC(O)C[NH2+]1)N1CCCC(CO)C1
ZINC36227623	O=C(C1CC(O)C[NH2+]1)N1CCCC(CO)C1
ZINC36264800	Cn1ccc(S(=O)(=O)NC2CC2[NH3+])c1
ZINC36870839	[NH3+]C1CC(NC(=O)CC2CCS(=O)(=O)C2)C1
ZINC36949871	[NH3+]C(c1ccc2c(c1)NC(=O)CO2)C1CCCO1
ZINC37027674	CC([NH3+])C(=O)Nc1ccccc1-n1cncn1
ZINC37169838	[NH3+]CC(n1ccc(=O)[nH]c1=O)C(F)(F)F
ZINC37243857	[NH3+]CCNC(=O)C(=O)N1CCCCCCC1
ZINC37382782	[NH3+]CC(O)Cn1cnc2ccsc2c1=O
ZINC37739146	O=C(NCC1CCOC1)C1CC(O)C[NH2+]1
ZINC37739147	O=C(NCC1CCOC1)C1CC(O)C[NH2+]1
ZINC37769689	CC([NH3+])C(=O)NC(C)C(=O)N1CCCCC1
ZINC19326335	CC1=[N+]([O-])C2([NH3+])CCc3nonc3C2(O)C1
ZINC38046163	O=C(NCC1CCCOC1)C1CC(O)C[NH2+]1
ZINC39105524	CC1=NC(NC(=O)C(C)[NH3+])C(C#N)=C1C
ZINC41059038	CCCNC(=O)N1CCOC(C[NH3+])C1
ZINC43126546	CC([NH3+])C(c1cnn(C)c1)N1CCNC(=O)C1
ZINC43406841	NC(=[NH2+])c1cc2c(nc1-n1cncn1)CCC2
ZINC44982981	CC1CCC(c2noc(C([NH3+])C(C)O)n2)CC1
ZINC45169368	Cc1nn(C)c(C)c1-c1cnc(C([NH3+])C(C)C)[nH]1
ZINC48250192	CC(CC(N)=[NH2+])N1CCS(=O)(=O)CC1
ZINC50114681	CNC(=O)NC(=O)C[NH+]1CCCC1CO
ZINC50224613	[NH3+]Cc1cn(CC2CNC(=O)O2)nn1
ZINC50462823	[NH3+]C1CC1C(=O)N1CCC(N2CCNC2=O)CC1
ZINC50463263	CNC(=O)CN1CCN(C(=O)C2CC2[NH3+])CC1
ZINC51927122	Cc1[nH+]cn(CC(C)/C(N)=N/O)c1C
ZINC51927144	Cc1nnc(-n2cnc(C)c2C)c(C(N)=[NH2+])c1C
ZINC52019493	CNC(=[NH2+])NC1CCS(=O)(=O)C1
ZINC52812639	Cc1cc(N)c[nH+]c1NCC(=O)N(C)C
ZINC54344903	Cc1nn(C)c(C)c1NC(=O)C(C)C[NH3+]
ZINC54380714	CC(C)(C)Oc1nccnc1C(N)=[NH2+]
ZINC54381117	NC(=[NH2+])c1nccnc1Sc1ncccn1
ZINC54456932	[NH3+]CCN1CCN(C(=O)NC2CC2)CC1
ZINC55126538	CC1CCC(C(=O)NCC(=O)N(C)C)CC1[NH3+]
ZINC55126542	CC1CC(C(=O)NCC(=O)N(C)C)CCC1[NH3+]
ZINC55126550	CC1C([NH3+])CCCC1C(=O)NCC(=O)N(C)C
ZINC55126555	CC1CCCC(C(=O)NCC(=O)N(C)C)C1[NH3+]
