ZINC04219119	O=C([O-])c1c[nH]c2cc(Br)c(Br)cc12
ZINC05630627	O=C([O-])C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12
ZINC05730951	O=C([O-])C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12
ZINC05839185	O=C([O-])C1Cc2[nH]c3ccccc3c2C2CCCC12
ZINC06589246	N#Cc1c([S-])nc2c(c1-c1ccc(O)cc1)CCC2
ZINC15222690	CC1(C(=O)[O-])CCCC2(C)C3=C(CCC(O)C3)CCC12
ZINC20242394	O=C([O-])C1Nc2c(Cl)ccc(Cl)c2C2C=CCC12
ZINC12951981	COC12C=CC(CC1)c1c2c(O)c2ncccc2c1[O-]
ZINC32121238	Cc1ccc(C(=O)[O-])c2c1NC(c1ccccc1)C1CC=CC21
ZINC01624646	S=c1nc([S-])nc(Oc2ccc(Cl)c(Cl)c2)[nH]1
ZINC34212553	CC12CCC(=O)NC1CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC02790294	O=C1/C(=C\c2ccccc2O)N=C([S-])N1c1ccc(F)cc1
ZINC20546075	Cc1nc(-c2cc3c(s2)CCCCC3)[nH]c(=O)c1C(=O)[O-]
ZINC37245338	O=C([O-])c1c[nH]cc1-c1cc(Br)cs1
ZINC37296872	O=C([O-])C1CCCN(C(=O)Nc2cc(Cl)cc(Cl)c2)C1
ZINC37322763	O=C([O-])c1ccc2c(c1)CCCN2C(=O)c1cc(Cl)c[nH]1
ZINC37373093	[S-]c1nnc(Nc2cccc3cnccc23)s1
ZINC39372626	O=C([O-])c1cc2c3c(c1O)C1C=CCC1CN3CC1CC=CC21
ZINC39461757	[O-]c1nc2ccc(C3=NC(c4ccc(O)cc4)SC3)cc2o1
ZINC40530983	Cc1ccc(NC(=O)N2CCCC(C)C2)c(C(=O)[O-])c1
ZINC40603865	CC1CCCN1C(=O)Nc1cccc(F)c1C(=O)[O-]
ZINC41144409	O=C([O-])c1oc(=O)ccc1-c1ccc2c(c1)CCCN2
ZINC14985890	Cc1c(Br)ccc2c(C(=O)[O-])[nH]nc12
ZINC47218614	O=c1[nH]c(C(F)(F)F)cc([O-])c1Br
ZINC48326923	CC1C/C(=C/c2ncc[nH]2)c2nc3ccccc3c(C(=O)[O-])c2C1
ZINC50567780	CC1CCCN(C(=O)Nc2cccc(F)c2C(=O)[O-])C1C
ZINC51636984	N#Cc1cc(Nc2nnc([S-])s2)ccc1F
ZINC51847811	Cc1cc2nc(C3CCCCC3C(=O)[O-])[nH]c2cc1C
ZINC12139692	C/C(=N\c1ncccc1C)c1sc([S-])nc1O
ZINC59381881	CC(C)c1ccc(C2NC(=O)N=C([O-])C2C#N)cc1
ZINC61094801	O=C([O-])C1CCCN(C(=O)Nc2cc(F)c(F)cc2F)C1
ZINC62119580	O=C([O-])C1CCN(C(=O)NC23CC4CC(CC(C4)C2)C3)C1
