ZINC01174928	O=Cc1ccc(OCc2ccc(C(=O)[O-])cc2)c(I)c1
ZINC01696782	C=CCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)[O-]
ZINC02835078	CCc1cccc(C)c1N1C(=O)/C(=C/c2ccc(C(=O)[O-])cc2)SC1=S
ZINC05842184	Cc1ccc(-c2csc(/C=C/c3ccc(OCC(=O)[O-])cc3)n2)cc1
ZINC06339889	O=C([O-])c1ccc(/C=C/C(=O)c2ccccc2Br)cc1
ZINC06510695	CC(Oc1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1)C(=O)[O-]
ZINC07333304	O=C([O-])c1ccc(C(=O)/C=C/c2cccc(Br)c2)s1
ZINC00168031	O=C([O-])/C=C/c1ccc(OCc2ccc(Br)cc2)cc1
ZINC11801997	CCc1ccc(OCc2ccc(CC(=O)[O-])cc2)c(Br)c1
ZINC11851370	CSc1ccc(-c2csc(COc3ccc(C(=O)[O-])cc3)n2)cc1
ZINC11861431	O=C([O-])/C=C/c1ccccc1OCCOc1ccc2ccccc2c1
ZINC11861466	O=C([O-])c1csc(-c2ccccc2OCc2ccccc2F)n1
ZINC11945694	CCCCCOc1c(Br)cc(C(=O)[O-])cc1OCC
ZINC11952788	Cc1ccccc1COc1cccc(-c2nc(CC(=O)[O-])cs2)c1
ZINC11953916	CC(C)C(Oc1c(Cl)cc(Cl)cc1Br)C(=O)[O-]
ZINC11954031	Cc1ccc(COc2ccccc2-c2nc(CC(=O)[O-])cs2)cc1
ZINC11955959	CC(Oc1ccc(Cl)cc1Br)c1ccc(C(=O)[O-])o1
ZINC11993075	COc1cc(/C=C(\C(=O)[O-])c2cccs2)ccc1OCc1ccccc1F
ZINC07488618	CCn1c(/C(Cl)=C/c2ccc(F)c(F)c2)nc2cc(C(=O)[O-])ccc21
ZINC20433639	O=C([O-])c1oc2ccccc2c1COc1ccc(Br)cc1
ZINC05796059	COc1ccc(Cc2nnc([S-])n2-c2ccc(F)c(Cl)c2)cc1
ZINC26738714	CC(C)(CCCC/C=C(/c1cccnc1)c1cccs1)C(=O)[O-]
ZINC17353731	Cc1ccsc1/C([O-])=C/C(=O)C(F)(F)C(F)(F)C(F)(F)F
ZINC17431024	[O-]c1nnc(SCc2ccccc2)c(SCc2ccccc2)n1
ZINC31973007	Cc1ccn2c(CCC(=O)[O-])c(-c3ccc4ccccc4c3)nc2c1
ZINC31973362	CC(C)(C)c1csc2nc(-c3cccs3)c(/C=C/C(=O)[O-])n12
ZINC00036233	Cn1c([S-])nnc1COc1ccc(C(C)(C)c2ccccc2)cc1
ZINC02352577	CSc1ccc(/C=N\n2c([S-])nnc2-c2ccc(Cl)cc2)cc1
ZINC34711600	O=C([O-])c1csc(-c2cccc(OCc3cc(F)cc(F)c3)c2)n1
ZINC35431910	Cc1oc(COc2c(Cl)cc(Cl)cc2Cl)cc1C(=O)[O-]
ZINC05687762	Cc1ccc(OCc2nnc([S-])n2-c2ccc(Cl)cc2)cc1
ZINC40139659	CC(C)Oc1ccc(/C=C(\Cl)c2nc([O-])c3ccccc3n2)cc1
ZINC40285684	CCOc1ccc(C(Br)c2ccc3nc([O-])oc3c2)cc1
ZINC40927041	Cc1sc(/N=C(\[O-])Oc2ccccc2)nc1-c1cccc(Cl)c1
ZINC40927194	Cc1ccc(C)c(-c2csc(/N=C([O-])/C(C#N)=C/c3ccccc3)n2)c1
ZINC41983118	CC(Sc1ccccc1Br)(C(=O)[O-])c1ccccc1
ZINC43458205	O=C([O-])c1cccc(Br)c1OCCOc1ccccc1
ZINC44222856	C/C(=C\c1c(Sc2ccc(C)cc2)nc2sccn12)C(=O)[O-]
ZINC44243509	CCc1cccc(CC)c1[N-]S(=O)(=O)c1cncc(Br)c1
ZINC48441932	CC(C)COc1ccccc1[N-]S(=O)(=O)c1sccc1Br
ZINC48762781	O=C([O-])c1ccc2ccccc2c1OCc1ccc(Br)o1
ZINC49165953	Cc1occc1/C([O-])=C(\C#N)C(=O)/C=C/c1cc(Cl)ccc1Cl
ZINC50364585	CC(C)c1ncc(Sc2cc(Cl)ccc2Cl)c(C(=O)[O-])n1
ZINC54968441	CCCc1nc(N(C)Cc2ccc(Cl)s2)sc1C(=O)[O-]
ZINC13810714	O=C1N=C([N-]c2cccc(Cl)c2)S/C1=C\C=C\c1ccco1
ZINC13810714	O=C1N/C(=N/c2cccc(Cl)c2)S/C1=C\C=C\c1ccco1
ZINC13810714	O=C1N/C(=N\c2cccc(Cl)c2)S/C1=C\C=C\c1ccco1
ZINC24226619	O=S(=O)([N-]c1ccc(Cl)cc1)c1cccc(OC(F)(F)F)c1
ZINC58866508	COc1ccc(C2CC(=O)C(/C=N/c3cc(C)cc(C)c3)=C([O-])C2)cc1
ZINC62545932	O=S(=O)([N-]c1ccc(-c2ccccc2)nc1)c1ccc(Cl)s1
ZINC64872551	Cc1ccc(-c2ccc(OCc3nc(C)c(C(=O)[O-])s3)cc2)cc1
ZINC06651661	CCC(C)c1ccc([N-]S(=O)(=O)c2ccc(Cl)s2)cc1
ZINC04266716	CC1(C(=O)[O-])CCC(C(Br)C(Br)c2ccccc2)C1(C)C
ZINC04266722	CC1(C(=O)[O-])CCC(C(Br)C(Br)c2ccccc2)C1(C)C
ZINC02251895	COc1ccc(Cl)cc1-n1c(CCC(=O)[O-])ccc1-c1cccs1
ZINC05592758	Cc1nc(CCOc2c(Cl)cc(Cl)cc2Cl)sc1C(=O)[O-]
