CHEMBL274513	Cc1c(C)c2ccc(OCc3cc(C4CC4)on3)cc2oc1=O
CHEMBL522271	CN1C(=O)C2C(N=C(/C=C/c3ccc(Cl)c(Cl)c3)N2C)N(C)C1=O
CHEMBL1213968	COc1cccc(-c2csc(N/N=C(\C)c3ccncc3)n2)c1
CHEMBL151125	C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1
CHEMBL151125	C#CC[NH+](C)C(C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1
CHEMBL450239	O=C1Nc2cc(/C=C/c3ccccc3)ccc2C1=O
CHEMBL145330	N#CCCn1nnc(-c2ccc(-c3ccccc3)cc2)n1
CHEMBL8145	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
CHEMBL294811	CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1
CHEMBL404505	c1ccc2oc(C3=[NH+]CCN3)cc2c1
CHEMBL174289	Cn1cccc1C(=O)NCc1cccc(F)c1
CHEMBL462097	C[NH+](CCc1ccccc1)Cc1cc2ccccc2[nH]1
CHEMBL1213915	COc1cccc(-c2csc(N/N=C(\C)c3cccnc3)n2)c1
CHEMBL434261	N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
CHEMBL348961	Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
CHEMBL275970	C(=C/c1ccccc1)\C1=[NH+]CCN1
CHEMBL14640	c1ccc(OCC2=[NH+]CCN2)cc1
CHEMBL607571	COc1ccc(-c2cc(=S)c3ccccc3o2)cc1
CHEMBL462054	C[NH+](Cc1ccccc1)Cc1cc2ccccc2[nH]1
CHEMBL462054	CN(Cc1ccccc1)Cc1cc2ccccc2[nH]1
CHEMBL607864	O=C(NCCN1CCOCC1)c1cccnc1Br
CHEMBL607864	O=C(NCC[NH+]1CCOCC1)c1cccnc1Br
CHEMBL198810	C(/C=C/c1ccccc1)=C\c1ccccc1
CHEMBL447043	c1ccc(NCc2cc3ccccc3[nH]2)cc1
CHEMBL127983	O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21
CHEMBL459336	CN(CCCc1ccccc1)C(=O)c1cc2ccccc2n1C
CHEMBL18317	Cc1c(C)c2ccc(OCc3csc(C(C)C)n3)cc2oc1=O
CHEMBL441306	C#CC/[N+](C)=C(\C)c1ccc[nH]1
CHEMBL269073	COc1ccc2c(c1)cc1n2CC[NH2+]C1
CHEMBL269073	COc1ccc2c(c1)cc1n2CCNC1
CHEMBL278669	COCC(O)COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O
CHEMBL18327	Cc1c(C)c2ccc(OCc3nc(C(C)C)no3)cc2oc1=O
CHEMBL16541	N#CCCN1N=C(c2ccc(OCc3ccccc3)cc2)OCC1=S
CHEMBL16530	N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O
CHEMBL276076	Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O
CHEMBL266221	C1=[NH+]CCc2c1[nH]c1ccccc21
CHEMBL276915	O=c1cc(-c2ccccc2)oc2cc(O)ccc12
CHEMBL10316	c1ccc2c(c1)OCC(C1=[NH+]CCN1)O2
CHEMBL161907	O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O
CHEMBL55674	CCn1nnc(-c2ccc3c(=O)c4cc(O)ccc4oc3c2)n1
CHEMBL394942	O=C1c2ccccc2-c2nnc(-c3cccc([N+](=O)[O-])c3)nc21
CHEMBL243733	CC(C(N)=O)[NH+]1CCc2cc(OCc3cccc(F)c3)ccc2C1
CHEMBL243733	CC(C(N)=O)N1CCc2cc(OCc3cccc(F)c3)ccc2C1
CHEMBL269074	c1ccc2c3c([nH]c2c1)CC[NH2+]C3
CHEMBL269074	c1ccc2c3c([nH]c2c1)CCNC3
CHEMBL7002	CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
CHEMBL1213972	COc1cccc(-c2csc(N/N=C/c3c[nH]c4ccccc34)n2)c1
CHEMBL295093	C#CCNC1CCc2ccccc21
CHEMBL295093	C#CC[NH2+]C1CCc2ccccc21
CHEMBL488074	C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3
CHEMBL573301	C[NH2+]Cc1cc(=O)oc2cc(OCc3ccc4c(c3)OCO4)ccc12
CHEMBL487235	C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C
CHEMBL221333	CN(CCc1ccccc1)C(=O)c1ccc[nH]1
CHEMBL406861	COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
CHEMBL17079	N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S
CHEMBL592976	NC(=S)N1NC2=C(CCCC2)C1c1cccs1
CHEMBL466872	O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O
CHEMBL14210	c1ccc(CCC2=[NH+]CCN2)cc1
CHEMBL240143	O=C1c2ccccc2-c2nc(-c3cccc([N+](=O)[O-])c3)nnc21
CHEMBL147569	CCC(=O)N(CCCCCCCCCCCC[NH+]=C(N)N)C1CC[NH+](CCc2ccccc2)CC1
CHEMBL389501	Cc1ccc(C2=NN(C(N)=S)C(c3ccco3)C2)cc1
CHEMBL1213911	COc1cccc(-c2cs/c(=N\N=C\c3cccs3)[nH]2)c1
CHEMBL1213911	COc1cccc(-c2csc(N/N=C/c3cccs3)n2)c1
CHEMBL589765	Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1
CHEMBL583128	NC(=O)C1CCC[NH+]1Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
CHEMBL583128	NC(=O)C1CCCN1Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
CHEMBL464799	O=C(NCc1ccccc1)c1cc2ccccc2[nH]1
CHEMBL464798	CN(C(=O)c1cc2ccccc2n1C)c1ccccc1
CHEMBL54762	COc1ccc2c(c1)C(=O)c1ccc(-c3nnc(C)o3)cc1S2(=O)=O
CHEMBL470226	CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL18101	COCC1CN(c2ccc(OCCC(O)C(F)(F)F)cc2)C(=O)O1
CHEMBL596453	NC(=S)N1NC2=C(CCCC2)C1c1ccco1
CHEMBL350093	N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1
CHEMBL595	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CHEMBL552680	NC1CC1(F)c1ccccc1
CHEMBL552680	[NH3+]C1CC1(F)c1ccccc1
CHEMBL92401	CC(C)NNC(=O)c1ccncc1
CHEMBL267399	c1ccc2c3c([nH]c2c1)C1=[NH+]CCN1CC3
CHEMBL298006	C#CCN(C)Cc1cc2ccccc2n1C
CHEMBL387736	NC(=S)N1N=C(c2cccs2)CC1c1ccc(Cl)cc1
CHEMBL414637	O=C1CCc2cc(OCCCC(F)(F)F)ccc21
CHEMBL209027	Cc1cc2c(nn1)-c1cc(OCc3ccccc3)ccc1C2=O
CHEMBL325841	O=c1cc(-c2ccccc2)c2ccc(O)cc2o1
CHEMBL39537	[NH3+]C1CCCc2ccccc21
CHEMBL26138	Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL16623	N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S
CHEMBL222368	c1ccc(CC[NH2+]Cc2ccc[nH]2)cc1
CHEMBL222368	c1ccc(CCNCc2ccc[nH]2)cc1
CHEMBL315361	O=C([O-])c1coc2ccccc2c1=O
CHEMBL469350	O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O
CHEMBL503807	CN(CCc1ccccc1)C(=O)c1cc2ccccc2n1C
CHEMBL66979	CC(=O)c1cccc2c1S(=O)(=O)c1ccccc1O2
CHEMBL455989	CC(C1CCCCC1)[NH+](C)Cc1cc2ccccc2[nH]1
CHEMBL363555	CCOc1ccc(/C=C2\SC(=O)N(CC[NH3+])C2=O)cc1
CHEMBL389728	NC(=S)N1N=C(c2cccs2)CC1c1ccco1
CHEMBL224191	NC(=S)N1N=C(c2cccs2)CC1c1cccs1
CHEMBL18832	Cc1nnc(COc2ccc3c(C)c(C)c(=O)oc3c2)o1
