ZINC02004002	CC(C)([NH3+])Cc1ccc(Br)cc1
ZINC11823125	[NH3+]C(c1ccc(F)cc1)c1nc2ccccc2s1
ZINC11886501	CC(C)(C)C1CCc2nc(C[NH3+])sc2C1
ZINC19731115	CC1CC[NH+](C(C)c2ccc(N)cc2)CC1
ZINC20073919	Cc1ccc(C[NH+]2C(C)CCCC2C)cc1N
ZINC20525693	CC1(C)Cc2sc(C[NH3+])nc2-c2ccccc21
ZINC20556176	Cc1c(C)c(C)c(C([NH3+])C(C)(C)C)c(C)c1C
ZINC33487461	Cc1cc(C)c(C2(N)CC[NH+](C)CC2)c(C)c1
ZINC34940037	Cc1cc(C)c(C)c(OC2CCCC2[NH3+])c1
ZINC34940759	Cc1cc(C([NH3+])c2ccc(F)c(F)c2)c(C)s1
ZINC35381123	Cc1ccc(C([NH3+])c2c(F)cc(F)cc2F)o1
ZINC35381402	Cc1ccc(C([NH3+])c2cc(C)sc2C)s1
ZINC35382562	CC1Cc2cc(C([NH3+])c3ccsc3)ccc2O1
ZINC35382595	CC1Cc2cc(C([NH3+])c3cccs3)ccc2O1
ZINC35753760	CC1COc2c(Cl)cc(Cl)c(Cl)c2C1[NH3+]
ZINC37165647	CC1CC([NH2+]C2CCCC(O)C2)CC(C)(C)C1
ZINC36683565	CC1CCCC([NH+]2Cc3ccc(N)cc3C2)C1C
ZINC38073536	CC1Cc2cc(-c3cccc(C(C)[NH3+])c3)ccc2O1
ZINC41059616	[NH3+]C1(c2nc3c(s2)CCCC3)CCCCC1
ZINC41059861	Cc1ccc(C([NH3+])c2nccs2)c(C)c1
ZINC41164451	CC1CCC([NH3+])(c2nc3c(s2)CCCC3)CC1
ZINC41181530	CCC1CCC([NH3+])(c2nc3c(s2)CCC3)CC1
ZINC41246518	OC(c1ccccc1Cl)C1CC[NH2+]CC1
ZINC41289522	OC(c1c(F)cccc1Cl)C1CCCC[NH2+]1
ZINC41289527	OC(c1c(F)cccc1Cl)C1CCCC[NH2+]1
ZINC41653414	[NH3+]C(c1ccncc1)c1ccc(F)c(F)c1F
ZINC41656634	Cc1sc(C[NH3+])nc1-c1ccc(F)c(Cl)c1
ZINC42443293	Nc1ccc(F)cc1C[NH+]1CCCSCC1
ZINC42728978	Cc1ccsc1C([NH3+])c1ccccc1F
