ZINC02780389	Cc1nn(C)cc1C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC13699693	CCn1nc(C)cc1C(=O)Nc1sccc1C(N)=O
ZINC19480756	NC(=O)C1CCCN(C(=O)C2CNc3ccccc3O2)C1
ZINC19480758	NC(=O)C1CCCN(C(=O)C2CNc3ccccc3O2)C1
ZINC19511928	NC(=S)c1ccccc1S(=O)(=O)N1CCNC(=O)C1
ZINC32159084	Cc1noc(C)c1S(=O)(=O)NC(C)c1ccc(N)cc1
ZINC32967720	CCC(C)(C)NC(=O)C1CCN(S(N)(=O)=O)CC1
ZINC35360757	Cc1n[nH]c(C)c1S(=O)(=O)N(C)Cc1ccccc1N
ZINC35609516	Cc1cccc(N)c1S(=O)(=O)N1CCN(CCO)CC1
ZINC36863589	CNC(=O)C1CCN(C(=O)c2cc(N)cn2C(C)C)CC1
ZINC37036852	Cc1nc(N)sc1SCCN1C(=O)NC(C)(C)C1=O
ZINC38062491	Cc1cc(N)cc(S(=O)(=O)NCC2COCCO2)c1C
ZINC40215496	Cc1occc1C(=O)NCc1ccc(S(N)(=O)=O)s1
ZINC40215878	Cc1ccoc1C(=O)NCc1ccc(S(N)(=O)=O)s1
ZINC40311064	N#Cc1c(NC(=O)Cn2cc(N)cn2)sc2c1CCC2
ZINC44687931	Cc1cc(CNS(=O)(=O)c2ccc(N)cc2F)no1
ZINC44760200	CC1CCCCC1NS(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC44785286	CN(Cc1ccncc1)C(=O)C1(/C(N)=N/O)CCCCC1
ZINC44785305	CC(C1CC1)N(C)C(=O)C1(/C(N)=N/O)CCOCC1
ZINC44785306	CC(C1CC1)N(C)C(=O)C1(/C(N)=N/O)CCOCC1
ZINC44791591	CCOC1CCCN(C(=O)C2(/C(N)=N/O)CCCC2)C1
ZINC44792632	CN(Cc1cscn1)C(=O)C1(/C(N)=N/O)CCCC1
ZINC44819276	CCC(C)NC(=O)c1c(C)oc(C)c1S(N)(=O)=O
ZINC46643335	CC(=O)NNC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2
ZINC47621759	NC(=O)NC(=O)CCS(=O)(=O)c1ccccc1Cl
ZINC48412316	Cc1c(C(N)=O)sc2nc(CC3CCCO3)[nH]c(=O)c12
ZINC48421039	Cc1cc(C(=O)NNC(=O)C(=O)NC(C)C)sc1C
ZINC48941976	CNC(=O)NC(C)(C)C(=O)NC(C)c1sc(C)nc1C
ZINC49281932	CCC(C)(C)NC(=O)Cn1c(=O)oc2ccc(N)cc21
ZINC50252678	Cc1nc(S(=O)(=O)NC(C)c2ccccc2N)cn1C
ZINC50306003	Cc1[nH]nc(C(=O)N2CCN(CC(F)(F)F)CC2)c1N
ZINC51037737	Cc1nnc(SC(C)C(=O)Nc2ccc(F)cc2N)o1
