CHEMBL218068	O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1
CHEMBL214784	SCc1ccc(-c2cccnc2)o1
CHEMBL358216	CCCCOc1ccc(-c2cnco2)cc1
CHEMBL199742	COCCOCCOc1ccc(S(=O)(=O)N(CC(=O)/N=N\c2c(O)[nH]c3ccccc23)c2ccc(Cl)cc2)cc1
CHEMBL199742	COCCOCCOc1ccc(S(=O)(=O)N(CC(=O)/N=N/c2c(O)[nH]c3ccccc23)c2ccc(Cl)cc2)cc1
CHEMBL205845	CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21
CHEMBL514730	O=C(NCc1cccc2ccccc12)c1cc(-c2ccncc2)nc2ccccc12
CHEMBL463577	O=C(NCc1cccc2ccccc12)c1cc(-c2cccnc2)nc2ccccc12
CHEMBL1209842	CC(Oc1cc(-n2cnc3cc(-c4cnn(C)c4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL255389	Cc1oc(-c2ccccc2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)[O-])c1
CHEMBL378405	CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)N3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21
CHEMBL461012	CCN(CC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1c(Cl)cccc1Cl
CHEMBL379399	CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)C3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21
CHEMBL8332	CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]c[nH+]3)C(CCc3ccccc3)C2)cc1
CHEMBL8332	CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3cnc[nH]3)C(CCc3ccccc3)C2)cc1
CHEMBL8332	CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1
CHEMBL220360	CC(NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1
CHEMBL38958	CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccccn3)cc12
CHEMBL1080088	C=CCn1c(C)c(C)c2cc(-n3ccccc3=O)[nH+]c(NCc3c(C)cccc3C)c21
CHEMBL1208892	CC(Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL463976	O=C(Nc1ccccc1)c1cc(-c2ccncc2)nc2ccccc12
CHEMBL254518	CC(C)(c1cc(-c2cccc(-c3cccnc3)c2)c2ncccc2c1)S(C)(=O)=O
CHEMBL456432	CCCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c([O-])c(I)c1
CHEMBL456432	CCCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1
CHEMBL1080046	CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1
CHEMBL1080046	CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2ccn[nH]2)CC3)cc1
CHEMBL1080046	CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CC[NH+](Cc2cc[nH]n2)CC3)cc1
CHEMBL1080046	CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CC[NH+](Cc2ccn[nH]2)CC3)cc1
CHEMBL462513	Oc1ccc(-c2cc(-c3cccc(O)c3)cs2)cc1
CHEMBL475817	Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl
CHEMBL568244	CC(C)(c1cc(-c2cccc(/C=C(/c3ccc(S(C)(=O)=O)cc3)c3ncno3)c2)c2ncccc2c1)S(C)(=O)=O
CHEMBL151354	CCCCOc1ccc(-c2ccns2)cc1
CHEMBL602851	CC(C)CS(=O)(=O)N1CCC(N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1
CHEMBL205526	CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc21
CHEMBL432386	Cc1ccc(S(=O)(=O)[N-]c2ccnn2-c2ccccc2)cc1
CHEMBL432386	Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
CHEMBL358880	CCCCOc1ccc(-n2cncc2C)cc1
CHEMBL358880	CCCCOc1ccc(-n2c[nH+]cc2C)cc1
CHEMBL1484	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
CHEMBL1484	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
CHEMBL519680	CC1=NC(c2ccccc2)=NC(c2ccc(F)cc2)/C1=C(\[O-])Nc1ccc2[nH]ncc2c1
CHEMBL519680	CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(F)cc2)[NH+]=C(c2ccccc2)N1
CHEMBL186730	[NH3+]Cc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1
CHEMBL388590	CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1
CHEMBL388590	CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
CHEMBL231924	O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C([N-]c1ccccc1Cl)N2
CHEMBL231924	O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Cl)N2
CHEMBL231306	Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12
CHEMBL214859	[NH3+]Cc1ccc(-c2ccccc2)o1
CHEMBL218573	CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(O)CO3)c(Cc3ccccc3C(F)(F)F)sc21
CHEMBL1208960	CC(Oc1cc(-n2cnc3cc(-c4cc[nH+]c(N5CCOCC5)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1208960	CC(Oc1cc(-n2cnc3cc(-c4ccnc(N5CCOCC5)c4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL464595	Cc1cc(C)c2nc(-c3ccncc3)cc(C(=O)Nc3ccc4ccccc4c3)c2c1
CHEMBL43154	O=c1c(Cc2c(O)oc3ccccc3c2=O)c([O-])oc2ccccc12
CHEMBL43154	O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
CHEMBL43154	O=c1c(Cc2c([O-])oc3ccccc3c2=O)c([O-])oc2ccccc12
CHEMBL520299	O=C(CCc1noc2c1ccc1cc(O)ccc12)Nc1ccccc1C(=O)[O-]
CHEMBL458566	CCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c([O-])c(I)c1
CHEMBL458566	CCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1
CHEMBL480732	CC1CCC(C(NC(=O)c2cc3ccccc3cc2NC(=O)Nc2c(Cl)cc(Cl)cc2Cl)C(=O)[O-])CC1
CHEMBL206202	CCC(C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)[O-]
CHEMBL16596	CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12
CHEMBL215134	[NH3+]Cc1ccc(-c2ccccc2)s1
CHEMBL94899	CCC(c1ccccc1)c1c(OC)oc2ccccc2c1=O
CHEMBL1078492	O=S(=O)([N-]c1ccc2c(c1)CC[NH+](Cc1ccn[nH]1)CC2)c1ccc(-c2ccccn2)s1
CHEMBL1078492	O=S(=O)([N-]c1ccc2c(c1)CCN(Cc1ccn[nH]1)CC2)c1ccc(-c2ccccn2)s1
CHEMBL1078492	O=S(=O)([N-]c1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccn2)s1
CHEMBL1078492	O=S(=O)([N-]c1ccc2c(c1)CC[NH+](Cc1cc[nH]n1)CC2)c1ccc(-c2ccccn2)s1
CHEMBL1078595	O=S(=O)([N-]c1ccc2c(c1)CC[NH+](Cc1ccn[nH]1)CC2)c1ccc(N2CCOCC2)[nH+]c1
CHEMBL1078595	O=S(=O)([N-]c1ccc2c(c1)CCN(Cc1ccn[nH]1)CC2)c1ccc(N2CCOCC2)[nH+]c1
CHEMBL1078595	O=S(=O)([N-]c1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(N2CCOCC2)[nH+]c1
CHEMBL1078595	O=S(=O)([N-]c1ccc2c(c1)CC[NH+](Cc1cc[nH]n1)CC2)c1ccc(N2CCOCC2)[nH+]c1
CHEMBL1099326	O=C([O-])CCCOc1cccc(CCCCCCOc2cc(-c3ccncc3)cc(-c3ccncc3)c2)c1CCC(=O)[O-]
CHEMBL111	Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
CHEMBL1224524	FC(F)(F)c1ccccc1-c1cccc(-c2c[nH]cn2)c1
CHEMBL1224524	FC(F)(F)c1ccccc1-c1cccc(-c2c[nH]c[nH+]2)c1
CHEMBL1224524	FC(F)(F)c1ccccc1-c1cccc(-c2cnc[nH]2)c1
CHEMBL1079958	CCn1c(C)c(C)c2c/c(=[N+]3\C=CC=CC3=O)[nH]c(NCc3c(C)cccc3C)c21
CHEMBL565558	CC(=O)C(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1
CHEMBL477611	Cc1n[nH]c2cc(N(C)c3cc[nH+]c(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12
CHEMBL1087758	Cc1c(C)n(CC2CC2C)c2c(OCc3ccc(F)cc3)nncc12
CHEMBL476572	Cc1c2ccc(N(C)c3cc[nH+]c(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1Cc1ccccc1
CHEMBL444032	Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C(=O)[O-])C(CC(C)C)OCc2ccccc2)c(C)c1
CHEMBL200866	O=C(CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(CCCO)cc1)/N=N\c1c(O)[nH]c2ccccc12
CHEMBL200866	O=C(CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(CCCO)cc1)/N=N/c1c(O)[nH]c2ccccc12
CHEMBL94459	CC(O)CC(c1ccccc1)c1c([O-])oc2ccccc2c1=O
CHEMBL94459	CC(O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O
CHEMBL1089116	CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1
CHEMBL1222883	CN1C(=O)CCC1C(=O)NCc1cccc(C(F)(F)F)c1Cl
CHEMBL1172346	N#Cc1c[n-]c(C(=O)Nc2ccc(-c3ccncc3)cc2C2=CCCCC2)n1
CHEMBL1172346	N#Cc1c[nH]c(C(=O)Nc2ccc(-c3ccncc3)cc2C2=CCCCC2)n1
CHEMBL1209016	CC(Oc1cc(-n2cnc3cc(-c4cnn(CCN5CC[NH+](C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1209017	CC(Oc1cc(-n2cnc3cc(-c4cnn(CCC[NH+](C)C)c4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL272336	Cc1oc(-c2ccc(Cl)cc2)nc1CCOc1cccc(CC2C(=O)N(c3ccc(C(C)(C)C)cc3)C2C(=O)[O-])c1
CHEMBL1210558	Cc1n[nH]c(C)c1CC(=O)NCc1ccc(Cl)cc1Cl
CHEMBL516081	Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(CCC(C)C)C(=O)[O-])c(C)c1
CHEMBL115876	c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1
CHEMBL112532	CCCCOc1ccc(-n2ccnc2)cc1
CHEMBL112592	c1ccc(COc2ccc(-n3ccnc3)cc2)nc1
CHEMBL271580	Clc1ccc(Cn2cc(-c3ccncc3)cn2)c(Cl)c1
CHEMBL475639	Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(CCC(C)(C)C)C(=O)[O-])c(C)c1
CHEMBL262968	c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1
CHEMBL565591	Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(/C=C/C([O-])=N/S(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12
CHEMBL189785	Cc1[nH]c2ccc(OC(F)(F)F)cc2c1Cc1cccc(OC(C)C(=O)[O-])c1
CHEMBL494713	COc1ccc(Cc2cc3cc(OC)ccc3cc2-c2cccnc2)cc1
CHEMBL375955	O=C(NCc1ccncc1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F
CHEMBL455975	O=C(Nc1ccc2ccccc2c1)c1cc(-c2ccncc2)nc2ccc(Br)cc12
CHEMBL592755	CCCS(=O)(=O)N1CCC(N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1
CHEMBL397666	Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NCc4ccccn4)cc[nH]c3=O)nc12
CHEMBL230204	Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(NC(CO)Cc4ccccc4)cc[nH]c3=O)nc12
