ZINC04016812	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1ccc(OC[C@@H](O)C[NH2+]C(C)C)cc1
ZINC08790023	O=C1[C@@H]2[C@@H](Cc3ccc(O)cc3)[NH2+][C@@]3(C(=O)Nc4ccccc43)[C@@H]2C(=O)N1CCc1ccccc1
ZINC08791010	Cc1cc(Cl)cc2c1NC(=O)[C@]21[NH2+][C@@H](Cc2ccc(O)cc2)[C@H]2C(=O)N(CCc3ccccc3)C(=O)[C@H]21
ZINC09821180	CCOC(=O)c1c(-c2ccc(C)cc2)csc1NC(=O)C[N@@H+]1CCc2c(sc(N)c2C#N)C1
ZINC09914354	CCC[N@@H+]1CCc2c(sc(NC(=O)CCCS(=O)(=O)c3ccc(F)cc3)c2C(N)=O)C1
ZINC12885854	O=C1[C@@H]2[C@@H](Cc3c[nH]c4ccccc34)[NH2+][C@@]3(C(=O)Nc4ccccc43)[C@@H]2C(=O)N1CCc1ccccc1
ZINC12886942	CC[C@H](C)N1C(=O)[C@@H]2[C@@H](Cc3c[nH]c4ccccc34)[NH2+][C@]3(C(=O)Nc4ccc(C)cc43)[C@@H]2C1=O
ZINC13557158	COc1cccc(NC(=O)c2sc3[nH+]c(N4CCCC4)c4c(c3c2N)CC(C)(C)OC4)c1
ZINC14969463	C[NH2+]Cc1ccccc1-c1ccc(N2CCc3c(C(N)=O)nn(-c4ccc(OC)cc4)c3C2=O)cc1
ZINC20287997	CC[NH+]1CCN([C@@H](c2cccs2)[C@H](C)NC(=O)C(=O)NCCc2c[nH]c3ccccc23)CC1
ZINC38769721	Cc1ccc(NC(=O)NC(=O)[C@@H](C)S[C@H]2NN=C(C3=c4ccccc4=[NH+]C3)N2C2CC2)c(C)c1
ZINC39467228	CSC1=C[C@@H]2C[C@@H]3CO[P@](=O)(c4ccccc4O)N[N@H+]3C[C@@H]2C=C1c1ccccc1O
ZINC39467612	CC(C)S(=O)(=O)C1=C[C@H]2C[C@H]3CO[P@](=O)(c4ccccc4O)N[N@@H+]3C[C@@H]2C=C1c1ccccc1O
ZINC39598931	COc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)c4ccccc4C)CC34CC[NH2+]CC4)c2c1
