ZINC19433863	CC([NH3+])C(=O)Nc1ccccc1C(=O)NC1CC1
ZINC33433830	CC(C)(C[NH+]1CCC(C(N)=O)CC1)C(N)=O
ZINC37065287	NC(=O)C1CCC[NH+]1CCn1cc(N)ccc1=O
ZINC37244010	[NH3+]CCNC(=O)C(=O)NC1CCCCCC1
ZINC37262511	CCNC(=O)C[NH2+]C1CCN(C(N)=O)CC1
ZINC37262950	NC(=O)N1CCC([NH2+]CC(=O)NC2CC2)CC1
ZINC37542228	CC(C)NC(=O)N(CC(N)=O)C1CCC[NH2+]C1
ZINC37626418	N#Cc1c(F)cccc1NC(=O)CNC(=O)C[NH3+]
ZINC38050221	Cc1[nH]ncc1S(=O)(=O)NC1CCCCC1[NH3+]
ZINC40859312	NC(=O)c1ccsc1NC(=O)C1CCC[NH2+]1
ZINC40923981	CC1CCC(C(N)=O)CN1C(=O)C(C)(C)[NH3+]
ZINC41679895	CC1CN(C(=O)C([NH3+])CC(N)=O)CC(C)(C)O1
ZINC41679898	CC1CN(C(=O)C([NH3+])CC(N)=O)CC(C)(C)O1
ZINC42432899	N/C(=N/O)c1ccc(C[NH+]2CCCC2CO)cc1
ZINC44874809	CCC(C(=O)NC1CC[NH+](C)C1)/C(N)=N/O
ZINC45228142	CC1CN(CCC(C)([NH3+])C(N)=O)CC(C)O1
ZINC45228145	CC1CN(CCC(C)([NH3+])C(N)=O)CC(C)O1
ZINC45269083	CC1CN(CCC(C)([NH3+])C(N)=O)C(C)CO1
ZINC45269085	CC1CN(CCC(C)([NH3+])C(N)=O)C(C)CO1
ZINC45582919	NC(=O)C([NH3+])CSc1nnc2n1CCCCC2
ZINC47829607	CC(NC(N)=O)C(=O)NC1CC[NH+](C(C)C)CC1
ZINC49801258	NC(=O)NC(=O)C[NH+]1CCCCC1CCO
ZINC50243229	CC(C)CNC(=O)NC(=O)CN1CCC([NH3+])C1
ZINC54075741	C[NH2+]C(C)C(=O)Nc1ccccc1S(N)(=O)=O
ZINC54399069	NC(=O)c1nccnc1NC1CC2CCC(C1)[NH2+]2
ZINC55087611	CC(C)N(CC(N)=O)C(=O)C1CCCCC1[NH3+]
ZINC55087613	CC(C)N(CC(N)=O)C(=O)C1CCCCC1[NH3+]
ZINC55129056	CC1CCC(C(=O)N(CC(N)=O)C(C)C)CC1[NH3+]
ZINC55129062	CC1CC(C(=O)N(CC(N)=O)C(C)C)CCC1[NH3+]
ZINC55129090	CC1CCC([NH3+])CC1C(=O)N(CC(N)=O)C(C)C
ZINC55129093	CC1CCC([NH3+])CC1C(=O)N(CC(N)=O)C(C)C
ZINC55129095	CC1CCC([NH3+])CC1C(=O)N(CC(N)=O)C(C)C
ZINC55129115	CC1CC([NH3+])CCC1C(=O)N(CC(N)=O)C(C)C
ZINC55140543	CNC(=O)C(C)NC(=O)CC1CCCCC1[NH3+]
ZINC55140584	CNC(=O)C(C)NC(=O)CC1CCCC([NH3+])C1
ZINC55140586	CNC(=O)C(C)NC(=O)CC1CCCC([NH3+])C1
ZINC55140588	CNC(=O)C(C)NC(=O)CC1CCCC([NH3+])C1
ZINC55146882	CNC(=O)CNC(=O)C1CCCC(C[NH3+])C1
ZINC55146884	CNC(=O)CNC(=O)C1CCCC(C[NH3+])C1
ZINC37469366	CC[NH2+]C1CCN(CC(=O)NC(N)=O)CC1
ZINC59926929	CC(C)NC(=O)N1CCCC(C(=O)NCC[NH3+])C1
ZINC61613297	[NH3+]CC(C(=O)NC1CCCNC1=O)c1ccccc1
ZINC61813697	N/C(=N/O)c1cc(N2CCCCC2CO)cc[nH+]1
ZINC62527754	CC1CN(CCC([NH3+])C(N)=O)CC(C)(C)O1
ZINC62810568	Nc1c[nH]nc1C(=O)NC1C[NH+]2CCC1CC2
ZINC62841076	CC1(C(=O)NC(C)(C)C(N)=O)CC[NH2+]CC1
ZINC63169118	C[NH2+]CC1CCCCN1CC(=O)NC(N)=O
ZINC63169209	C[NH2+]CC1CCCCN1C(C)C(=O)NC(N)=O
ZINC67128697	CC(C)(C)NC(=O)C[NH+]1CC(O)CC1C(N)=O
ZINC67128698	CC(C)(C)NC(=O)C[NH+]1CC(O)CC1C(N)=O
ZINC20309505	CC1CCC([NH2+]C(C)C(=O)NC(N)=O)CC1
ZINC35381082	[NH3+]C(c1ccc2c(c1)NC(=O)CC(=O)N2)c1ccco1
ZINC36134797	CC(C)N(CC(N)=O)C(=O)C1([NH3+])CCCCC1
ZINC36141785	Oc1ccc2c(c1O)OC1(CC[NH2+]C1)CC2O
ZINC36141786	Oc1ccc2c(c1O)OC1(CC[NH2+]C1)CC2O
ZINC36263290	[NH3+]C1CC1NC(=O)Nc1cccc([N+](=O)[O-])c1
ZINC36263294	[NH3+]C1CC1NC(=O)Nc1cccc([N+](=O)[O-])c1
ZINC36263296	[NH3+]C1CC1NC(=O)Nc1cccc([N+](=O)[O-])c1
ZINC36267608	[NH3+]C1CC1Nc1cc2c(cc1[N+](=O)[O-])NC(=O)CC2
ZINC37000635	CC(C)C([NH3+])C(=O)Nc1ccc(O)cc1[N+](=O)[O-]
ZINC37000636	CC(C)C([NH3+])C(=O)Nc1ccc(O)cc1[N+](=O)[O-]
ZINC37481771	CC1CCCCC1NC(=O)CNC(=O)C[NH3+]
ZINC38049641	[NH3+]C1CCCCC1NC(=O)c1ccc([N+](=O)[O-])[nH]1
ZINC38049642	[NH3+]C1CCCCC1NC(=O)c1ccc([N+](=O)[O-])[nH]1
ZINC38049643	[NH3+]C1CCCCC1NC(=O)c1ccc([N+](=O)[O-])[nH]1
ZINC40759942	CN(C)Nc1[nH+]cnc(Nc2nccs2)c1N
