ZINC02574883	NS(=O)(=O)c1cc(F)c(Br)cc1F
ZINC05478774	O=c1c2c([nH]c3c4c(ccc13)NCCC4)CCC2
ZINC17007619	CC1Nc2ccccc2C1/C=C1\SC(=S)NC1=O
ZINC19424043	NC(=S)c1cccnc1N1CCCCC1
ZINC19471821	CC1CCCCN1c1ccc(C(N)=S)cn1
ZINC19484514	CC1CCCN(c2ccc(C(N)=S)cn2)C1
ZINC19484516	CC1CCCN(c2ccc(C(N)=S)cn2)C1
ZINC33500954	CC(C)n1c(-c2cccc(N)c2)csc1=O
ZINC05304053	CC1CCC2=C(C1)SC1NC(=S)NC(=O)C21
ZINC05304008	CC1CCC2=C(C1)SC1NC(=S)NC(=O)C21
ZINC35180166	CC(C)NC(=O)c1cc(Br)c[nH]1
ZINC35773402	Cc1c(N)cccc1CN1CCOCC1C
ZINC36226138	CC(C)C(Br)c1nnc(N)s1
ZINC37177488	CC(c1ccc(N)cc1)N1CCCCC1=O
ZINC37222399	Nc1ccc2ccn(Cc3cccnc3)c2c1
ZINC37652466	CC(C)C(=O)Nc1cccc2c1CCNC2
ZINC34651176	CC(C)(C)NC(=O)C1Cc2ccccc2CN1
ZINC37909620	CC1CCCN1C(=O)c1cc(Cl)ccc1N
ZINC38040123	CC1CN(c2c(F)cc(N)cc2F)C(C)CO1
ZINC38051204	CC(C)C(=O)N1CCSc2ccc(N)cc21
ZINC02490242	CC1(C)Cc2c(C#N)c(N)sc(=S)c2CO1
ZINC39524324	OC1CCCC2(CCCC(O)N2Cl)C1
ZINC40292182	CC1CCCCN1C(=O)c1cc(N)c(F)cc1F
ZINC40451721	CC(C)C(O)c1cc2c(cc1F)NC(=O)CC2
ZINC40908040	CC1CN(C(C)c2cccc(N)c2)CC(C)O1
ZINC40908041	CC1CN(C(C)c2cccc(N)c2)CC(C)O1
ZINC43519218	CC(C#N)Sc1nc2ccc(N)cc2s1
ZINC45328868	O=C1NCc2ccc(Br)cc2N1
ZINC45624585	CC1CCN(C(=O)c2cc(N)ccc2Br)C1
ZINC49474066	CC12CCC(c3c1[nH]c(=S)[nH]c3=O)C2(C)C
ZINC49715827	Cc1c(N)cc(C(=O)N2CC3CCC2C3)cc1F
