ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC02548779	NS(=O)(=O)c1cc(F)c(F)cc1Br
ZINC00122162	O=C1NC(=S)N/C1=C/c1ccc(Cl)s1
ZINC01763390	NC(=O)C12OC1(Cl)CCCC2(Cl)Cl
ZINC03327397	Cc1ccc(NC2SCCNC2=O)cc1
ZINC11727858	Cc1cc(Cl)cc2cc(C(C)O)c(=O)[nH]c12
ZINC16185268	O=C1NC(=S)N/C1=C\c1ccc(Cl)s1
ZINC20155695	CC1CCCN(C(=O)Cc2ccccc2N)C1
ZINC20182743	CC(C)CC(=O)N1CCCc2ccc(N)cc21
ZINC20806070	O=P([O-])(c1ccccc1)C1CCCC[NH2+]1
ZINC21989902	Cc1c(I)cnc(N)c1C#N
ZINC05304053	CC1CCC2=C(C1)SC1NC(=S)NC(=O)C21
ZINC36888615	Nc1ccc(=O)n(Cc2cccc(F)c2F)c1
ZINC37372752	O=C(Nc1cccc2c1CCNC2)C1CCC1
ZINC37548381	O=C(Nc1ccccc1C#CCO)C1CCC1
ZINC37548853	O=C(Nc1ccc(C#CCO)cc1F)C1CC1
ZINC37668008	CC1CN(c2cc(N)cc(F)c2)C(C)CO1
ZINC37912174	CC1CCCN1c1ncccc1C(N)=S
ZINC38478266	NC(=O)c1nc(Cl)sc1Br
ZINC39280612	NC1=NC(=S)N=C2SC3CCCCC3=C12
ZINC11727853	CC(C)c1cccc2cc(C(C)O)c(=O)[nH]c12
ZINC40292476	CC1CCCN(C(=O)c2cc(N)c(F)cc2F)C1
ZINC40908831	CC1CN(C(C)c2ccc(N)cc2)C(C)CO1
ZINC42295543	Nc1ccc2ccn(CC3CCCCO3)c2c1
ZINC44713132	O=c1cc2[nH]cc(I)c2c[nH]1
ZINC49474067	CC12CCC(c3c1[nH]c(=S)[nH]c3=O)C2(C)C
ZINC49715756	Nc1ccccc1CC(=O)N1CC2CCC1C2
ZINC50014600	CN(C(=O)c1ccsc1)c1ccccc1N
ZINC18193858	Cc1nc2[nH]c(=S)[nH]c2cc1Br
ZINC50350517	CC(c1ccc(Cl)s1)S(N)(=O)=O
ZINC50957529	CC(C)(C)NC(=O)c1cccc2c1NCCC2
ZINC51331032	Cc1ccnc(Sc2cc(N)cc(F)c2)n1
ZINC51597728	Cc1ccc(C(N)=S)c(-n2ccnc2C)c1
ZINC52308343	Cc1cc(Sc2cc(N)cc(F)c2)n(C)n1
