ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC19484177	NC(=O)CNC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2[NH2+]1
ZINC20070237	NC(=O)NC(=O)C[NH2+]CC(F)(F)F
ZINC22010275	N/C(C[C@H](O)[NH+]1CCCCC1)=N\O
ZINC36234816	Cc1n[nH]c(C)c1C(=O)N[C@@H]1C[C@@H]1[NH3+]
ZINC36736527	Cc1n[nH]c(C)c1NC(=O)[C@H](C)[NH3+]
ZINC37001060	C[C@H]([NH3+])C(=O)N[C@@H]1CCC[C@H](O)C1
ZINC37019212	CC(C)[C@@H]([NH3+])C(=O)N[C@H]1CCCCNC1=O
ZINC37019243	C[C@H]([NH3+])C(=O)N[C@H]1CCCCNC1=O
ZINC37614103	C[C@@]([NH3+])(C(=O)N1CCC[C@@H](C(N)=O)C1)C1CC1
ZINC37626653	[NH3+][C@H]1CC[C@H](C(=O)N[C@H]2CCC[C@@H](O)C2)CC1
ZINC37654819	CN(CC(N)=O)C(=O)[C@](C)([NH3+])C1CC1
ZINC37691502	C[C@H]([NH2+][C@@H]1CCCC[C@@H]1O)C(N)=O
ZINC01530647	NC(=[NH2+])NC[C@H]1COC2(CCCCC2)O1
ZINC36236932	[NH3+][C@H]1C[C@H](NC(=O)[C@@H]2CSC(=O)N2)C1
ZINC39096953	C[NH2+][C@@H]1CCc2c(ccc(O)c2O)[C@@H]1O
ZINC39096957	C[NH2+][C@@H]1CCc2c(ccc(O)c2O)[C@H]1O
ZINC40366373	CC(C)NC(=O)NC1(C(N)=S)CC[NH+](C)CC1
ZINC40537955	NC1=[NH+]N=C(c2ccc(O)c(O)c2)CS1
ZINC40675041	CC(C)([NH2+][C@@H]1CCC[C@H]1O)C(N)=O
ZINC40675046	CC(C)([NH2+][C@H]1CCCC[C@H]1O)C(N)=O
ZINC41050711	Nc1nc([C@H]2C[C@H]3CCCC[C@H]3[NH2+]2)n[nH]1
ZINC41726630	CC1(C)Cc2c(ccn2CC(N)=O)[C@H]([NH3+])C1
ZINC42431657	C[C@H]1CC[C@]([NH2+][C@@H]2CCCC[C@@H]2[NH3+])(C(=O)[O-])CC1
ZINC42431662	[NH3+][C@H]1CCCC[C@@H]1[NH2+]C1(C(=O)[O-])CCCCCC1
ZINC42873436	Cc1[nH]c(NC[C@@H]2CCCCO2)c(N)[nH+]1
ZINC43514519	C[C@@H](C(N)=S)[NH+]1CCC(CC(N)=O)CC1
ZINC43516194	C[C@H](/C(N)=N/O)[N@@H+]1CCC[C@H](O)C1
ZINC44249142	COC(=O)c1scc(C[NH3+])c1N
ZINC44255571	Cc1nc(-c2ccc([C@H]([NH3+])CC(N)=O)s2)cs1
ZINC44474388	CC1CCN(c2ccc([C@@H](N)C[NH3+])o2)CC1
ZINC44726280	NNC(=S)N[C@@H]1CC[N@H+](C2CC2)C1
ZINC50249747	NS(=O)(=O)c1ccccc1N1CC[C@H](C[NH3+])C1
ZINC52094340	CC[C@@H]([NH3+])c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC52834136	CC(C)[N@@H+]1CC[C@H](CN/C(N)=N/O)C1
ZINC52834137	CC(C)[N@H+]1CC[C@@H](CN/C(N)=N/O)C1
ZINC53069630	C[C@H]([NH2+]C1(CO)CCCC1)C(N)=O
ZINC53127133	[NH3+]CC(=O)NC1(CO)CCCCC1
ZINC53127244	O=C(NC1(CO)CCCCC1)[C@H]1C[C@H](O)C[NH2+]1
ZINC40431750	NC(=O)C1CC[NH+]([C@@H]2CCCC[C@@H]2N)CC1
ZINC55091429	C[C@@H]1[C@@H]([NH3+])CCC[C@@H]1C(=O)N1CCC(C(N)=O)CC1
ZINC55091561	NC(=O)[C@H]1CCCN(C(=O)C[C@H]2CC[C@@H]([NH3+])CC2)C1
ZINC55131456	C[C@H]1CCC[C@@H](C(=O)N[C@@H]2CCCNC2=O)[C@@H]1[NH3+]
ZINC55131502	C[C@@H]1C[C@@H]([NH3+])CC[C@@H]1C(=O)N[C@@H]1CCCNC1=O
ZINC34926956	[NH2+]=C1NC(=S)N[C@@H](c2ccco2)N1
ZINC62536062	NC(=O)[C@@H]([NH3+])CCn1cc(Cl)cn1
ZINC62920607	CCC[C@]1(c2n[nH]c(N)n2)CC[NH2+]C1
ZINC62956298	CCC1(C)CC[NH+](C[C@H](N)C(N)=O)CC1
ZINC63174616	[NH3+][C@H]1CCC[C@@H]1NC(=O)NC1CC1
ZINC63212506	[NH3+][C@@H]1CCCCC[C@@H]1NC(=O)[C@@H]1CSC(=O)N1
ZINC02011710	Cn1cc(C2=C(c3cn(CCC[NH3+])c4ccccc34)C(=O)NC2=O)c2ccccc21
ZINC04740294	Nc1nc(C[NH+]2CCN(c3ccc(F)cc3)CC2)nc(Nc2cccc(Cl)c2)n1
ZINC06949597	N#Cc1ccc(OC[C@@H](O)C[NH2+]C[C@H](c2ccccc2)c2c[nH]c3ccccc23)cc1
ZINC08473857	C[C@@H](C(=O)Nc1sc2c(c1C(N)=O)CCC2)[N@H+](C)Cc1ccc(Cl)s1
ZINC08623667	NC(=O)C1CCN(C(=O)C[C@@H]2CC[NH2+]C[C@@H]2Cc2cc(-c3ccccc3)on2)CC1
ZINC09472778	CC[N@@H+]1CCc2c(sc(NC(=O)CCCSc3ccccc3)c2C(N)=O)C1
ZINC11997475	CC(=O)Nc1ccc(C[NH+]2CCC([C@@]3(CCC(C)C)NC(=O)NC3=O)CC2)s1
ZINC12884439	CCc1cccc2c1NC(=O)[C@]21[NH2+][C@@H]([C@@H](C)O)[C@H]2C(=O)N(CCc3ccccc3)C(=O)[C@H]21
ZINC19563241	COc1ccc2c(c1)c(C[NH+]1CCC(NC(=O)C3CCCC3)CC1)cn2CC(N)=O
ZINC19654762	C[C@H]1CC[C@@](CNC(=O)Cn2nc(C(F)(F)F)nc2N)([NH+]2CCCCC2)CC1
ZINC08636728	[NH2+]=c1c2cnn(-c3ccccc3)c2ncn1NC(=S)Nc1ccc(Cl)cc1Cl
ZINC20477656	Cc1c(CNCC[NH2+]CCO)c2ccccc2n1Cc1ccc(Cl)cc1Cl
ZINC22313519	Cc1cc(C)c2c(N)c(C(=O)OCC(=O)N[C@H]3CCOc4ccccc43)sc2[nH+]1
ZINC26463095	O=C(C[N@@H+]1CCC[C@H]1C(=O)Nc1cc(Cl)cc(Cl)c1)NC(=O)NC1CC1
ZINC31922881	CCCNC(=O)C[NH+]1CCC(NC(=O)c2cc(Br)ccc2O)CC1
ZINC32879149	Cc1c(C#N)c(NC(=O)C[N@H+]2Cc3ccccc3C[C@@H]2C(N)=O)n(C2CCCC2)c1C
ZINC06661233	C[NH+](C)CCCNc1cc(N2CCCCC2)c(N)c2c1C(=O)c1ccccc1C2=O
ZINC35087373	CC(C)(C(=O)N[C@H]1[C@H]2C[C@@]3(O)C[C@@H]1C[C@@](O)(C2)C3)[NH+]1CCN(c2ccc(C(F)(F)F)cn2)CC1
ZINC20572209	C[C@@H]1CCc2c(sc(NC(=O)CN3CC[NH+](Cc4ccco4)CC3)c2C(N)=O)C1
ZINC20572210	C[C@H]1CCc2c(sc(NC(=O)CN3CC[NH+](Cc4ccco4)CC3)c2C(N)=O)C1
ZINC37063223	CC[N@@H+]1CCC[C@H]1CNS(=O)(=O)c1c(Br)cc(N)cc1Br
