CHEMBL8659	CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
CHEMBL82293	CCCCCCCCCCCCCCCC(=O)[O-]
CHEMBL1077990	COC(=O)c1sc(-c2cccs2)cc1NC(=O)/C=C/C(=O)[O-]
CHEMBL378857	O=C([O-])C(O)c1cccc(OCc2ccccc2Cl)c1OCc1ccccc1Cl
CHEMBL247920	CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)[O-])c1
CHEMBL394966	O=C([O-])COc1cccc(-c2ccccc2-c2cc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1
CHEMBL248120	CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(C(O)C(=O)[O-])c1
CHEMBL459902	O=C([O-])c1cccc2c3c(n(Cc4ccccc4)c12)CCC3
CHEMBL459901	O=C([O-])c1ccc2c3c(n(Cc4ccccc4)c2c1)CCCC3
CHEMBL452596	O=C([O-])c1cccc2c3c(n(Cc4ccccc4)c12)CCCC3
CHEMBL267484	CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)[O-]
CHEMBL516469	CCCn1c2c(c3cccc(C(=O)[O-])c31)CCCCC2
CHEMBL501361	CCCn1c2c(c3cccc(C(=O)[O-])c31)CCCC2
CHEMBL245653	CCn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL245653	CCn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)[nH+]c(-c2ccccc2)c1-c1ccccc1
CHEMBL116533	O=C([O-])CCCCOc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL474944	NC(=O)c1ccccc1Cn1c2c(c3cccc(C(=O)[O-])c31)CCCCC2
CHEMBL516023	NC(=O)c1cccc(Cn2c3c(c4cccc(C(=O)[O-])c42)CCCCC3)c1
CHEMBL248144	O=C([O-])COc1cccc(-c2ccccc2-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1
CHEMBL248144	O=C([O-])COc1cccc(-c2ccccc2-c2[nH]c(-c3ccccc3)c(-c3ccccc3)[nH+]2)c1
CHEMBL248145	O=C([O-])CNc1cccc(-c2ccccc2-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1
CHEMBL248145	O=C([O-])CNc1cccc(-c2ccccc2-c2[nH]c(-c3ccccc3)c(-c3ccccc3)[nH+]2)c1
CHEMBL396698	Cn1c(-c2ccccc2-c2cccc(OCC(=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL396698	Cn1c(-c2ccccc2-c2cccc(OCC(=O)[O-])c2)[nH+]c(-c2ccccc2)c1-c1ccccc1
CHEMBL126078	O=C([O-])COc1cccc(-c2ccccc2-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1
CHEMBL212860	O=C([O-])Cc1cccc(OCc2ccccc2Cl)c1OCc1ccccc1Cl
CHEMBL247298	O=C([O-])c1cccc(OCc2ccc(Cl)cc2Cl)c1OCc1ccc(Cl)cc1Cl
CHEMBL184795	O=C([O-])CCCCn1c2ccccc2c2ccccc21
CHEMBL285527	O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12
CHEMBL245857	CC(C)Cn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL245857	CC(C)Cn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)[nH+]c(-c2ccccc2)c1-c1ccccc1
CHEMBL437489	COC(C(=O)[O-])c1cccc(OCc2ccccc2Cl)c1OCc1ccccc1Cl
CHEMBL514666	COc1cccc(Cn2c3c(c4cccc(C(=O)[O-])c42)CCCC3)c1
CHEMBL184136	COc1ccc(CSc2nc([O-])cc(C(F)(F)F)n2)cc1
CHEMBL394440	CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(C(=O)[O-])c1
CHEMBL247529	CCc1c(-c2ccccc2-c2cccc(OCC(=O)[O-])c2)oc(-c2ccccc2)c1-c1ccccc1
CHEMBL475549	COc1ccccc1Cn1c2c(c3cccc(C(=O)[O-])c31)CCCC2
CHEMBL518180	O=C([O-])c1cccc2c3c(n(Cc4ccccc4F)c12)CCCCC3
CHEMBL460749	O=C([O-])c1cccc2c3c(n(Cc4cccc(F)c4)c12)CCCCC3
CHEMBL518181	O=C([O-])c1cccc2c3c(n(Cc4ccc(F)cc4)c12)CCCCC3
CHEMBL460750	O=C([O-])c1cccc2c3c(n(Cc4ccccc4C(F)(F)F)c12)CCCCC3
CHEMBL245284	CCn1c(-c2ccccc2-c2cccc(OCC(=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL245284	CCn1c(-c2ccccc2-c2cccc(OCC(=O)[O-])c2)[nH+]c(-c2ccccc2)c1-c1ccccc1
CHEMBL378181	O=C([O-])C(=O)c1cccc(OCc2ccccc2Cl)c1OCc1ccccc1Cl
CHEMBL397385	O=C([O-])COc1cccc(-c2ccccc2-c2nc(-c3ccccc3)c(-c3ccccc3)n2CCF)c1
CHEMBL397385	O=C([O-])COc1cccc(-c2ccccc2-c2[nH+]c(-c3ccccc3)c(-c3ccccc3)n2CCF)c1
CHEMBL245282	Cn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)nc(-c2ccccc2)c1-c1ccccc1
CHEMBL245282	Cn1c(-c2ccccc2-c2cccc(NCC(=O)[O-])c2)[nH+]c(-c2ccccc2)c1-c1ccccc1
CHEMBL246902	O=C([O-])COc1cccc(-c2ccccc2-c2cc(-c3ccccc3)c(-c3ccccc3)o2)c1
CHEMBL185595	O=C([O-])CCCn1c2ccccc2c2ccccc21
CHEMBL474942	O=C([O-])c1cccc2c3c(n(Cc4ccccc4C(F)(F)F)c12)CCCC3
CHEMBL514969	O=C([O-])c1cccc2c3c(n(Cc4ccccc4)c12)CCCCC3
CHEMBL474743	O=C([O-])c1cccc2c3c(n(Cc4ccccc4F)c12)CCCC3
