ZINC01406388	O=[N+]([O-])c1ccc(Sc2ccc(Br)cc2)c(Br)c1
ZINC02302104	C=CCSc1nc2sc3c(c2c(=O)n1-c1ccc(C)cc1)C(C)CCC3
ZINC04779448	Fc1cc(Cl)c(CSc2nn(-c3ccccc3)c(=S)s2)cc1F
ZINC01671461	ClC(Cl)(Cl)SN1CCN(SC(Cl)(Cl)Cl)CC1
ZINC04838783	CCN1C(=O)/C(=C\c2ccc(-c3ccc(Cl)cc3Cl)o2)SC1=S
ZINC03000852	Cc1cccc(N2C(=O)/C(=C/c3cc(C)n(-c4ccccc4)c3C)SC2=S)c1
ZINC01191266	COc1ccc(/C=C2\SC(c3ccc(C)cc3)=NC2=O)cc1Br
ZINC02397234	CCn1c(SCc2ccc(C)c(C)c2)nc2sc3c(c2c1=O)CCCC3
ZINC05203198	O=C1C=C(c2ccccc2)C(=O)C2(c3ccccc3)C=CCC(c3ccccc3)C12
ZINC03201428	O=C(c1ccccc1)C1(c2nc3ccccc3s2)Sc2ccccc2C1=O
ZINC02999612	O=S(=O)(Oc1c(Cl)cccc1Cl)c1ccc(Br)cc1
ZINC01617195	COc1cc2c(cc1OC)C(Cl)C(c1ccc(Br)cc1)=C2Cl
ZINC06925642	O=C1S/C(=C/c2ccc(Cl)cc2)C(=O)N1Cc1c(F)cccc1Cl
ZINC08167287	CN(C1CCCc2ccccc21)S(=O)(=O)c1ccc(Br)s1
ZINC08428135	CCc1ccc(-c2noc(CSc3nnc(-c4cccs4)n3N)n2)cc1
ZINC05570461	Cc1c(-c2ccccc2)c(=O)nc(/C=C/c2ccccc2F)n1-c1ccccc1
ZINC02571001	Cc1cc(C)c(S(=O)(=O)Oc2ccc(C3SCCCS3)cc2)c(C)c1
ZINC13466822	CN(C)c1ccc(Oc2ccc3c(c2)CCC2C3CCC3(C)C(=O)CCC23)cc1
ZINC16779011	CCC1c2ccsc2CCN1C(=O)/C=C/c1ccc(Br)s1
ZINC17214822	O=C(OC1CCC(=C2SCCCS2)C1C1SCCCS1)c1ccccc1
ZINC21735970	Fc1cccc(CSc2nnc(-c3ccc(Br)cc3)o2)c1F
ZINC12819338	Brc1ccc(CN2CCN(c3nc4ccccc4s3)CC2)s1
ZINC15769697	N#CC1C(c2ccccc2)C(C(=O)c2cccs2)C2c3ccccc3C=CN12
ZINC35285094	COc1cc(CCl)cc(Cl)c1OCc1ccc(Br)cc1F
ZINC35657382	C=CCOc1c(I)cc(I)cc1C=O
ZINC36620491	O=S(=O)(c1ccc(Br)s1)N1CCCC1c1ccccc1F
ZINC37348452	CC1CC(OCC(=O)c2ccc(I)cc2)CC(C)(C)C1
ZINC38337732	CC(C)(C)C1(C#N)C(=O)C2C3C(CC21)C(=O)C3(c1ccccc1)c1ccccc1
ZINC38337943	O=C1C(c2ccccc2)(c2ccccc2)C(=O)C1(c1ccccc1)c1ccccc1
ZINC39457779	CSc1c2c(n(Cl)c1C)-c1nccc(Cc3ccccc3)c1C(=O)CC2
ZINC39526775	CSC1CCCC2(CCCC(SC)N2S(=O)(=O)c2ccccc2)C1
ZINC39885033	N#C/C(=C\c1ccc(-c2ccc(Cl)cc2)o1)c1nc(-c2cccs2)cs1
ZINC40274759	CS(=O)(=O)c1cccc(C(Cl)c2cc(Br)sc2Br)c1
ZINC43710780	Cc1nn(C(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c2c1C1C(C2)C1(C)C
ZINC48445553	Cc1ccccc1C1CCCN1S(=O)(=O)c1sccc1Br
ZINC48520148	Cc1ccsc1CN(C)C(=O)c1cc(Br)ccc1I
ZINC48526943	O=C(Oc1ccc(C2SCCS2)cc1)c1csc(Br)c1
ZINC48527657	N#Cc1c(F)cccc1OC(=O)c1cc(Br)c(Br)s1
ZINC48600124	CCn1c(SCc2csc(Br)c2)nc2ccsc2c1=O
ZINC48667758	Cc1cc(Cl)ccc1S(=O)(=O)N(C)Cc1cc(Br)cs1
ZINC49372380	Clc1cc(Cl)c2nnc(SCc3ccc(Br)s3)n2c1
ZINC49932395	CC(Oc1ccc(I)cc1)C(=O)c1ccc(F)cc1F
ZINC50162083	O=C(COCCc1cccs1)c1cc(Br)sc1Br
ZINC52572008	CN1C(C)(C)C=C(C2=C(c3ccncc3)C(c3ccc(F)cc3)=NC2)CC1(C)C
ZINC14099034	O=S(=O)(Oc1ccccc1C(F)(F)F)c1ccc(Br)s1
ZINC59396511	O=C1/C(=C/c2ccc(F)cc2)SC(=S)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1
ZINC61563094	COc1cc(F)c(C(Br)c2ccc(Br)s2)cc1OC
ZINC62703515	FC(F)(F)COCCOc1ccc(CBr)cc1Br
ZINC41431576	C=C(C)COc1ccc2c(c1C)O/C(=C\c1ccc(Br)cc1)C2=O
ZINC64984113	O=S(=O)(c1ccc(F)c(Cl)c1)N1CCCCCC1c1cccc(F)c1
ZINC06601135	CCOc1ccc(NC(=O)CSc2nc(-c3ccc(Br)cc3)nc3ccc(F)cc23)cc1
ZINC08900598	COc1cc(NC(=O)/C=C/c2cc(Br)cc(Br)c2OC)c(OC)cc1Cl
ZINC09408698	CCC(Sc1nc2ccccc2s1)C(=O)NC1=NN=C(c2ccc(Br)cc2)CS1
ZINC03038659	Cc1nc2nc(SCC(=O)Nc3ccc(Br)cc3)nn2c(C)c1Cc1ccc(Cl)cc1
ZINC12416320	CC1=NC2=C(C(=O)CC(c3cccs3)C2)C(c2ccc3c(c2)OCO3)C1C(=O)Nc1ccc(F)cc1
ZINC15955294	Cc1c(OCC(=O)N2CCC3(O)CCCCC3C2c2ccc(Cl)cc2)ccc2c3c(c(=O)oc12)CCC3
ZINC16001739	O=C(c1cccs1)C1C(C(=O)c2ccccc2)C2(C(=O)Nc3ccccc32)C2C=Cc3ccccc3N12
ZINC18172534	COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2N(C(C)=O)C3c2ccc(Cl)cc2)cc1OC
ZINC00679264	COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)c(OC)c3)C2)C1c1ccc(Br)cc1
ZINC19925967	COc1ccc(C2Oc3ccc(C)cc3C3=C2C(c2ccccc2)n2ncnc2N3)cc1Br
ZINC20242417	CC1CCCC(NC(=O)c2ccc3c(c2)N(Cc2ccccc2F)C(=O)c2ccccc2S3=O)C1C
ZINC01148969	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3cccs3)C2)C1c1ccc(OC)c(Br)c1
ZINC21225429	COc1cc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(F)c(Br)c2)ccc1OC(C)C
ZINC22365373	Cc1ccc2c(c1)OC(C)(C)CC2NC(=O)CN(c1cc(Cl)c(Cl)cc1Cl)S(C)(=O)=O
ZINC22370871	Cc1ccc2c(c1)C(NC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1)CC(C)(C)O2
ZINC23157058	Cc1nc2sc(C(c3ccc(Br)cc3)N3CCN(c4ccccc4F)CC3)c(O)n2n1
ZINC23888480	CCc1nc2sc(C(c3cccc(C(F)(F)F)c3)N3CCN(c4ccc(F)cc4)CC3)c(O)n2n1
ZINC23888484	CCc1nc2sc(C(c3cccc(C(F)(F)F)c3)N3CCN(c4ccc(F)cc4)CC3)c(O)n2n1
ZINC28155585	Cc1ccc(C2=NN(C3=NC(=O)C(CC(=O)Nc4cc(C)ccc4C)S3)C(c3ccc(F)cc3)C2)cc1
ZINC28156465	Cc1ccc(C2=NN(C3=NC(=O)C(CC(=O)Nc4cc(C)ccc4C)S3)C(c3cccs3)C2)cc1
ZINC28157047	Cc1ccc(C2CC(c3ccc(F)cc3)=NN2C2=NC(=O)C(CC(=O)Nc3cc(C)ccc3C)S2)cc1
ZINC32698591	O=C(CSc1nc(-c2ccccc2)c(-c2ccccc2)o1)Nc1ccc(I)cn1
ZINC32912328	CC(=O)N1N=C(c2c(-c3ccccc3)c3ccccc3[nH]c2=O)CC1c1cc2ccc(C)cc2nc1Cl
ZINC32912329	CC(=O)N1N=C(c2c(-c3ccccc3)c3ccccc3[nH]c2=O)CC1c1cc2ccc(C)cc2nc1Cl
ZINC34730077	O=C(Cn1c(=O)n(C2CCCC2)c(=O)c2c3c(sc21)CCCC3)Nc1ccc(Br)cc1
