ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC01686502	[NH3+][C@@]1(C(=O)[O-])C=C(c2ccccc2)[C@](O)(c2ccccc2)C1
ZINC05722317	CC1=C(/C(C)=N/NC(=O)C(N)=O)Sc2ccccc2N1
ZINC03102185	NC(=O)C(C(N)=O)[C@H]1OC(=O)C(Br)=C1Br
ZINC19515485	COc1ccc(N)cc1OCc1ccc(C(N)=O)cc1F
ZINC31890736	NS(=O)(=O)c1ccc2c(c1)NC(=O)[C@H](c1ccccc1)N2
ZINC35082737	[NH3+][C@@H](CSCC(=O)Nc1cc(Cl)c(Cl)cc1Cl)C(=O)[O-]
ZINC35359329	[NH3+][C@H](CCCC(=O)[O-])c1cc2c(cc1Cl)NC(=O)C2
ZINC35359332	[NH3+][C@@H](CCC(=O)[O-])c1cc2c(cc1Cl)NC(=O)C2
ZINC35366684	Cc1ccsc1C(=O)N(CC(N)=O)Cc1cccc(N)c1
ZINC31862605	CC(C)(C)[C@H]1CCC2=C(C(=O)NN)C(=N)S[C@@H]2C1
ZINC15221682	CN1N=C([NH-])/C(=N\Nc2ccc(Cl)c(C(F)(F)F)c2)C1=[NH2+]
ZINC36231485	NC(=S)c1ccc([C@@H](O)CN2CCN(CCO)CC2)cc1
ZINC36331142	Nc1cc2c(cc1NC1CCS(=O)(=O)CC1)NC(=O)C2
ZINC37001901	CC(C)[C@H]([NH3+])C(=O)Nc1cc(C(=O)[O-])c(F)cc1F
ZINC37073581	O=c1[nH]c2ccc(NCc3cccc(O)c3)cc2[nH]c1=O
ZINC37182380	CCNC(=O)NC(=O)[C@H](C)Sc1ccc(N)cc1
ZINC37934271	CC[C@H]1CO[C@H](C)CN1c1cc(N)cc(S(N)(=O)=O)c1
ZINC37934272	CC[C@@H]1CO[C@@H](C)CN1c1cc(N)cc(S(N)(=O)=O)c1
ZINC38051375	CCNC(=O)NC(=O)[C@H](C)N1CCSc2ccc(N)cc21
ZINC12360091	O[C@@H](c1nc2ccccc2[nH]1)[C@H](O)c1nc2ccccc2[nH]1
ZINC40314151	COc1ccccc1CN(C)C(=O)c1cc(N)cc(N)c1
ZINC40319331	C[C@H](c1ccc(F)cc1)N(C)C(=O)c1cc(N)cc(N)c1
ZINC40326666	CCCCN(CC(N)=O)C(=O)c1cc(N)c(C)c(F)c1
