ZINC01208863	CN1C(=O)N(C)C2C1N(CO)C(=O)N2CO
ZINC00135647	CC(O)CN1CCCn2c1nc1c2c(=O)n(C)c(=O)n1C
ZINC04922477	Nc1c([N+](=O)[O-])nn(-c2ccc3c(c2)OCCO3)[n+]1[O-]
ZINC05898127	O=C(NNC1CCS(=O)(=O)C1)c1ccccc1[N+](=O)[O-]
ZINC06525979	Cc1nn(C(F)F)c(C)c1C(=O)Nn1cc([N+](=O)[O-])cn1
ZINC12371921	CSc1nnc(CSc2nnc3n(N)cnn23)s1
ZINC12547862	c1ccn2c(CNc3ncnc4[nH]ncc34)nnc2c1
ZINC09877792	CSc1nnc(-c2nonc2NC(C)=O)n1C
ZINC01229134	Nc1nnnn1/N=C/c1ccc([N+](=O)[O-])cc1
ZINC08581300	Cn1c(=O)c2nc(NN=O)[nH]c2n(C)c1=O
ZINC20932207	CNc1ccc(/C=N/n2c(C)n[nH]c2=S)cc1[N+](=O)[O-]
ZINC08549339	Cc1cc(-c2nc3c4c[nH+]nc-4ncn3[n-]2)n(C)n1
ZINC08549339	Cc1cc(-c2nc3c4cn[nH]c4ncn3n2)n(C)n1
ZINC33334991	O=[N+]([O-])/C(Cl)=C\C(=C1\NCCO1)[N+](=O)[O-]
ZINC35575666	Cn1nc2nc(S(C)(=O)=O)nc(-c3ccco3)c2c1N
ZINC37920106	O=[N+]([O-])c1ccc(NCc2nc[nH]n2)nc1
ZINC38815494	COC(=O)C(C)NC1N=NC(=O)NC1=O
ZINC38815496	COC(=O)C(C)NC1N=NC(=O)NC1=O
ZINC39565723	COCC/N=C1\N=C2C(=O)N(C)C(=O)N(C)C2N1
ZINC40167212	O=C1NC2CS(=O)(=O)CC2N1c1ccc([N+](=O)[O-])cc1
ZINC40329206	CN(CC(=O)N1CCCC1)C(=O)Cn1cnc(N)n1
ZINC41160038	Cn1cc(CNc2ncc([N+](=O)[O-])cn2)cn1
ZINC42350042	CNC(=O)C(C)Nc1nc2sccn2c1[N+](=O)[O-]
ZINC05722252	CC1COC2N/C(=N\[N+](=O)[O-])NC2O1
ZINC44610208	ON=C1CCN(c2cncc3nnnn23)CC1
ZINC44610314	c1n[nH]cc1CNc1cncc2nnnn12
ZINC44610418	CNC(=O)C(C)Nc1cncc2nnnn12
ZINC47427676	Cc1cc(C(=O)NNC(=O)C2CC2)ccc1-n1cnnn1
ZINC48624641	O=C(NCc1cccnc1-n1cncn1)c1cnns1
ZINC48768299	COC(=O)N1CCN(C(=O)Nc2nncs2)CC1
