ZINC00178939	NC(=O)c1c(NC(=O)c2cccnc2Cl)sc2c1CCCCC2
ZINC00181741	CC1=C(C(=O)Nc2ccccc2C)C(c2ccccc2F)NC(=O)N1
ZINC00483795	CCCC1CCc2c(sc(NC(=O)C3CCCO3)c2C(N)=O)C1
ZINC00062656	Nc1ccccc1C(=O)N1N=C(C(F)(F)F)CC1(O)c1ccccc1
ZINC00633598	O=C(CC1(O)C(=O)Nc2c(Cl)cc(Cl)cc21)c1ccccc1O
ZINC02884642	Cc1ccc(OC(C)C(=O)Nc2sc(C)c(C)c2C(N)=O)cc1
ZINC05698415	Cc1ccc(/C=C(\C#N)C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1
ZINC01410914	N#C/C(=C\c1cc(Br)ccc1O)C(=O)Nc1ccc(O)cc1
ZINC05392716	Cc1ccc(S(=O)(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)cc1
ZINC13639935	COC(=O)c1cccc2c1NC(c1ccc(O)cc1O)C1CC=CC21
ZINC15665465	Cc1cccc(NC(=S)NNC(=O)c2c(C)oc(C)c2C)c1C
ZINC20432495	COc1ccc(N)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1
ZINC21506726	CC(Sc1ncccn1)C(=O)Nc1c(Cl)cc(N)cc1Cl
ZINC37337999	Cc1ccc2nc([N-]S(=O)(=O)c3ccc(C[NH3+])s3)sc2c1
ZINC37844211	CC(NC(=O)c1csc(Br)c1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC02234917	O=C(CC1(O)C(=O)Nc2cc(Cl)cc(Cl)c21)c1ccccc1O
ZINC43407971	N/C(=N/O)c1cc2c(nc1Oc1ccccc1Br)CCC2
ZINC45306622	O=C(NNC(=O)c1ccccc1Cl)NC1CCc2ccccc21
ZINC48795087	O=C1COc2ccc(NCc3cccc(Br)c3O)cc2N1
ZINC49126912	COc1ccc(S(=O)(=O)NC(C)c2ccc(Cl)s2)cc1N
ZINC00184458	NC(=O)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC51168246	COc1ccc(Br)cc1-c1nc2c(c(NN)n1)CCC2
ZINC52094789	COc1ccc(C(O)c2cc3[nH]c(=O)[nH]c3cc2Br)cc1
ZINC53492340	CC(NC(=O)N1CCC(C(N)=O)CC1)c1ccc(Br)cc1
ZINC37519192	Nc1ccc([N-]S(=O)(=O)c2c(Cl)cc(Cl)cc2Cl)c[nH+]1
ZINC06438797	CC1=NN(c2ccc(C)cc2)C(=O)/C1=C\Nc1ccc(Cl)c(N)c1
ZINC55477697	O=C(CNC(=O)C1CCCC1)NC1C2CCCC1C[NH+](C1CC1)C2
ZINC15842785	Cc1ccc(C)c(NC(=S)NNC(=O)c2cccnc2Cl)c1
ZINC00867048	Cc1ccc(C2CC(C(F)(F)F)n3nc(C(N)=O)c(Cl)c3N2)cc1
ZINC47155234	CC(NC(=O)Nc1ccccc1C(F)(F)F)c1ccc2c(c1)CC(=O)N2
ZINC47156209	CCc1cccc(CC)c1NC(=O)NC(C)c1ccc2c(c1)CC(=O)N2
ZINC47156456	CC(NC(=O)Nc1cccc(Cl)c1F)c1ccc2c(c1)CC(=O)N2
ZINC47156599	CC(NC(=O)Nc1cc(Cl)ccc1F)c1ccc2c(c1)CC(=O)N2
ZINC60208925	Cc1cc(Cl)ccc1NC(=O)c1sc(S(N)(=O)=O)cc1C
ZINC60531646	Cc1cc(C(=O)NC2CCc3ccccc3C2)cc(S(N)(=O)=O)c1C
ZINC47553342	Cc1[nH]c2ccc(C(=O)Nc3cc(C(F)(F)F)c[nH]c3=O)cc2c1C
ZINC61594750	CCCn1c(SCc2c(N)cccc2Br)n[nH]c1=O
ZINC48348866	NC(=O)N1CCC(C(=O)NCC2(c3ccc(F)cc3)CCCC2)CC1
ZINC13123724	OC1(C(F)(F)F)CC(O)(C(F)(F)F)n2nc(-c3ccccc3)cc2N1
ZINC62250081	O=C1CCc2cc(NC(=O)NC3(c4ccccc4)CCC3)ccc2N1
ZINC64344663	CC(NC(=O)CN1c2ccccc2CC1C(N)=O)c1ccc(F)cc1
ZINC64529890	Cc1ccc(C2CCCN2C(=O)Nc2ccc(F)c(C(N)=O)c2)cc1C
ZINC46986771	Cc1ccsc1CNC(=O)NC(C)c1ccc2c(c1)CCC(=O)N2
