CHEMBL192145	C#CCCCn1c(Sc2cc(OC)ccc2Br)nc2c(N)ncnc21
CHEMBL192062	C#CCCCn1c(Sc2cc(OC)ccc2Cl)nc2c(N)ncnc21
CHEMBL379345	CCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL438613	CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL200102	CC(C)[NH2+]CCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21
CHEMBL371915	O=S(=O)([N-]c1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cc(Cl)ccc1Cl
CHEMBL371915	O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cc(Cl)ccc1Cl
CHEMBL448474	CC(=O)OCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL438068	CCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL377782	C=CCNc1c(O)cc2nc3oc2c1CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C\3C
CHEMBL252164	CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1
CHEMBL200628	O=S(=O)([N-]c1ccc(O)c(-c2c(O)ccc3ccccc23)c1)c1cccs1
CHEMBL514748	CCOc1ccc(-c2snnc2-c2cc(CC)c(O)cc2O)cc1
CHEMBL404630	Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl
CHEMBL404630	Oc1cc(O)c(-c2noc3ccc(NCC[NH+]4CCOCC4)cc23)cc1Cl
CHEMBL366215	COc1ccc(-c2c(-c3cc(Cl)c(O)cc3O)n[nH]c2C(N)=O)cc1
CHEMBL366215	COc1ccc(-c2c(C(N)=O)n[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL385927	N#CCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL365700	COc1ccc(-c2c(-c3cc(Cl)c(O)cc3O)n[nH]c2C(=O)NC(C)C)cc1
CHEMBL365700	COc1ccc(-c2c(C(=O)NC(C)C)n[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL361078	Oc1ccc2c(-c3cc(Br)c(O)cc3O)noc2c1
CHEMBL386399	CCCCn1c(Sc2nc3cccc(OC)c3s2)nc2c(N)ncnc21
