CHEMBL264679	CCCCCCc1ccc(Oc2ccccn2)c(O)c1
CHEMBL424724	O=C(Nc1cccc(Cc2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL258933	CCCCCCc1ccc(Oc2nc(OC)cc(OC)n2)c(O)c1
CHEMBL258932	CCCCCCc1ccc(Oc2cnccn2)c(O)c1
CHEMBL405655	CCCCCCc1ccc(Oc2cccnc2)c(O)c1
CHEMBL264682	CCCCCCc1ccc(Oc2ccccc2)c(O)c1
CHEMBL259138	CCCCCCc1ccc(Oc2ccncc2)c(O)c1
CHEMBL259138	CCCCCCc1ccc(Oc2cc[nH+]cc2)c(O)c1
CHEMBL849	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
CHEMBL849	[O-]c1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
CHEMBL261355	CCCCCCc1ccc(Oc2ccc(CN3CC[NH+](C)CC3)cc2)c(O)c1
CHEMBL261355	CCCCCCc1ccc(Oc2ccc(C[NH+]3CCN(C)CC3)cc2)c(O)c1
CHEMBL217594	CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL217852	O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CC3CCC2C3)C1
CHEMBL426702	CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CC3CCC2C3)C1
CHEMBL216807	O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL217057	O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C1CC(=O)N(C2CCCCCC2)C1
CHEMBL414086	CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCCC2)C1
CHEMBL258931	CCCCCCc1ccc(Oc2ncccn2)c(O)c1
CHEMBL264417	CCCCCCc1ccc(Oc2ccc([N+](=O)[O-])cc2)c(O)c1
CHEMBL264176	CCCCCCc1ccc(Oc2ccccc2NC(C)=O)c(O)c1
CHEMBL240533	O=C(c1ccccc1)N1CCN(C2c3ccccc3-c3ccccc32)CC1
CHEMBL392127	Cc1ccc(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1
CHEMBL429332	CCCCCCc1ccc(Oc2ncccn2)c(OC)c1
CHEMBL264416	CCCCCCc1ccc(Oc2cccc([N+](=O)[O-])c2)c(O)c1
CHEMBL216579	O=C(c1ccc2[nH]ccc2c1)N1CCN(C2c3ccccc3-c3ccccc32)CC1
CHEMBL260399	CCCCCCc1ccc(Oc2ccc(NC(=O)c3ccno3)cc2)c(O)c1
CHEMBL428967	CCCCCCc1ccc(Oc2ccccc2NC(=O)c2ccno2)c(O)c1
CHEMBL239673	Cc1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1C
CHEMBL262343	CCCCCCc1ccc(Oc2ccc(NC(=O)C(=O)[O-])cc2)c(O)c1
CHEMBL407324	CCCCCCc1ccc(Oc2ccccc2NC(=O)C(=O)[O-])c(O)c1
CHEMBL386329	CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCC2)C1
CHEMBL262360	CCCCCCc1ccc(Oc2ccc(NC(C)=O)cc2)c(O)c1
CHEMBL263646	CCCCCCc1ccc(Oc2cccc(NC(=O)C(=O)[O-])c2)c(O)c1
CHEMBL441373	O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL385214	O=C(Nc1cccc(Br)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL425259	Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL404983	CCCCCCc1ccc(Oc2cccc(NC(C)=O)c2)c(O)c1
CHEMBL264175	CCCCCCc1ccc(Oc2ccc(N)cc2)c(O)c1
CHEMBL386324	O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL264434	CCCCCCc1ccc(Oc2ccccc2N)c(O)c1
CHEMBL404984	CCCCCCc1ccc(Oc2cccc(N)c2)c(O)c1
CHEMBL505886	CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1
CHEMBL264415	CCCCCCc1ccc(Oc2ccccc2[N+](=O)[O-])c(O)c1
CHEMBL405653	CCCCCCc1ccc(Oc2cccc(NC(=O)c3ccno3)c2)c(O)c1
CHEMBL408149	CCCCCCc1ccc(Oc2ccccc2CN2CC[NH+](C)CC2)c(O)c1
CHEMBL408149	CCCCCCc1ccc(Oc2ccccc2C[NH+]2CCN(C)CC2)c(O)c1
