CHEMBL323994	O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1
CHEMBL1079594	N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(C5CCOc6c(F)cccc65)c4n3)c2c1
CHEMBL1080955	Cc1nccn1Cc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
CHEMBL1080955	Cc1[nH+]ccn1Cc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
CHEMBL1078276	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3ccc(C[NH+]4CCCCC4)cc3)n2)cc1
CHEMBL1078277	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc1
CHEMBL1078274	COc1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)ccc1O
CHEMBL1078275	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3cccc(C[NH+]4CCCC4)c3)n2)cc1
CHEMBL1081138	c1cc(-c2ccc3[nH]ccc3c2)nc(Nc2ccc(N3CCOCC3)cc2)n1
CHEMBL1081484	COc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)c(F)c4)c3o2)cc(OC)c1OC
CHEMBL232147	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)C(C)(C)O
CHEMBL232147	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)N1CC[NH+](C)CC1)n2C)C(C)(C)O
CHEMBL231733	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)NCCCn1cc[nH+]c1)n2C)c1ccccc1
CHEMBL231733	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)NCCCn1ccnc1)n2C)c1ccccc1
CHEMBL391096	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)N1CCOCC1)n2C)c1ccccc1
CHEMBL393375	COc1ccc(Cl)c(Nc2nc(-n3c[nH+]c4ccncc43)nc3c2cc(C(=O)N2CCN(C)CC2)n3C)c1
CHEMBL393375	COc1ccc(Cl)c(Nc2nc(-n3c[nH+]c4ccncc43)nc3c2cc(C(=O)N2CC[NH+](C)CC2)n3C)c1
CHEMBL1079078	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3ccc(N4CCC(O)CC4)cc3)n2)cc1
CHEMBL412099	N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1
