ZINC03458097	Cc1cc(C)cc(CN2C(=O)NC3(CCC(C)CC3)C2=O)c1
ZINC00148901	CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1
ZINC00210149	N#CC1C(=O)NC(=S)N(c2ccccc2)C1c1ccccc1
ZINC01099551	OC1CSc2nc(Cc3c(Cl)cccc3Cl)nn2C1
ZINC06634253	CC1(C)C2CCC1(S(=O)(=O)NC1CCCCC1)C(=O)C2
ZINC08976387	O=C(Nc1onc2c1CCC2)c1ccc(Br)s1
ZINC09365386	CC(=O)c1c(C)[nH]c(C(=O)N2CCC3CCCCC3C2)c1C
ZINC12935736	Cc1c(C(=O)NC2(C)CCS(=O)(=O)C2)sc2ccccc12
ZINC02741222	Cc1nn(C)c2nc(-c3ccc(O)cc3)cc(C(F)(F)F)c12
ZINC20412441	CC1CC[NH+](Cc2cc(=O)oc3cc([O-])c(Cl)cc23)CC1
ZINC20594226	Cc1cc(-c2csc3[nH]c(C(C)Cl)nc(=O)c23)c(C)o1
ZINC32282241	CC(NC(=O)C1CC=CCC1)c1ccc2c(c1)OCCCO2
ZINC32507894	CC1CCc2c(sc3ncn(C(CO)C(C)C)c(=O)c23)C1
ZINC35118947	Cc1c(C)c(C)c(S(=O)(=O)N2CCCC(O)C2)c(C)c1C
ZINC37577236	Cc1cc(S(=O)(=O)N2CCCCCC2)ccc1C#CCO
ZINC37805433	Cc1ccsc1CN(C)C(=O)C1CNc2ccccc2O1
ZINC01008767	O=C(c1ccccc1)N1CC(O)N(c2ccc(Cl)cc2)C1=S
ZINC37902335	OCc1c(Oc2ccc(F)cc2Cl)nc2sccn12
ZINC40879778	OCc1cc(-n2cc(Br)cn2)nc2ccccc12
ZINC41393908	Cn1c(NC2CCSCC2)nc2sc3c(c2c1=O)CCCC3
ZINC42524703	Cc1cc/c(=N/S(=O)(=O)c2sccc2Br)[nH]c1
ZINC48610402	CC(C)C1(C)NC(=O)N(Cc2c(F)cccc2Cl)C1=O
ZINC48687464	Cn1c(C(=O)N2CCCC2c2ccc[nH]2)cc(Cl)c1Cl
ZINC48943867	CC1CCC(C(C)C)C(NC(=O)C2CCS(=O)(=O)C2)C1
ZINC44982935	CC1CCC(c2noc(C3=C4CCCC4SC3=N)n2)CC1
ZINC50132417	CC(C(=O)c1ccc(Cl)cc1Cl)N1CCNC(=O)C1
ZINC50911840	S=c1[nH]nc(N2Cc3ccccc3C2)n1C1CCCCC1
ZINC02770792	Cc1ccc(C2CC(C(F)(F)F)n3ncc(C#N)c3N2)cc1
ZINC54752744	Cc1cccc(-c2nc(=O)c3c(CC(C)C)csc3[nH]2)n1
ZINC00222105	Fc1ccc(C2CC(c3ccccc3F)n3ncnc3N2)cc1
ZINC02620240	Cc1ccc(S(=O)(=O)[NH+]=c2cccc3[n-]cccc2-3)s1
ZINC44221345	Cc1ccc(C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)s1
ZINC36851148	CC(C)N1C(=O)CC(Nc2cc(Cl)ccc2Cl)C1=O
ZINC61706967	Cc1cc(Cl)c(C)c(S(=O)(=O)N2CCC(O)C2)c1Cl
ZINC61844383	Brc1ccc(-c2csc(-c3nc[nH]n3)n2)s1
ZINC04624831	CO/C([O-])=C1\C(C)=NC2=C(C(=O)CCC2)C1c1cccs1
ZINC04624831	COC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cccs1
ZINC36354979	OC1=Nc2c(ncn2-c2ccc(F)cc2)C(c2cccs2)C1
ZINC36354979	O=C1CC(c2cccs2)c2ncn(-c3ccc(F)cc3)c2N1
ZINC36359267	OC1=Nc2c(ncn2-c2ccc(F)cc2)C(c2ccc(F)cc2)C1
