CHEMBL372171	O=c1[nH]c(Oc2ccccc2)nc2c1ncn2CCCCO
CHEMBL425913	[O-]c1nc(Sc2ccccc2)nc2c1ncn2CCCCO
CHEMBL6497	Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
CHEMBL268690	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
CHEMBL42820	CCc1cn(C2OC(CNC(=O)C(C)Oc3cc(OC)c(Cl)cc3Cl)C(O)C2F)c(=O)[nH]c1=O
CHEMBL46884	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4c3cccc4C(F)(F)F)C(O)C2F)c(=O)[nH]c1=O
CHEMBL296195	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4N(C)c4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL47089	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4Oc4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL295648	O=c1[nH]c(=O)n(C2CC(O)C(CO)C2)cc1I
CHEMBL353811	O=c1[nH]c(=O)n(C2OC(CO)C(O)C2F)cc1I
CHEMBL406254	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCCO
CHEMBL42459	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4S(=O)(=O)c4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL432111	CCc1cn(C2OC(CNC(=O)C3c4cccc(Cl)c4Oc4c(Cl)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL558363	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCCN1CCCc2ccccc21
CHEMBL285640	Cc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O
CHEMBL101135	Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL52562	O=c1[nH]c(Nc2cccc(Cl)c2)nc2[nH]cnc12
CHEMBL52562	O=c1[nH]c(Nc2cccc(Cl)c2)nc2nc[nH]c12
CHEMBL132598	Cc1cn(Cc2ccccc2COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL154209	COCCn1cnc2c(=O)[nH]c(Nc3ccccc3)nc21
CHEMBL152256	O=c1[nH]c(Nc2cccc(CC(F)(F)F)c2)nc2[nH]cnc12
CHEMBL152256	O=c1[nH]c(Nc2cccc(CC(F)(F)F)c2)nc2nc[nH]c12
CHEMBL153866	O=c1[nH]c(Nc2cccc(C(Cl)C(F)(F)Cl)c2)nc2[nH]cnc12
CHEMBL153866	O=c1[nH]c(Nc2cccc(C(Cl)C(F)(F)Cl)c2)nc2nc[nH]c12
CHEMBL44996	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3C(F)(F)F)O2)c(=O)[nH]c1=O
CHEMBL538319	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCC[NH+]1CCCCC1c1ccccc1
CHEMBL176768	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4-c4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL288569	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4Sc4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL295657	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Sc4c(Cl)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL47041	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4Cc4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL44535	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3OC)O2)c(=O)[nH]c1=O
CHEMBL297081	CCc1cn(C2OC(CNC(=O)C3c4cccc(C)c4Oc4c(C)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL46739	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3-c3ccccc3)O2)c(=O)[nH]c1=O
CHEMBL219299	CNC(=O)c1ccc(C(OCCCCCCn2cc(C)c(=O)[nH]c2=O)(c2ccccc2)c2ccccc2)cc1
CHEMBL405761	O=c1[nH]c(Nc2cccc(C(F)(F)F)c2)nc2[nH]cnc12
CHEMBL405761	O=c1[nH]c(Nc2cccc(C(F)(F)F)c2)nc2nc[nH]c12
CHEMBL288683	CCc1cn(C2OC(CNC(=O)C3c4ccccc4S(=O)(=O)c4c(Cl)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL534929	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCC[NH+]1CCCCC1CCO
CHEMBL297987	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3C)O2)c(=O)[nH]c1=O
CHEMBL46502	CCc1cn(C2CC(O)C(CNC(=O)C3c4ccccc4CCc4ccccc43)O2)c(=O)[nH]c1=O
CHEMBL46633	CCc1cn(C2OC(CNC(=O)C3c4ccccc4C(C)(C)c4ccccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL47094	CCc1cn(C2CC(O)C(CNC(=O)Cc3c(Cl)cccc3Cl)O2)c(=O)[nH]c1=O
CHEMBL415909	CCc1cn(C2CC(O)C(CNC(=O)Cc3c(C)cccc3C)O2)c(=O)[nH]c1=O
CHEMBL296690	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3F)O2)c(=O)[nH]c1=O
CHEMBL34368	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2C1CC(O)C(CO)O1
CHEMBL422810	Cc1cn(C/C=C/COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL289560	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4c(C)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL44047	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4c(-c5ccccc5)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL557599	O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCC[NH+]1CCCC2CCCCC21
CHEMBL341644	O=c1[nH]c(=O)n(C2CC(O)C(CO)C2)cc1/C=C/Br
CHEMBL291187	CCc1cn(C2CC(O)C(CNC(=O)Cc3ccccc3Cl)O2)c(=O)[nH]c1=O
CHEMBL53835	O=c1[nH]c(Nc2ccc(Br)cc2)nc2[nH]cnc12
