ZINC04521968	O=c1cnn([C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c(=S)[nH]1
ZINC04530810	CC(=O)N[C@@H]1[C@@H](O)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1O
ZINC04556878	Cc1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC00002158	OC[C@@H]1O[C@H](n2cnc3c(=S)[nH]cnc32)[C@@H](O)[C@H]1O
ZINC05227711	CC(=O)N[C@H]1[C@H](O)O[C@H]2CO[C@H](c3ccccc3)O[C@H]2[C@@H]1O
ZINC05697037	Cc1[nH]c(=O)[nH]c(=O)c1Cc1c(C)[nH]c(=O)[nH]c1=O
ZINC05810366	CO[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1Br
ZINC01728264	OC[C@H]1C[C@@H](n2cnc3c(Cl)ncnc32)[C@@H](O)[C@@H]1O
ZINC16036471	CC(=O)N[C@@H]1[C@@H](O)O[C@@H]2CO[C@@H](c3ccccc3)O[C@@H]2[C@@H]1O
ZINC16036473	CC(=O)N[C@@H]1[C@H](O)O[C@@H]2CO[C@@H](c3ccccc3)O[C@@H]2[C@@H]1O
ZINC16951518	OC[C@@H]1OCO[C@H](CI)[C@@H](O)[C@H]1O
ZINC17013652	Cn1cnc2c(ncn2[C@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c1=S
ZINC17105438	O=c1[nH]c(=S)cnn1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC05641836	O=c1ncc(Cl)cn1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC19932275	NC(=O)c1c(N)n([O-])c2cc(N3CCCCCC3)c(F)cc2[n+]1=O
ZINC19932278	NC(=O)c1c(N)n([O-])c2cc(N3CCCCC3)c(F)cc2[n+]1=O
ZINC21999930	O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)cc1Cl
ZINC16955399	O=[S@@](O)c1ccc2cc(O)c([S@](=O)O)cc2c1
ZINC08651763	C[C@H]1O[C@@H](Sc2ncnc3nc[nH]c23)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC33358892	CC(=O)N[C@H]1[C@H](O)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1O
ZINC05566553	O=C1CN(C=C2C(=O)NC(=O)NC2=O)C(=S)N1
ZINC36236669	O=C(c1cc([O-])[nH]c(=O)c1)N1CC[C@H]2C[NH2+]C[C@H]21
ZINC03814314	OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O
ZINC39336780	Cc1cc(C)c2c(n1)S[C@@H](c1nnc([S-])n1C)[C@@H]2[NH3+]
ZINC39468984	O=C1C[C@@H]2C[N@H+]3N[P@@](=O)([O-])OC[C@@H]3C[C@H]2C=C1O
ZINC40380813	NS(=O)(=O)N1CCN(C(=O)[C@H]2CSC(=O)N2)CC1
ZINC40469336	[NH3+]C1(C(=O)N2CSC[C@@H]2C(=O)[O-])CCCCC1
ZINC41583202	N=C1S[C@H]2CN(C(=O)[C@H]3CCCO3)CCC2=C1C(N)=O
ZINC41733808	C[C@H](c1nnn[n-]1)n1ccc2c1CC(C)(C)C[C@H]2[NH3+]
ZINC42429693	O=C([O-])[C@H]1CSCN1C(=O)NC1CC[NH2+]CC1
ZINC42430410	[NH3+][C@H]1CCCN(C(=O)N2CCCC[C@H]2C(=O)[O-])C1
ZINC35856336	N/C(=N/O)c1cncc(N2CCC3(CC2)OCCO3)n1
ZINC44783348	CN1CCN(C(=O)C2(/C(N)=N/O)CCOCC2)CC1
ZINC48822662	C[C@@H]1CCC[C@](NC(=O)N2CC[NH2+]CC2)(C(=O)[O-])C1
ZINC48834510	C[C@@H]1CCC[C@@](NC(=O)N2CCC[NH2+]CC2)(C(=O)[O-])C1
ZINC48837530	CO[C@H]1C[C@H](C(=O)[O-])N(C(=O)N2CCC[C@H]([NH3+])C2)C1
ZINC48837533	CO[C@@H]1C[C@@H](C(=O)[O-])N(C(=O)N2CCC[C@H]([NH3+])C2)C1
ZINC50251251	[NH3+]C[C@H]1CCN(C(=O)N2CCC[C@H](C(=O)[O-])C2)C1
ZINC50251517	[NH3+]C[C@@H]1CCN(C(=O)N2CCO[C@@H](C(=O)[O-])C2)C1
ZINC51885029	NC(=O)N1CCC[C@H](C(=O)N2CC[C@@H](CO)C2)C1
ZINC54381316	CC1(C)CN(c2nccnc2/C(N)=N/O)CCO1
ZINC54493193	CNC(=O)C1CCN([C@H]2CS(=O)(=O)C[C@@H]2N)CC1
ZINC42079341	N[C@H]1C(=O)N(CCO)c2c(Br)cc(F)cc21
ZINC19327247	C[C@H]1[C@@](C)(N)[N+]([O-])=C2CCc3c(no[n+]3[O-])[C@@]21O
ZINC60481480	O=C1CC[C@H](C(=O)N2CCC3(CC2)NC(=O)NC3=O)N1
ZINC62810965	CN(C)C(=O)[C@H]1CCCN1C(=O)c1n[nH]cc1N
ZINC62811015	CN(C(=O)c1n[nH]cc1N)[C@H]1CCS(=O)(=O)C1
ZINC62870406	C[C@@]1(C(=O)[O-])CCCN(C(=O)[C@@H]2C[C@H](O)C[NH2+]2)C1
ZINC62926038	C[C@@]1(C(=O)[O-])CCN(C(=O)N2CCC([NH3+])CC2)C1
ZINC67268323	C[C@@H]1CC[C@@H](C(N)=O)CN1C(=O)[C@H]1CC[C@]2(CC1)NC(=O)NC2=O
ZINC03956720	O=[N+]([O-])c1ccccc1O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O
ZINC00485468	O=[N+]([O-])c1ccccc1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
ZINC00078310	CN1C(=O)[C@]2(C(C#N)=C(N)Oc3[nH]c(=O)[nH]c(=O)c32)c2ccccc21
ZINC04275834	CC(=O)N[C@@H]1[C@H](O)[C@H](O)[C@H](CO)O[C@@H]1OC(C)(C)C
ZINC04279275	O=[N+]([O-])c1ccccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC00125899	CNC(=O)NNC(=O)C[C@@H]1Sc2ccccc2NC1=O
ZINC04962062	O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](O)[C@H](CO)O2)nc1Br
ZINC01701354	CNc1nc(Cl)nc2c1ncn2[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O
ZINC00154997	O=Cc1ccccc1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC11612313	CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OC(C)(C)C
ZINC14984463	CCc1cc(O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC16952033	Nc1nc(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1I
ZINC22054772	O=[N+]([O-])c1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)c(Cl)c1
ZINC23386319	NC(=O)[C@@H]1CCCN(c2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])C1
ZINC35052810	CC(=O)N[C@@H]1[C@H](O)[C@H](O)[C@H](CO)O[C@@H]1OC1=C[C@H]2OC(=O)C=C(C)[C@H]2C=C1
ZINC35339622	CNS(=O)(=O)c1ccc(N2CCC[C@@H](C(N)=O)C2)c(N)c1
ZINC36532538	O=[N+]([O-])c1ccccc1S[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
ZINC00897512	OC[C@@H]1O[C@H](Oc2c[nH]c3ccccc23)[C@@H](O)[C@H](O)[C@H]1O
ZINC37054894	NC(=O)CNS(=O)(=O)c1c(Cl)cc(N)cc1Cl
ZINC37368265	NNC(=O)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1
ZINC37558568	CCn1cc(S(=O)(=O)N2CCC[C@@H]2C(N)=O)c(N)n1
ZINC37577196	NC(=O)CNS(=O)(=O)c1ccc(C#CCO)cc1Cl
ZINC40347172	Nc1cc(F)c(S(=O)(=O)NCc2cn[nH]c2)c(F)c1
ZINC40469414	[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)N1CSC[C@@H]1C(=O)[O-]
ZINC40481461	CC[C@H]1CC[C@](NC(=O)C2([NH3+])CCCC2)(C(=O)[O-])CC1
ZINC41095941	C[C@@H](OC(=O)c1cc(N)ccc1Cl)C(=O)NC(N)=O
ZINC43769275	Cc1ccc([N+](=O)[O-])cc1N[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O
ZINC43771840	Cc1cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)c(=O)nc2[nH]1
ZINC44115056	CNC(=O)NC(=O)CCSc1ncc(C#N)c(N)n1
ZINC44592664	NC(=O)C[C@H]([NH3+])C(=O)N1CCc2sccc2[C@H]1C(=O)[O-]
ZINC48843499	[NH3+][C@H]1CCCC[C@@H]1NC(=O)N[C@H](C(=O)[O-])C1CCCCC1
ZINC48865667	NNc1nc2ccccn2c1S(=O)(=O)N1CCC[C@H]1CO
ZINC49096391	C[C@H](Nc1ccc(S(N)(=O)=O)cc1N)C(=O)N(C)C
ZINC49096393	C[C@@H](Nc1ccc(S(N)(=O)=O)cc1N)C(=O)N(C)C
ZINC49096520	C[C@@H](Nc1cc2c(cc1N)OCC(=O)N2)C(=O)N(C)C
ZINC50251464	[NH3+]C[C@H]1CCN(C(=O)N[C@@H](C(=O)[O-])C2CCCCC2)C1
ZINC50251469	[NH3+]C[C@@H]1CCN(C(=O)N[C@@H](C(=O)[O-])C2CCCCC2)C1
ZINC50305868	Cc1[nH]nc(C(=O)N[C@@H](C)C(=O)N2CCCCC2)c1N
ZINC50422029	C[C@H](NC(=O)C1(/C(N)=N/O)CCOCC1)c1nncn1C
ZINC52004699	Cn1cc(S(=O)(=O)N[C@@H]2CCCC[C@@H]2O)cc1C(N)=O
ZINC38102145	Nc1ccccc1C(=O)N1CCN(S(N)(=O)=O)CC1
ZINC42115840	Cc1cc(F)c2c(c1)[C@@H](NCCS(N)(=O)=O)C(=O)N2
ZINC59293245	Cc1cc2c(c(=O)o1)[C@]1(C(=O)N(CC(N)=O)c3ccccc31)C(C#N)=C(N)O2
ZINC61678680	CC[C@H](C(N)=O)S(=O)(=O)c1c(F)cc(N)cc1F
ZINC61712732	NNc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CC[C@@H](O)C1
ZINC61888054	Cc1noc(C)c1S(=O)(=O)N[C@H]1CCC[C@@H]1/C(N)=N/O
ZINC62001289	CC(=O)N[C@H]1[C@H](Oc2ccc(Cl)c3cccnc23)O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC62794486	N/C(=N/O)c1ccc(N2CCN(CCO)CC2)c(Cl)c1
ZINC63084333	Cn1ncc2c(NN)nc(CSc3ncn[nH]3)nc21
ZINC67272072	NC(=O)[C@@H]1CN(C(=O)[C@H]2CC[C@@]3(CC2)NC(=O)NC3=O)CCO1
ZINC03861733	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
ZINC03870927	Nc1ccn([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)c(=O)c1
ZINC04021314	CNC(=O)N[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC04021315	CNC(=O)N[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
