CHEMBL524266	Nc1nccc(-c2cc3c([nH]2)C(CCF)CNC3=O)n1
CHEMBL247798	CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
CHEMBL375525	CCN(C)C(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL375525	CCN(C)C(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL222249	O=C(NCc1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL222249	O=C(NCc1ccc(F)c(F)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL576048	Cc1cnc(Nc2ccc(Cl)cc2F)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL576683	Cc1cnc(Nc2cccc3c2OC(F)(F)O3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL235345	O=C1N=C(NC2CC2c2ccccc2)S/C1=C\c1ccc2ncccc2c1
CHEMBL235345	O=C1N=C([N-]C2CC2c2ccccc2)S/C1=C\c1ccc2ncccc2c1
CHEMBL374677	O=C(NC(CO)c1ccc(F)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL374677	O=C(NC(CO)c1ccc(F)cc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL318804	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL318804	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCC[NH+]1CCOCC1
CHEMBL247619	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1
CHEMBL247619	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)c[nH+]n2C)cn1
CHEMBL437943	CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccnc4)cc3c21
CHEMBL221109	O=C(NCc1ccncc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL221109	O=C(NCc1ccncc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL80837	Cc1c(Cc2ccccc2)c(=O)oc2cc(OC(=O)N(C)C)c(Cl)cc12
CHEMBL569181	COc1cccc(Nc2ncc(C)c(-c3c[nH]c(C(=O)NC(CO)c4cccc(Cl)c4)c3)n2)c1OC
CHEMBL565459	Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL332551	Nc1[nH]c([O-])c(C2=C3C(=Nc4ccccc43)C(=O)NCC2)[nH+]1
CHEMBL220112	O=C(NC(CO)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220112	O=C(NC(CO)c1ccccc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL565460	Cc1cccc(C(CO)NC(=O)c2cc(-c3nc(Nc4ccccc4)ncc3C)c[nH]2)c1
CHEMBL583042	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL550658	Nc1ncc(-c2ccc(C(F)(F)F)cc2)c(-c2c[nH]c3ccccc23)n1
CHEMBL361708	N=C1N=C([O-])/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL361708	[NH-]C1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL361708	NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL568937	Cc1cnc(Nc2cccc3c2CCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL582829	Cc1cnc(Nc2cccc(F)c2C)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL571030	Cc1cnc(Nc2ccccc2C(F)(F)F)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL199395	C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21
CHEMBL571484	Cc1cnc(Nc2cccc3c2OCO3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL571031	Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)n1
CHEMBL383264	[NH3+]C(COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
