ZINC03897368	S=C1NCCOCCNC(=S)NCCOCCN1
ZINC00242247	N#CC1=C(N)Oc2cc(N)ccc2C1c1ccc(O)cc1
ZINC04096778	CC12CCC(O)CC1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO
ZINC00421469	Cc1ccc2[nH]c(=O)c(C3C(C#N)=C(N)Oc4[nH]nc(C)c43)cc2c1
ZINC00421479	Cc1cc2cc(C3C(C#N)=C(N)Oc4[nH]nc(C)c43)c(=O)[nH]c2cc1C
ZINC04126519	Nc1ccc2c(c1)OCCOCCOc1cc(N)ccc1OCCO2
ZINC03595745	CC1CCCCC12NC(=O)N(CC(=O)NC(N)=O)C2=O
ZINC00103456	N#CC1=C(N)Oc2ccc(N)cc2C12C(=O)Nc1ccccc12
ZINC00401829	NNC(=O)C1C2c3ccccc3C(c3ccccc32)C1C(=O)NN
ZINC01085755	N#CC1=C(N)NC(=S)C(C(N)=O)C1c1ccc(Br)cc1
ZINC05607265	CN1c2cc(Cl)c(Cl)cc2NC2(C(=O)NC(=O)NC2=O)C1O
ZINC05671377	N/N=C1\NC(=O)NC(=O)\C1=C/c1cccc([N+](=O)[O-])c1
ZINC09970378	CC1(C)OC2(C)C(C)(O)C(C)(O)C(C)(O)C(C)(O)C2(C)O1
ZINC09970493	CSC1(C)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O
ZINC14583837	O=C1NC2C(=CC(O)C(O)C2O)c2cc3c(cc21)OCO3
ZINC14643021	Oc1ccc(C2Oc3c(ccc(O)c3O)CC2O)cc1O
ZINC14645665	O=C1c2c(cc(CO)c(O)c2O)C(=O)c2c(O)c(O)cc(O)c21
ZINC14806731	C=C1C(=O)C23C(O)CC4C(C)(C)CCC(O)C4(CO)C2CCC1C3O
ZINC02141458	N#CC1=C(N)SC(N)=C(C#N)C12C(=O)Nc1ccccc12
ZINC20681541	NC(=O)c1cccc2c1NC(c1ccc(O)cc1O)C1CC=CC21
ZINC15086118	OC1COC(Nc2ccc(Br)cn2)C(O)C1O
ZINC24717553	COc1ccc2c(c1O)CNCC2c1ccc(O)c(O)c1
ZINC25355171	N#Cc1c(N)nc2c(c1N)CC(=O)N2c1ccccc1F
ZINC31164725	CC1CC(=O)C2=C(CCC3(O)C(O)c4c(O)cccc4C(=O)C23O)C1
ZINC31167091	COc1ccc(C2Oc3cc(O)ccc3C(O)C2O)cc1O
ZINC08894136	Cc1[nH]c(=S)[nH]c(=O)c1Cc1c(C)[nH]c(=S)[nH]c1=O
ZINC33790545	CCC[NH+]1CCC2(CC1)C(C#N)=C(N)NC([S-])=C2C#N
ZINC35341233	Nc1cc2c(cc1NC1CCS(=O)(=O)C1)CCC(=O)N2
ZINC35453628	Nc1cc2c(cc1Sc1nccc(=O)[nH]1)NC(=O)CO2
ZINC36262172	[NH3+]C1CCC2CN(C(=O)c3cc(=O)[nH]c([O-])n3)CC2C1
ZINC36378012	CN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3ccc(O)c(O)c3)C2C1
ZINC36984595	NS(=O)(=O)c1ccc(S(N)(=O)=O)c(Br)c1
ZINC14436085	Oc1ccc(C2Oc3c(ccc(O)c3O)C(O)C2O)cc1O
ZINC39217903	CSC1=NC(=O)C2C(=N1)[N-]C([NH3+])=C(C#N)C21C(=O)Nc2ccccc21
ZINC39930896	NS(=O)(=O)c1ccc2c(c1)N1C(NNC1c1ccccc1)C(=O)N2
ZINC43424778	Nc1cc(N2CCOC3CCCCC32)cc(S(N)(=O)=O)c1
ZINC43794243	CC1=CC2C(O)(CC(CO)=CC3C4C(C)(C)C4(O)C(O)C(C)C32O)C1=O
ZINC48580600	Nc1cc(N)nc(SC2CS(=O)(=O)CC2O)n1
ZINC48950379	CNC(=O)NNC(=O)c1cc2c([nH]c1=O)CCCC2=O
ZINC50033958	NC(=O)c1cc(-n2cc(Br)cn2)c(F)cc1N
ZINC05343294	Cc1cccc2c1NC(=O)C21C(C#N)=C(N)Oc2n[nH]c(C)c21
ZINC05343294	Cc1cccc2c1NC(=O)C21C(C#N)=C(N)Oc2[nH]nc(C)c21
ZINC13081044	Cc1n[nH]c2c1C(c1cc([N+](=O)[O-])ccc1O)C(C#N)=C(N)O2
ZINC55174099	Cc1nc(N)sc1C(=O)N1CC(C(N)=O)CCC1C
ZINC58899977	Cc1ccc(C2C(C#N)=C(N)Oc3c2c(C)nn3C(N)=S)s1
ZINC18190318	O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
ZINC61564866	[NH3+]C1CCN(C(=O)Nc2cc(F)c(F)cc2C(=O)[O-])CC1
ZINC03880314	C/C(Nc1ccccc1N)=C1\C(=O)NC(=O)N(C)C1=O
