ZINC04026895	O=CNC1C2CCCC1C1=C(CCCC1)C2
ZINC01438920	CC1(C)Cc2cc3c(cc2C(=O)N1)CCCC3
ZINC03252100	Fc1ccc(F)c(/N=C2\CCCCCN2)c1
ZINC05283824	Cn1c(C#CC#CC(C)(C)O)cc2ccccc21
ZINC05377625	C=Cn1cccc1C1(O)CCCCC1
ZINC01603449	CC(=O)C#CC1(O)C(C)CCCC1(C)C
ZINC05745078	C/C(=C1\SC(=S)NC1=O)c1ccc(C)cc1
ZINC05809713	O=S1Nc2cc(Cl)c(Cl)cc2S1
ZINC15724338	Cc1ccc2c(c1)c1cccc3c1n2CCN3
ZINC19908735	CC1=CCC2C(CCC3CC(O)CCC32C)C1=O
ZINC20378548	CNC(C)(C#N)c1c(C)cc(C)cc1C
ZINC21952561	CC(O)c1cc2cc(Br)ccc2o1
ZINC31649169	N#CC1C(=N)Cc2ccccc2-c2ccccc21
ZINC16998558	CC1(C)C2=CCCCC2CC/C1=N\O
ZINC32919480	c1ccc(C2CNCc3ccccc3O2)cc1
ZINC32919481	c1ccc(C2CNCc3ccccc3O2)cc1
ZINC34669849	CC(C)(C)C1CCc2[nH]c(=O)sc2C1
ZINC36378833	CC1CCC2C(CCC3CC(O)CCC32C)C1=O
ZINC36912481	Cc1cc(Cl)c2[nH]c(C(C)C)cc(=O)c2c1
ZINC00287907	O=C(NC1CC1)C1C2C3C4CC5C3C5C4C12
ZINC36378072	C=C1[NH+]=C([S-])C(C#N)C(C)=C1CC
ZINC03978584	CC1(C)CC2C1CCC1(C)OC1CCC2(C)O
ZINC39105031	CC(C)=CC1(C)[NH+]=C([S-])C(=O)S1
ZINC39110544	CC1C=CCC(C)(C)C1C(=O)NC(C)(C)C
ZINC39523182	ON1C(F)CCCC12CCCC(F)C2
ZINC39524320	CSC1CCCC2(CCCC(O)N2Cl)C1
ZINC40245979	Cc1ccc(C(O)c2ccc(C)o2)c(C)c1
ZINC40261884	CC1Cc2cc(C(O)C3CC3C)ccc2O1
ZINC41651386	CCNc1nc2c(C)cc(C)cc2s1
ZINC43741861	O/N=C1/C2CCCC1C1=C(CCCC1)C2
ZINC44198750	Cn1c2c(c3ccccc31)C(Cl)=C(CO)CC2
ZINC44226528	CC(C)(C)OC1CCc2ccccc2C1O
ZINC44880351	CC1CN/C(=N\c2ccc3ccccc3c2)S1
ZINC49813282	CCc1cc2c([nH]c1=O)C(C)CCC2C
ZINC49816426	CC1Cc2cc(C(C)(C)C)ccc2NC1=O
ZINC50328873	Cc1ccoc1C(O)C1=CCCCC1
ZINC50329508	OC(C1=CCCCCC1)c1ccco1
ZINC50329509	OC(C1=CCCCCC1)c1ccco1
ZINC50972143	OC(C1=CCCCCC1)C1CCCCO1
ZINC00138016	Cc1cc(C)c(CCl)c(C)c1/C=N/O
ZINC57534275	CC(C)c1ccc2c(c1)C(=O)NCC21CCCC1
ZINC57788914	c1csc(C2NCCOc3ccccc32)c1
ZINC13394719	C/C(=N\O)C1CC1c1ccc(Cl)cc1
ZINC61714621	CC1CCc2nc(NC(C)(C)C)sc2C1
ZINC62521154	CCC1COc2cc(C)c(C)cc2N1
ZINC62523777	Cc1cc(C)c2c(c1)NC(C(C)C)CO2
ZINC62525552	Cc1cc2c(c(C)c1Cl)NCC(C)O2
ZINC62528864	Cc1ccc(C2CNc3ccccc3O2)cc1
ZINC63039762	CC(O)C(C)c1ncc(Cl)cc1Cl
ZINC03883422	Clc1ccc(/C=C/c2cc[nH]n2)cc1
ZINC03883422	Clc1ccc(/C=C/c2ccn[nH]2)cc1
ZINC04150299	COc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nc(SC(C)C)[nH]c(=O)c32)cc1
ZINC04150299	COc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(SC(C)C)nc(=O)c32)cc1
ZINC03307332	O=C(CN1C(=O)NC2(CCCCCC2)C1=O)Nc1ccccc1Sc1ccccc1
ZINC03359239	C=C1NC(=S)NC(c2ccc(-c3ccc(C(C)=O)cc3)o2)C1C(=O)OC(C)(C)C
ZINC01249966	CC1(C)Cc2nc3nc(SCC(=O)c4ccc(Cl)cc4)nc(N)c3cc2CO1
ZINC05243780	CCC1(C)Cc2c(sc3nc(SC)nc(NNC(=O)c4ccccc4)c23)CO1
ZINC05156297	CCCCCn1c(N)c(S(=O)(=O)c2cccc(C)c2)c2nc3ccccc3nc21
ZINC05204158	COc1ccc(S(=O)(=O)Nc2ccc(C(=O)Nc3cc(C)ccc3C)cc2)cc1
ZINC06812237	CCCc1nnc2n1NC(c1ccc(C)cc1)C(C(=O)Nc1cc(C)cc(C)c1)S2
ZINC06510920	C=CCSc1nnc2c(n1)OC(c1cccc(O)c1Cl)Nc1ccccc1-2
ZINC08394561	CCC(C)(C)C1CCC2(CC1)NC(=O)N(CC(=O)NC1CCCCCCC1)C2=O
ZINC01089282	O=C(N/N=C/c1cc(Cl)cc(Cl)c1O)c1ccn(Cc2ccc(Cl)cc2)n1
ZINC09725588	C=CCn1/c(=N/C(=O)c2ccc3ccccc3c2)sc2cc(S(N)(=O)=O)ccc21
ZINC08962092	CCC1COc2ccc(NS(=O)(=O)c3c(C)c(C)c(C)c(C)c3C)cc2C(=O)N1
ZINC10808915	Cc1cc(C(=O)NNc2c(Cl)cc(Cl)cc2Cl)c2cnn(C(C)C)c2n1
ZINC12740638	Cc1cc(C)cc(C(=O)NCC(=O)Nc2nnc(C34CC5CC(CC(C5)C3)C4)s2)c1
ZINC12760031	Cc1ccc(C(NC(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)c2cccs2)cc1
ZINC14267266	Cc1ccc(C(C)NC(=O)CN2C(=O)NC(C)(c3ccc4ccccc4c3)C2=O)cc1C
ZINC14472376	CC(C)(C)NC(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc([N+](=O)[O-])c1)N2
ZINC14551093	CCC(C)NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc([N+](=O)[O-])cc1)N2
ZINC17653543	Nn1c(SCc2cc(Cl)c3c(c2)OCCCO3)nnc1-c1ccccc1Cl
ZINC00726510	CCOc1cc(C2C(C(=O)OC(C)C)=C(C)NC3=C2C(=O)CC(C)(C)C3)ccc1O
ZINC20617429	CCC(C(=O)Nc1cccc(C)c1C)n1ccc(C(=O)Nc2cccc(C)c2C)n1
ZINC20704843	CCC(C)NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)c([N+](=O)[O-])c1)N2
ZINC20757283	CCC(C)NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc([N+](=O)[O-])cc1)N2
ZINC22016799	Cc1ccc(NC(C)C(=O)Nc2cccc([N+](=O)[O-])c2)cc1I
ZINC32126355	COc1cc2s/c(=N/C(=S)NC(=O)/C=C/c3ccco3)[nH]c2cc1Cl
ZINC33810517	CCCSc1nc2c(c(=O)[nH]1)C(c1ccccc1OC)C1=C(CC(C)(C)CC1=O)N2
ZINC34876069	COc1ccc(C2C(C#N)=C(N)OC3C2C(C(F)(F)F)=NN3c2ccccc2)cc1
ZINC25244585	CC1CCc2c(sc3nc(C(C)Sc4nc(CC5CCCC5)n[nH]4)[nH]c(=O)c23)C1
ZINC08772978	Cc1sc2nc(CN(C(=O)NC3CCCCC3)C3CCCC3)[nH]c(=O)c2c1C
ZINC38742723	CC(C)C1=CC(C2NNC3SC(/C=C/c4ccc(Cl)cc4Cl)=NN32)N=N1
ZINC38743000	C1=C(c2ccccc2)N=NC1C1NNC2SC(c3ccc(-c4ccccc4)cc3)=NN21
ZINC38965892	SC1NNC(C2C=C(c3ccccc3)N=N2)N1/N=C/c1ccc(-c2ccccc2)cc1
ZINC39488179	CC1(c2ccccc2O)CN(F)C(=O)N1CC1(C2CCCCC2)CCN(O)CC1
ZINC05443876	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)NC(C)C13CC4CC(CC(C4)C1)C3)C2=O
ZINC39570507	CC1CCCC(NC(=O)CN2C(=O)NC(C)(c3ccc(Cl)cc3Cl)C2=O)C1C
ZINC39570511	Cc1ccc(NC(=O)CN2C(=O)NC(C)(c3ccc(Cl)cc3Cl)C2=O)c(C)c1
ZINC39584408	Cc1ccc(C2=CC(C(=O)N/N=C/c3cc(Br)ccc3O)N=N2)cc1C
ZINC40119405	CC(NC(=O)CC1NC(=O)N(c2ccc(F)cc2)C1=O)c1ccc(Cl)c(Cl)c1
ZINC40170273	Cc1cc2nnc(SC(C)C(=O)Nc3ccc(O)cc3)n2c2c(C)cccc12
ZINC40683099	Cc1ccc2cccc(Oc3ncnc(Oc4cccc5ccccc45)c3N)c2n1
ZINC40687772	Cc1ccc2cccc(Oc3ncnc(Oc4ccc5ccccc5c4)c3N)c2n1
ZINC40687892	Nc1c(Oc2ccc3ccccc3c2)ncnc1N1CCN(c2ccccc2F)CC1
ZINC40733847	CCC1CCCCN1c1ncnc(Oc2ccc(Br)c3cccnc23)c1N
ZINC04723431	CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccc(C(C)C)cc2)n2ncnc2N1
ZINC56718292	CCNC(=O)c1ccc(NC(=O)N(CC)C(C)c2cc3ccccc3o2)c(C)c1
ZINC16413235	CC(=O)Nc1cc2ccccc2cc1C(=O)OC(C)C(=O)Nc1cccc(Cl)c1
ZINC59264799	Nn1c(SCC(=O)OC2CCCCC2)nnc1-c1ccccc1Br
ZINC18045940	Cc1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccc(O)cc3)C(=O)c3ccccc32)cc1
ZINC18045940	Cc1ccc(S(=O)(=O)N=C2C=C(Nc3ccc(O)cc3)C(=O)c3ccccc32)cc1
ZINC66587671	C=C(C)COc1cccc(NS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)c1
ZINC05679195	Cc1cc(Cl)c(OC2=C(Cl)C(O)OC2=O)cc1C
ZINC16678121	CC(C)(C)OC(=O)N1CCCC12CNc1ccccc12
ZINC20006875	c1csc(-c2noc(C3Cc4ccccc4CN3)n2)c1
ZINC21505161	CC1=CC(=N)SC1c1nc(-c2cccc(C)c2)no1
ZINC23220257	CC1CCCCC12NC(=O)N(CC1CC1(Cl)Cl)C2=O
ZINC28429829	CC1NCCc2c1sc1nc(-c3cccc(F)c3)nn21
ZINC20369740	CC1CCc2c(sc3nc(-c4ccncc4)[nH]c(=O)c23)C1
ZINC35369672	Cc1ccc(C(=O)c2ccc3c(c2)NC(=O)C(C)O3)s1
ZINC36151773	Cc1ccc(-c2nnc3n2NC2CCCC2S3)cc1
ZINC36151799	Fc1ccccc1-c1nnc2n1NC1CCCC1S2
ZINC36152307	Fc1ccccc1-c1nnc2n1NC1CCCCC1S2
ZINC36152936	Cc1ccc(C)c(C2CSc3nnc(C(C)C)n3N2)c1
ZINC36946201	CC1Oc2ccc(C(=O)C3CCCCC3)cc2NC1=O
ZINC37051955	Cn1ncc2c1CCCC2Nc1ccc(C#N)c(Cl)c1
ZINC37365189	Cc1ccc(C(=O)c2ccc3c(c2)NC(=O)C(C)O3)cc1
ZINC04586192	O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1
ZINC03899805	Cn1c(/C(C#N)=C/c2ccc(O)cc2)nc2ccccc21
ZINC00223005	Cc1ccccc1C1C=C(c2cccs2)N=C2N=CNN21
ZINC40261895	CC1Cc2cc(C(O)c3ccc4c(c3)OCO4)ccc2O1
ZINC35466010	COC1OC(=O)C2=C1C1(C)CCCC(C)(C)C1CC2O
ZINC41036473	Cc1cccc(N2C(=O)NC3(CCCC(C)C3)C2=O)c1
ZINC41850602	CC1CCCC(C)[NH+]1C1(C(=O)[O-])CCOc2ccccc21
ZINC41850606	CC1CCCC(C)[NH+]1C1(C(=O)[O-])CCOc2ccccc21
ZINC44026522	Cc1ccc(O)c2c1C(C)/C(=C\c1csnn1)C2=O
ZINC44027523	Cc1cc(/C=C2\CCc3c(cnn3C)C2=O)cc(C)c1O
ZINC44592968	c1cc2c(s1)CCNC2c1nc(C2CCCCC2)no1
ZINC45008730	COc1ccccc1/C=C1/Oc2c(ccc(O)c2C)C1=O
ZINC49882454	Cc1cc(C)c(-c2[nH+]c3n(c2C(=O)[O-])CCCC3)c(C)c1
ZINC50566342	CC1CCCN(c2n[nH]c(=S)n2C2CCCCC2)C1C
ZINC20744831	Cc1cc(C)nc(SC2CCc3ccccc3N=C2O)n1
ZINC20744831	Cc1cc(C)nc(SC2CCc3ccccc3NC2=O)n1
ZINC52879543	CC1(c2ccccc2)NC(=O)N(c2ccccc2F)C1=O
ZINC44978119	CC1=CC(=N)SC1c1nc(C2CCCC(C)C2)no1
ZINC54526651	c1cc2c(cc1-c1nncn1C1CCCCC1)CCN2
ZINC18996651	O=C1N/C(=N\c2ccccc2)S/C1=C/c1ccccn1
ZINC05929885	Cc1ccc(S(=O)(=O)C2CCCCCC/C2=N\O)cc1
ZINC18058875	CCc1c(C)[nH]c2cc(-c3ccc(C)cc3)nn2c1=O
ZINC35222032	CC1CCCCN1c1n[nH]c(=S)n1C1CCCCC1
ZINC00818045	Cc1cc(C)c2c(c1)-c1cc(C)nn1C(c1ccco1)N2
ZINC36865508	CC1CC(C)CN(c2n[nH]c(=S)n2C2CCCC2)C1
ZINC05682089	C1=NN2C(N=C(c3ccccc3)CC2c2cccs2)N1
ZINC05559672	CC1S/C(=N\N=C2CCC(C(C)(C)C)CC2)NC1=O
ZINC60544758	Cc1cs/c(=N\S(=O)(=O)c2ccc(C)s2)[nH]1
ZINC13111953	Cc1c(-c2ccccc2)nn2c(=O)c3c([nH]c12)CCCC3
ZINC61821161	CC1(C)CCN(c2n[nH]c(=S)n2C2CCCCC2)CC1
ZINC62755672	O=C([O-])C1CCCCCC1[NH+]1CCOC2CCCCC21
ZINC62874691	CC1(C(=O)[O-])CCCN(c2cc[nH+]c3cc(Cl)ccc23)C1
ZINC13126632	Cc1nn(C)c(C)c1/N=C/c1c(O)ccc2ccccc12
ZINC65457859	CCC1=C2C(N=N1)NC(=O)CC2c1ccc(F)cc1Cl
ZINC65578682	Cc1nn(C)c(C)c1C(=O)Nc1cc(Cl)cc(Cl)c1
ZINC13597728	O=C1Nc2ccc(Br)cc2/C1=N/c1cccnc1
ZINC01207663	Cc1cccc(C(=O)N2N=C(c3cccnc3)CC2(O)C(F)(F)F)c1O
ZINC04225684	Cc1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccc(Cl)cc3)c2=O)c(C)c1
ZINC05351339	O=C(NCC1COC2(CCCCC2)O1)C(=O)NC1CCCCCC1
ZINC07927733	O=C1Cc2cc(S(=O)(=O)Nc3ccc4oc5ccccc5c4c3)ccc2N1
ZINC08456486	N#Cc1cccc(NC(=O)CSc2nc3sccc3c(=O)[nH]2)c1
ZINC00626578	CC1(C)OC(C(=O)NC2CCCCC2)C(C(=O)NC2CCCCC2)O1
ZINC09173321	CC1(C)COc2ccc(NS(=O)(=O)c3ccccc3)cc2NC1=O
ZINC08961928	Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)NCC(C)O3)c(C)c1
ZINC03594889	CC1CCCC(NC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)C1C
ZINC10384458	Cc1ccccc1C(=O)NNC(=O)c1cc2cc(Cl)ccc2oc1=O
ZINC11214877	COC(=O)C1=C(C)NC(=S)NC1c1cc(Cl)c2c(c1)OCO2
