ZINC02741019	CCOc1cc(C[NH2+]CCO)cc(I)c1OCc1ccccc1
ZINC03441517	CCC([NH2+]CC(O)COCc1ccccc1Cl)c1ccc(Br)cc1
ZINC03441520	CCC([NH2+]CC(O)COCc1ccccc1Cl)c1ccc(Br)cc1
ZINC11839491	CC1CC[NH+](Cc2ccc(C(=O)NC(C)c3cccc4ccccc34)c(=O)[nH]2)CC1
ZINC11839492	CC1CC[NH+](Cc2ccc(C(=O)NC(C)c3cccc4ccccc34)c(=O)[nH]2)CC1
ZINC12183069	CC(=O)Nc1ccc(C[NH+]2CCOc3ccc(C(O)C4CCCCC4)cc3C2)s1
ZINC12292445	OC(C[NH+]1CCC(O)(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(Cl)cc1
ZINC12345387	COc1ccc(C2(O)CC3CCC(C2)[NH+]3Cc2cc(OC)c(O)cc2Cl)cc1
ZINC14956094	CC(C)(CO)[NH2+]C1CCc2c(sc3ncn(CCc4ccc(F)cc4)c(=O)c23)C1
ZINC27645523	O=S(=O)(NCC[NH2+]Cc1ccccc1Br)c1ccc(Cl)cc1
ZINC28958888	OC(C[NH2+]CCc1ccc(-c2csc(-c3ccccc3)n2)cc1)c1cccnc1
ZINC35011321	CCOc1c(Br)cc(C[NH2+]CC(=O)NC(C)C)cc1Br
ZINC36949154	CC(C)[NH2+]CC(O)COc1c(Br)cc(Br)cc1Br
ZINC36951230	CCC[NH2+]CC(O)COc1c(Br)cc(Br)cc1Br
ZINC37722426	C=C(Br)COc1c(Br)cc(CC([NH3+])CC)cc1OCC
ZINC37985098	COc1cc(C[NH2+]Cc2ccc(Br)s2)cc(Br)c1O
ZINC37997397	COc1cc(C[NH2+]Cc2cc(F)ccc2Br)cc(Br)c1O
ZINC38149463	CC(C)(O)C#Cc1ccc(CN2CC[NH+](CCc3ccccc3)C(CCO)C2)s1
ZINC39024845	O=C(NCC(O)c1ccccc1)C1=CC2=c3ccccc3=[NH+]C2C(c2ccccc2)=N1
ZINC39024846	O=C(NCC(O)c1ccccc1)C1=CC2=c3ccccc3=[NH+]C2C(c2ccccc2)=N1
ZINC39024848	O=C(NCC(O)c1ccccc1)C1=CC2=c3ccccc3=[NH+]C2C(c2ccccc2)=N1
ZINC39633417	O=C(NC1CCCCCC1)C1CN(C(=O)CCC2CCCC2)CC12CC[NH2+]CC2
ZINC39637191	CC1CCCC(NC(=O)C2CN(C(=O)CCC3CCCC3)CC23CC[NH2+]CC3)C1C
ZINC39666678	CCC(CC)CNC(=O)C1CN(C(=O)c2ccc(Cl)cc2Cl)CC12CC[NH2+]CC2
ZINC39667184	Cc1ccc(CCNC(=O)C2CN(C(=O)c3sccc3C)CC23CC[NH2+]CC3)c(C)c1
ZINC39694948	CCCC(C)C(=O)N1CC(C(=O)NCc2cccc(Cl)c2C)C2(CC[NH2+]CC2)C1
ZINC39700227	CCc1cccc(C)c1NC(=S)NC(C)C(c1cccs1)N1CC[NH+](CC)CC1
