ZINC04717953	CC1(C(=O)[O-])CCC(C(=O)N2CCCC2)C1(C)C
ZINC06253416	CC1CCCN(C(=O)C2CCCCC2C(=O)[O-])C1
ZINC00293126	O=C([O-])C1CCCCC1C(=O)N1CCCCCC1
ZINC08700113	O=C([O-])c1cnoc1-c1ccc(Br)cc1
ZINC09238410	CC1CCc2c(sc3nc(C(=O)[O-])cn23)C1
ZINC00167897	O=C([O-])c1ccc(N2CCN=C2S)cc1
ZINC11849087	Cc1cc(C)c2c(c1)OC(C)(C(=O)[O-])CC2=O
ZINC13320357	CC1CCCN(C(=O)C2CC=CCC2C(=O)[O-])C1
ZINC06613421	O=C([O-])C1CCCN(C(=O)C2CCCCC2)C1
ZINC19723893	Cc1ccccc1-n1ncc2c([S-])ncnc21
ZINC19723897	Cc1ccc(-n2ncc3c([S-])ncnc32)cc1C
ZINC19950345	Cc1cc2c(cc1Cl)C(=O)CC(C)(CC(=O)[O-])O2
ZINC20368964	Cc1cc(C)n(-c2ccc(/C=C/C(=O)[O-])cc2)n1
ZINC20564996	O=C([O-])c1ccc2c(c1)ncn2C/C=C/Cl
ZINC20587498	CC(C)=CC(=O)N1C(C(=O)[O-])CC2CCCCC21
ZINC20587503	CC(C)=CC(=O)N1C(C(=O)[O-])CC2CCCCC21
ZINC26549771	CCc1cc(-c2nnc([S-])s2)n(CC)n1
ZINC33418964	Cc1c(C(=O)[O-])sc2nc(C(C)(C)C)cn12
ZINC35185631	CC1CCCCN1C(=O)c1ccc(C(=O)[O-])s1
ZINC37460918	O=C([O-])C1CC1C(=O)N1CCCCCCC1
ZINC00248413	CCn1c2c(c3cc(C(=O)[O-])ccc31)CCCC2=O
ZINC39110949	Cc1cc(=O)n(-c2ccccc2)c([O-])c1C#N
ZINC39111073	CC1CCC2(CC1CCC(=O)[O-])OCCO2
ZINC44214468	O=C([O-])/C=C/c1ccc2oc(=O)ccc2c1
ZINC44225032	Cc1cc2occ(C(=O)[O-])c(=O)c2cc1C
ZINC45956356	CCc1nc(-n2nc(C)cc2C)nc([S-])c1C
ZINC47203178	O=C([O-])c1cc(Cl)cnc1OC(F)F
ZINC49531684	CC(c1ccccc1F)n1nnnc1[S-]
ZINC49848935	O=C([O-])c1c2c(cn(C3CCCC3)c1=O)CCCC2
ZINC50288133	Cc1nn(C(C)(C)C)c(C)c1C(C)C(=O)[O-]
ZINC50291162	O=C([O-])C1(C(=O)N2CCC3CCCCC3C2)CCC1
ZINC51075300	O=C([O-])c1coc(-c2ccc(Br)cc2)n1
ZINC53751261	[O-]c1nc(Cc2ccc(Br)cc2)no1
ZINC08729311	CC(C)C(=O)n1c([O-])c2ccccc2nc1=S
ZINC57833431	Cc1cc(=O)n(C(C)(C)C(=O)[O-])cc1Br
ZINC57956234	Cc1cc(C)cc(C2C(C(=O)[O-])CC(=O)N2C)c1
ZINC44375156	Cc1c(C(=O)[O-])cnn1C1CCCCC1
ZINC61122423	O=C([O-])c1cn(-c2cc(F)c(F)c(F)c2)cn1
ZINC13555624	Cc1ccc(/N=C/c2c([O-])cc(C)oc2=O)c(C)c1
ZINC61819746	CC1(C)CCN(C(=O)C2CCCCC2C(=O)[O-])CC1
ZINC61957801	Cc1cc(C)c(-c2cc(C(=O)[O-])n(C)n2)cc1C
ZINC62721112	CC1CN(c2c(F)cc(C(=O)[O-])cc2F)CCO1
ZINC62750040	O=C([O-])C1CCCCCC1N1CCOCC1
ZINC62765557	O=C([O-])C1CCCCC1Sc1ncccn1
ZINC62796145	CC1(C)CN(c2ccc(C(=O)[O-])cc2Cl)CCO1
ZINC62796383	Cc1ncn(-c2ccc(C(=O)[O-])cc2Cl)c1C
ZINC62831354	O=C([O-])c1nccnc1SC1CCCC1
ZINC62844570	CCC1(C(=O)[O-])CCN(C(=O)C2CC2C)CC1
ZINC62845764	CCC1(C(=O)[O-])CCN(c2nccs2)CC1
ZINC63066590	CC1(C)CCCN1C(=O)C1C2C=CC(C2)C1C(=O)[O-]
ZINC05182740	Cc1oc2ccc(O)c(C[NH+](C)Cc3ccccc3)c2c1C(=O)NC1CCCC1
ZINC05562996	CC(C)(C)c1[nH]n(-c2ccccc2)c2nc(=O)c(C[NH2+]Cc3cccs3)cc1-2
ZINC02709632	CCOc1cc(S(=O)(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)ccc1Br
ZINC06719731	Cc1c(Cc2ccccc2)c(=O)oc2c(C)c(O)c(C[NH2+]CC3CCCO3)cc12
ZINC11873886	O=C(CC1C(=O)NCC[NH+]1C1CCCC1)NC(c1ccccc1)c1ccccc1
ZINC12076298	COc1ccc2[nH]c(C[NH2+]C(C)c3cnn(-c4cccc(F)c4)c3C)c(C)c2c1
ZINC05092505	Oc1c(C(Nc2cccc[nH+]2)c2ccc(OC(F)F)cc2)ccc2cccnc12
ZINC14948965	Cn1nc2c(c1-c1ccc(F)cc1)CN(C(=O)CC([NH3+])Cc1cc(F)ccc1F)CC2
ZINC14999070	Cc1ccc2c(c1)C[NH+](CCNC(=O)CCc1c[nH]c3ccccc13)CC(C)O2
ZINC22463515	Cc1c(C(=O)NCC(c2ccccc2)[NH+]2CCCC2)[nH]c2c1C(=O)CC(C)(C)C2
ZINC35476890	Cc1cc[nH+]c(NC(c2ccccn2)c2c(NC(=O)c3ccccc3)sc(C)c2C)c1
ZINC36039500	C=CC[NH2+]CC(=O)/N=c1\[nH]c(-c2ccc(Cl)cc2)cn1-c1ccc(C)c(C)c1
