ZINC01615674	CC(O)C(NC(=O)c1cnc2ccccc2n1)C(=O)[O-]
ZINC05612944	O=C([O-])CCCNC(=O)NC1CCS(=O)(=O)C1
ZINC04522678	Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1S(=O)(=O)[O-]
ZINC11888718	O=C([O-])CNS(=O)(=O)c1ccc2c(c1)CC(=O)N2
ZINC19261934	CN(C)C(=O)CNC(=O)NC1(C(=O)[O-])CCCCC1
ZINC19427051	NC(=O)CC(NC(=O)c1cc(F)ccc1F)C(=O)[O-]
ZINC19427053	NC(=O)CC(NC(=O)c1cc(F)ccc1F)C(=O)[O-]
ZINC20214058	CC(O)C(NC(=O)c1cc([N+](=O)[O-])cn1C)C(=O)[O-]
ZINC20214069	CC(O)C(NC(=O)c1cc([N+](=O)[O-])cn1C)C(=O)[O-]
ZINC20259713	O=C1NC(C(=O)NC2(C(=O)[O-])CCCCC2)CS1
ZINC20259714	O=C1NC(C(=O)NC2(C(=O)[O-])CCCCC2)CS1
ZINC20745385	O=c1[nH]c(CP(=O)([O-])CO)nc2ccc(F)cc12
ZINC21954410	Cc1cccc(S(=O)(=O)NC(C(=O)[O-])C(C)O)c1
ZINC22164833	O=C(Cc1noc2ccccc12)NC(CO)C(=O)[O-]
ZINC32221280	Cn1c(=O)[nH]c(=O)c2[nH]c(CSCC(=O)[O-])nc21
ZINC35609673	O=C(c1cc([O-])[nH]c(=O)c1)N1CCN(CCO)CC1
ZINC37373449	O=C(NC(CO)C(=O)[O-])c1cc([N+](=O)[O-])ccc1F
ZINC37431929	CC(O)C(NC(=O)c1ccc(N(C)C)nc1)C(=O)[O-]
ZINC37432178	Cc1csc(=O)n1CC(=O)NC(C(=O)[O-])C(C)O
ZINC37456391	CC1(C)NC(=O)N(CC(=O)NC(C)(C(=O)[O-])C2CC2)C1=O
ZINC37561484	O=C1CCC(C(=O)NC2CCC(C(=O)[O-])CC2)=NN1
ZINC37731776	O=C([O-])c1c[nH][nH+]c1S(=O)(=O)[N-]c1ncccn1
ZINC37760215	O=C(NC1(C(=O)O)CCCCC1)c1ncccc1[O-]
ZINC39617576	O=C(NC1Nn2cnnc2S1)c1ccc([O-])nn1
ZINC39783559	O=C([O-])C1NN(c2nc(=O)cn[nH]2)C2CCCCC12
ZINC40533176	CCc1cccc(C)c1NC(=O)NC(CO)C(=O)[O-]
ZINC40576628	CC(NC(=O)NC(C(=O)[O-])C(C)O)c1cccs1
ZINC40605000	CC(NC(=O)NCC1COCCO1)(C(=O)[O-])C1CC1
ZINC40605148	CC(O)C(NC(=O)Nc1cccc(F)c1F)C(=O)[O-]
ZINC41034549	CC1CCCC(NC(=O)CN2C(=O)CNC2=O)(C(=O)[O-])C1
ZINC41545265	CC1(C(=O)NCC(=O)[O-])Oc2ccccc2NC1=O
ZINC42345931	COC/C([O-])=N/S(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC42696884	CC(CN(C)C(=O)Cc1cc(=O)[nH]c(=O)[nH]1)C(=O)[O-]
ZINC43428508	O=C([O-])CNC(=O)CNC(=O)N1CCOC2CCCC21
ZINC43511007	Cc1n[nH]c(C)c1C(=O)NC1(C(=O)[O-])CCSC1
ZINC43595733	O=C([O-])C1CC(O)CN1C(=O)C1NCCc2ccccc21
ZINC44927538	O=C1COc2ccc(C(=O)NCc3nnn[n-]3)cc2N1
ZINC44930369	Cc1n[nH]c(C)c1S(=O)(=O)NC(C)c1nnn[n-]1
ZINC48719222	O=C(NC1CCC(O)CC1)/C([O-])=N/c1nncs1
ZINC48720348	O=C(CNC(=O)/C([O-])=N/c1nncs1)NC1CC1
ZINC50215335	CCNC(=O)NC(=O)C(C)n1nnc(C(=O)[O-])c1C
ZINC50291476	O=C(CNC(=O)C1(C(=O)[O-])CCC1)N1CCNCC1
ZINC50420841	CC(NC(=O)NC(=O)/C=C/C(=O)[O-])c1nncn1C
ZINC55188255	Nc1nc(C(=O)NC2(C(=O)[O-])CCCCC2)cs1
ZINC56214104	O=C1CNC(/N=C(\[O-])c2ccc3c(c2)NC(=O)CO3)=N1
ZINC50213267	O=C(Cn1cc(C(=O)[O-])nn1)NNc1ccccn1
ZINC61844677	CCC1(C)NC(=O)N(C/C([O-])=N/c2ncn[nH]2)C1=O
ZINC62101727	O=C([O-])CCCC(=O)NC(=O)N1CCNC(=O)CC1
ZINC62324716	Cc1ccc2c(c1)S(=O)(=O)N=C(NCC(=O)[O-])N2
ZINC62383463	CC(C(=O)[O-])n1c(CO)cc(=O)c(O)c1CN(C)C
ZINC04716685	O=C([O-])CNS(=O)(=O)c1ccc2c(c1)CCC(=O)N2
ZINC19423897	Cc1cc(C(=O)NC(C(=O)[O-])C(C)O)c2ccccc2n1
ZINC20218141	O=C([O-])/C=C/C(=O)NC(=O)NC1CCS(=O)(=O)C1
ZINC23041549	O=C(NCCNC(=O)c1ccco1)c1ccc([O-])nn1
ZINC27739774	[NH-]S(=O)(=O)c1nnc(NN2C(=O)c3cccnc3C2=O)s1
ZINC33474721	CC1(C(=O)[O-])[NH2+]C(c2ccc(C#N)cc2)C2C([O-])=NC(=O)C21
ZINC33633872	NC(=O)CN1OC2C([O-])=NC(=O)C2C1c1ccc(F)cc1
ZINC34772311	Cc1ccc(C)c(C2[NH2+]C(C)(C(=O)[O-])C3C([O-])=NC(=O)C23)c1
ZINC34779048	Cc1c(C(=O)[O-])sc2c1c(=O)n(CC(N)=O)c(=O)n2C
ZINC36167276	Cc1n[nH]c(C)c1C(=O)NC1(C(=O)[O-])CCCCCC1
ZINC36277628	Cc1cc2c(NC(CO)C(=O)[O-])nc(Cl)nc2s1
ZINC36736444	Cc1n[nH]c(C)c1NS(=O)(=O)c1cnn(CC(=O)[O-])c1
ZINC37411597	NC(=O)CC(NC(=O)c1cc2cc(F)ccc2s1)C(=O)[O-]
