CHEMBL104592	CC(C(=O)[O-])c1ccc(-c2ccc3[nH]ccc3c2)cc1
CHEMBL441663	Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2CCCC3)cc1
CHEMBL229957	COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1OC)=C2
CHEMBL64396	O=C(Nc1cc(F)ccc1F)C1C(=O)N2c3ccc(F)cc3Cc3cccc1c32
CHEMBL64396	O=C(Nc1cc(F)ccc1F)c1c([O-])n2c3c(cccc13)Cc1cc(F)ccc1-2
CHEMBL228561	COc1ccc(C2=Cc3ccccc3C2)c(OC)c1OC
CHEMBL414824	CC(C)(C)c1cc(/C=C/c2cccnc2)cc(C(C)(C)C)c1O
CHEMBL40245	Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL1224097	COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)oc(=O)n3C)cc1
CHEMBL260553	CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O
CHEMBL305971	CCC1(CC(=O)[O-])OCC(Cc2ccccc2)c2c1[nH]c1ccccc21
CHEMBL176477	Cc1ccc2c(n1)Oc1ccc(C(C)C(=O)[O-])cc1C2
CHEMBL70478	COc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1
CHEMBL106828	C=Cc1cncc(-c2ccc(C(C)C(=O)[O-])cc2)c1
CHEMBL171335	NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1
CHEMBL118839	CC(C)(C)c1cc(-c2cccs2)cc2c1OCC2(C)C
CHEMBL418665	Cc1cc(NC(=O)C2C(=O)N3c4ccccc4Oc4cccc2c43)no1
CHEMBL418665	Cc1cc(NC(=O)c2c([O-])n3c4c(cccc24)Oc2ccccc2-3)no1
CHEMBL421385	COc1ccc2c(c1)c(CC(=O)NOCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL421608	CC1(C)CC(c2cc(C(C)(C)C)c3c(c2)C(C)(C)CO3)=NO1
