ZINC01637789	CCOP1(=O)CC(C)=C(Cl)C(OC)C1
ZINC16044655	Cn1ccnc1SCC1CCCCO1
ZINC12370353	ClCc1ccccc1Cn1cncn1
ZINC02390035	CC(=O)OC(C)(C)C(=O)Br
ZINC19833697	CN(CCC#N)C(=O)CC1CC2CCC1C2
ZINC20246936	Clc1ncc(CN2CCOCC2)s1
ZINC35658412	ClCCc1nnc(Cc2ccsc2)o1
ZINC35775726	CC1COCCN1C(=O)CCCCCl
ZINC36314498	C=CCOC1CCCN(C(=O)C(C)C)C1
ZINC37153093	N#CC1CCCC1OCCc1ccccn1
ZINC37634433	CC(I)C[N+](=O)[O-]
ZINC37732690	Cc1cc(C#N)ccc1S(=O)(=O)CCCl
ZINC37833176	C=CC(=O)N(C)Cc1ccc(Br)o1
ZINC37834778	CCN(CC1CCOC1)C(=O)C(C)Cl
ZINC00074044	COCc1cc(C)nc(SC)c1C#N
ZINC38085233	CC(C)(C)C(=O)CC1CCS(=O)(=O)C1
ZINC39503939	COC1CN(OC)C2(CCC(SC)C2)C1
ZINC36644047	C#CC/N=C1/SCC(C(=O)OCC)S1
ZINC40489916	CCCc1nc(CN2CCOCC2)cs1
ZINC40712290	CCOC1CCN(c2cccc(F)n2)CC1
ZINC41708521	O=C1CCCc2c1ccn2CCC1CCCO1
ZINC42324510	CC(C#N)CN(C)Cc1ccccc1C#N
ZINC42423527	CCOC1CCCN(C(=O)C(C)Cl)C1
ZINC42460399	CC(C#N)CN(C)C(=O)CC(F)(F)F
ZINC42495230	CC(=O)CC(=O)N(C)C1CCCC(C)C1
ZINC42530858	CC(C)N(CCC#N)c1ccc(F)cn1
ZINC43198682	COC(=O)CC1C(=O)C2CC1C(C)(C)C2
ZINC44813541	CCCC(C#N)C(=O)N1CCSCC1
ZINC44939550	CC1CCCCN1C(=O)COCC(F)(F)F
ZINC45049465	CCN(CC#N)C(=O)Cc1ccsc1
ZINC46084625	CN(C)/C=C(/C=O)c1ccnc2ccccc12
ZINC50985508	CC(C)C(Cl)C(=O)N1CCOCC1
ZINC50985532	CC(C)(C)C(Cl)C(=O)N1CCOCC1
ZINC51175481	CC1CN(CC2(C=O)CCCC2)CCO1
ZINC52174739	ClCc1nccn1CC1CCOCC1
ZINC53927572	CCC1COCCN1CC1CCCC1=O
ZINC53927575	CCC1COCCN1CC1CCCC1=O
ZINC54715649	CC(CCl)C(=O)N(C)Cc1cscn1
ZINC54861746	O=Cc1cnc(N2CCSCC2)s1
ZINC54861984	CCN(c1ncc(C(C)=O)s1)C1CC1
ZINC44427867	CCC(C#N)n1cc(Br)cn1
ZINC52179627	N#CC(C1CCOCC1)N1CCCCC1
ZINC61496196	CCC(Br)c1nnc(CC2CC2)o1
ZINC62337827	Cc1ncc(CN2CCCCC2C=O)s1
ZINC63040440	COCC(Br)Cc1cc(C)ncn1
ZINC63087112	Cc1cc(N(C)C(C)CC#N)ccc1C=O
ZINC64481334	O=C(CN1CCCCC1)C1=CC2N=CC=C2C=C1
ZINC64553107	Cc1nc(C(C)C)c(C(=O)N(C)C)s1
ZINC64556222	c1c(CN2CCSCC2)noc1C1CC1
ZINC66758924	CSCC(C)C(=O)N1CC(C)OCC1C
ZINC00705195	Cc1ccc2nc(-c3ccc(NC(=O)C4CCC(C)(C(=O)[O-])C4(C)C)cc3)sc2c1
ZINC08702020	O=C([O-])c1ccc(C2Nc3ccc(Br)cc3C3C4CCC(C4)C23)cc1
ZINC13350862	CCOc1cc(/C=C2\CCc3c2nc2ccccc2c3C(=O)[O-])cc(Cl)c1O
ZINC15107126	O=C1CC(c2ccccc2C(F)(F)F)c2sc(C(=O)[O-])c(-c3ccccc3)c2N1
ZINC17078960	CCC1CCc2c(sc(NC(=O)C3CC(C)=C(C)CC3C(=O)[O-])c2C#N)C1
ZINC17087394	N#Cc1c(NC(=O)C2CC=CCC2C(=O)[O-])sc2c1CCC(c1ccccc1)C2
ZINC17087396	N#Cc1c(NC(=O)C2CC=CCC2C(=O)[O-])sc2c1CCC(c1ccccc1)C2
ZINC17088049	CC1=C(C)CC(C(=O)Nc2sc(C)c(-c3ccc(C)cc3)c2C#N)C(C(=O)[O-])C1
ZINC17088576	CC(C)=C1C2CCC1C(C(=O)Nc1nc(-c3ccc(C)c(C)c3)cs1)C2C(=O)[O-]
ZINC17088577	CC(C)=C1C2CCC1C(C(=O)Nc1nc(-c3ccc(C)c(C)c3)cs1)C2C(=O)[O-]
ZINC06756211	Cn1c([O-])c(C2=Nc3ccccc3NC(/C=C/c3ccccc3)C2)c(=O)c2ccccc21
ZINC19861001	[S-]c1nnc(-c2ccc(Cl)cc2Cl)n1/N=C\c1c[nH]c2ccccc12
ZINC32121278	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1cccc(OC3CSC3)c1)N2
ZINC32121280	O=C([O-])c1cc(Cl)c2c(c1)C1C=CCC1C(c1cccc(OC3CSC3)c1)N2
ZINC32192962	COC(=O)c1ccc(C2Nc3c(Cl)ccc(C(=O)[O-])c3C3C=CCC32)cc1
ZINC34222223	O=C1N=C([N-]c2ccc(F)cc2)S/C1=C1/C(=O)Nc2ccc(Br)cc21
ZINC34766480	C=C(C)C1CCC2(C(=O)[O-])CCC3C4CCC5C/C(=N/O)CCC5C4CCC3C12
ZINC34776489	O=C([O-])c1ccc(C2Nc3c(Cl)cc(Cl)cc3C3C4CCC(C4)C23)cc1
ZINC34776550	O=C([O-])c1ccc(C2Nc3c(ccc(Cl)c3Cl)C3C4CCC(C4)C23)cc1
ZINC01454022	Cc1ccc(-c2ccc(C3NC(=O)C(C#N)=C([S-])N3c3ccccc3)o2)cc1Cl
ZINC37746324	Cc1ccc(O)c([N-]S(=O)(=O)c2c(Cl)cc(Br)cc2Cl)c1
ZINC04959448	O=C([O-])c1ccc2c(c1)C1C=CCC1C(c1cc3c(cc1Br)OCO3)N2
ZINC06748320	Cc1ccc(CSc2nc([O-])c3c(n2)NC(=O)CC3c2cccc(F)c2F)cc1
ZINC02594675	O=C1N=C([N-]c2ccccc2C(F)(F)F)S/C1=C1/C(=O)Nc2ccccc21
ZINC39456580	Cc1c(Cl)c2c(n1[O-])-c1nc3ccccc3c(-c3ccccc3O)c1C(=O)CC2
