ZINC06244154	N#CCCSc1nncc2ccccc12
ZINC13947244	CCC1CCCCN1S(=O)(=O)CC
ZINC01391812	CC(=O)c1ccc(/C(C#N)=C/N(C)C)s1
ZINC01703772	CCS(=O)(=O)C1CCC1OC(C)(C)C
ZINC01737245	CC1=C(CCC#N)C(=O)C(CCC#N)C(C)(C)C1
ZINC07344142	Cn1ccnc1SCC(=O)C(C)(C)C
ZINC16990922	CCC(C)P(=O)(N1CC1C)N1CC1C
ZINC32026789	CC1CN(C(C)C(=O)Cl)CC(C)O1
ZINC32909724	Cc1cccc(C(=O)N(C)C(C)C2CC2)n1
ZINC34797555	Cn1c(Cl)c(C=O)c(C=O)c1Cl
ZINC35782380	C/C=C\COC1CCCN(C(=O)CC)C1
ZINC37485626	N#CCCCSc1ncnc2ccccc12
ZINC37912536	CC1CCCN1S(=O)(=O)CCCCl
ZINC38074866	COCCCn1cc(Br)cn1
ZINC39504169	CCOC1CN(OC)C2(CCC(F)C2)C1
ZINC39505749	CCOC1CCC2(C1)CC(OCC)CN2F
ZINC39507731	CCON1CC(F)CC12CCC(OC)C2
ZINC40501234	CCCOC1CCCN(C(=O)C(C)Cl)C1
ZINC40885518	CN(c1ccc(CCl)nn1)C1CCSC1
ZINC41229880	COc1cc2c(cc1OC)C(C#N)CC2C
ZINC41271477	CC(c1cccs1)C(C#N)N1CCOCC1
ZINC41620180	CC(Cl)C(=O)N(CCC#N)C(C)(C)C
ZINC41620402	CC1CCCCC1N(CCC#N)C(=O)CCl
ZINC42652047	CCCc1nc(CN2CCOC(C)C2)cs1
ZINC43425354	CCC(CC#N)N1CCOC2CCCC21
ZINC44822429	CCC(C#N)C(=O)N(C)C1CCSC1
ZINC45660160	CCN(CC)C1(C#N)CCN(C(C)C)C1
ZINC50540486	CCn1cc(CC2CCCCC2=O)cn1
ZINC50985369	CC(C)CC(Cl)C(=O)N1CCOCC1
ZINC50985514	CCC(C)C(Cl)C(=O)N1CCOCC1
ZINC51176840	CC1COCCN1CC1(C=O)CCCC1
ZINC52724033	Clc1ncccc1COCC1CCCO1
ZINC54715485	Cc1occc1CN(C)C(=O)C(C)CCl
ZINC54715495	CC(CCl)C(=O)N(C)CC1CCCO1
ZINC54793323	ClCc1ccnc(CC2CCCO2)n1
ZINC54966794	Cc1nc(N(C)C2CCSC2)sc1C=O
ZINC57570958	C=C(Cl)CN1CCN(CC2CCCO2)CC1
ZINC58575444	CC(CC#N)N(C)Cc1cc(C#N)ccc1F
ZINC42451204	CCN(CCC#N)c1ccc(C#N)cc1C
ZINC60817261	CCCc1nc(Cn2ccccc2=O)cs1
ZINC61918711	O=C(CCCCCl)N1CCCOCC1
ZINC62108243	CCOCC1CCCN(C(=O)C2CC2)C1
ZINC62658874	CC(C1CC1)N(C)C(=O)c1cscn1
ZINC62749580	N#CCCN(C1CC1)C1CCCCCC1=O
ZINC63040426	COCC(Br)Cc1ccnc(C)n1
ZINC58279615	Cc1ccc(C(=O)N(CC#N)C2CC2)s1
ZINC65397985	CC(=O)N1CCOC(CCCC(C)C)C1
ZINC66828527	CSCC(C)C(=O)N(C)C1(C#N)CCC1
ZINC67210652	CCc1ncc(CN(C)C(=O)C2CC2)s1
ZINC67212021	CCc1ncc(CN(C)C(=O)C2CCC2)s1
ZINC03398108	O=C1NC2(CCOc3ccccc32)C(=O)N1Cc1ccccc1Cl
ZINC04944544	CSc1nc(=O)c2c(n1C)NC(=O)CC2c1ccc2ccccc2c1
ZINC06115456	O=c1cc(CSc2ncnc3sccc23)c2ccc(O)cc2o1
ZINC08710950	O=c1c2ccccc2[nH]c2ccc(Oc3ncnc4ccsc34)cc12
ZINC11222580	N#Cc1ccc(CN2C(=O)NC3(CCCc4sccc43)C2=O)c(F)c1
ZINC12466750	CCNC(=O)N1CCC2(CCCN(Cc3cccc(F)c3F)C2=O)C1
ZINC12687920	O=C(CC1CCS(=O)(=O)C1)Nc1ccc2oc3ccccc3c2c1
ZINC12687927	O=C(CC1CCS(=O)(=O)C1)Nc1ccc2oc3ccccc3c2c1
ZINC15972079	CC(NC(=O)c1ccccc1Br)c1nnc2ccccn12
ZINC16236115	Cc1c(C(=O)NC2CCS(=O)(=O)C2)oc2c1ccc1ccccc12
ZINC18068688	O=C(/N=c1/ncc2c([nH]1)CC(c1cccs1)CC2=O)c1ccccc1
ZINC20504064	CC1CCCC[NH+]1Cc1c([O-])ccc2c1O/C(=C\c1ccncc1)C2=O
ZINC20603478	COc1ccccc1-n1c(=S)[nH]c(=O)c2c(C(F)F)cc(C)nc21
ZINC23642401	CC1CCC2(CC1)NC(=O)N(CN1CCCC1c1cccs1)C2=O
ZINC27229795	Cn1cccc1/C=C1/SC(=S)N(NC(=O)C2CCCCC2)C1=O
ZINC13467969	CC1(C)Oc2ccc3ccc(=O)oc3c2/C(=C\Nc2ccccc2)C1=O
ZINC39275650	O=C(NC1CCCCC1)C1CCCN(C(=O)C2=CC3N=CC=C3C=C2)C1
ZINC39456965	CCOn1c(C)c(Cl)c2c1-c1[nH]c3ccccc3c(=O)c1C(=O)CC2
ZINC39697862	Cc1ccc(/C=N/NC(=O)C2N=NC=C2I)cc1
ZINC39867905	Cc1nc(NC(=O)c2ccc3nc4c(nc3c2)C2CCC4C2)sc1C
ZINC41889077	Cc1[nH+]ccn1C(C)(C(=O)[O-])c1cc2cc(Br)ccc2o1
ZINC44228343	CN(C(=O)c1cc2c([nH]c1=O)CCCC2=O)c1ccc2ccccc2c1
ZINC45738168	CC1CCCCN1C(=O)NC1CCN(C(=O)c2ccccc2F)CC1
ZINC48039552	Cc1ccc(C)c(NC(=O)N2CCN(C(=O)c3ccsc3)CC2)c1
ZINC48100683	CC1CCCN(C(=O)Nc2ccc(C(=O)N3CCCCC3C)cc2)C1
ZINC00066991	O=C1CCCC2=C1C(c1ccc(Br)cc1)n1ncnc1N2
ZINC54837455	Cc1nc(N2CCC(C(=O)NC3CC3)CC2)c2c3c(sc2n1)CCC3
