ZINC03839681	CC(=O)NC1C=C(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC02028125	NNC(=O)C1=NC2C(=O)NNC(=O)C2N=C1
ZINC01407259	NNC(=O)CSc1nc(N)cc2ncnn12
ZINC05124982	CNC(=O)NCC1OC(OC)C(O)C(O)C1O
ZINC00188127	C/C(=N\N)c1cc(C(=O)NN)c(=O)[nH]c1C
ZINC08377600	NNC(=O)c1ccc([N+](=O)[O-])cc1C(=O)NN
ZINC11568847	CC1Oc2cc(N)ccc2N(CC(=O)NN)C1=O
ZINC11568937	CC1Oc2ccc(N)cc2N(CC(=O)NN)C1=O
ZINC13960858	Cc1nn(C)cc1C1C(C(N)=O)C(=O)CC(C)(O)C1C(N)=O
ZINC29042142	O=S1(=O)NCC2C(O)C(O)C(O)C(O)N21
ZINC32267648	CC1Oc2c(N)cccc2N(CC(=O)NN)C1=O
ZINC19757494	CC1CN(CC(=O)NN)c2ccc(N)cc2O1
ZINC37040154	NS(=O)(=O)[N-]c1cccc(NC(=O)C[NH3+])c1
ZINC37338237	NC(=O)C1CCCN(C(=O)c2cccc(/C(N)=N/O)c2)C1
ZINC37934213	Nc1cc(N2CCN(CCO)CC2)cc(S(N)(=O)=O)c1
ZINC04257003	OCC1C(O)C(O)OC1N1N=CC(O)=NC1O
ZINC06562825	CC(=O)N(C(=N)NC(=N)N)c1ccc(N)cc1
ZINC40304606	CCNC(=O)C(C)NC(=O)c1cc(N)cc(N)c1
ZINC40304864	CNC(=O)C1CCN(C(=O)c2cc(N)cc(N)c2)CC1
ZINC40305468	CS(=O)(=O)N1CCC(NC(=O)c2cc(N)cc(N)c2)CC1
ZINC40321990	Nc1cc(N)cc(C(=O)N2CCCC2C(=O)NC2CC2)c1
ZINC40325905	CS(=O)(=O)NC1CCCN(C(=O)c2cc(N)cc(N)c2)C1
ZINC40348795	Cn1cc(S(=O)(=O)NC2CCC(C(N)=O)CC2)c(N)n1
ZINC42193267	CC(C(=O)NC(N)=O)S(=O)(=O)c1ccc(N)cc1
ZINC42420320	NC(=O)CC(NC(=O)N1CCC[NH2+]CC1)C(=O)[O-]
ZINC42420432	[NH3+]CCNC(=O)NC1(C(=O)[O-])CCCCCC1
ZINC42430398	CC(O)C(NC(=O)N1CCCC([NH3+])C1)C(=O)[O-]
ZINC42431222	CC(C)C(NC(=O)NC1CCCCC1[NH3+])C(=O)[O-]
ZINC42438901	CC1CCC(C(N)=O)CN1C(=O)C(=O)NCC(N)=S
ZINC44861401	CC(C(=O)N1CCCC(C(N)=O)C1)/C(N)=N/O
ZINC44861403	CC(C(=O)N1CCCC(C(N)=O)C1)/C(N)=N/O
ZINC45112993	CC(C)(NC(=O)c1cccc(/C(N)=N/O)c1)C(N)=O
ZINC48552663	CC1=C(C(=O)NN)CC(C(=O)NN)=C(C)N1
ZINC48844093	CC1CCC(NC(=O)NC2CCCCC2[NH3+])(C(=O)[O-])CC1
ZINC48844107	CC(NC(=O)NC1CCCCC1[NH3+])(C(=O)[O-])C1CC1
ZINC48961040	NC(=O)Cn1cc(NC(=O)Nc2cn[nH]c2)cn1
ZINC49519739	NC(=O)NC1CCCN(C(=O)CNC(=O)NC2CC2)C1
ZINC50244399	[NH3+]C1CCN(C(=O)NC(Cc2ccc(O)cc2)C(=O)[O-])C1
ZINC50251421	CC(O)C(NC(=O)N1CCC(C[NH3+])C1)C(=O)[O-]
ZINC50251424	CC(O)C(NC(=O)N1CCC(C[NH3+])C1)C(=O)[O-]
ZINC50251427	CC(O)C(NC(=O)N1CCC(C[NH3+])C1)C(=O)[O-]
ZINC50398165	NNc1ncc(S(=O)(=O)NC2CCCNC2=O)cn1
ZINC50398166	NNc1ncc(S(=O)(=O)NC2CCCNC2=O)cn1
ZINC52125885	NC(=O)NC(=O)CN1C(=O)c2cc(N)ccc2S1(=O)=O
ZINC55164158	Nc1nc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)n[nH]1
ZINC58937675	NC(=O)Cn1cc(NC(=O)C2CCN(C(N)=O)CC2)cn1
ZINC62723760	Nc1cc(S(=O)(=O)[O-])c2ccc(N)c(O)c2c1N
ZINC62915750	CC1(C(=O)[O-])CCN(C(=O)C([NH3+])CC(N)=O)C1
ZINC64858427	CC(O)C(O)C1=NC2C(=O)N=C([NH-])NC2=[NH+]C1
ZINC65734968	CC(Cc1cc(O)c(O)cc1Br)([NH2+]N)C(=O)[O-]
ZINC13800623	NS(=O)(=O)c1ccc(NC(=O)CNC(=O)C[NH3+])cc1
ZINC06850819	NC(=[NH2+])NCCc1ccc(S(N)(=O)=O)cc1
ZINC20286065	NC(=O)Nc1ncc2c(n1)CCC([NH3+])C2
ZINC31960869	CC([NH3+])C(=O)Nc1ccc(N2CCC(C(N)=O)CC2)cn1
ZINC05361453	COCc1cc(C)nc(N[NH+]=C(N)N)c1C#N
ZINC35114335	CC([NH2+]C(C)(C)CO)C(=O)NC(N)=O
ZINC35141982	CCNC(=O)C[NH2+]CC(=O)NC(N)=O
ZINC35149393	CC([NH2+]C(C)C(=O)NC(N)=O)C(N)=O
ZINC35149396	CC([NH2+]C(C)C(=O)NC(N)=O)C(N)=O
ZINC35791818	CC(NC(=O)C(=O)NCC[NH3+])C(N)=O
ZINC36745799	NS(=O)(=O)CCNC(=O)C1([NH3+])CCCCC1
ZINC36871766	CCC([NH3+])C(=O)NCCS(N)(=O)=O
ZINC37041261	CC([NH3+])C(=O)Nc1ccc(NC(N)=O)cc1
ZINC37041668	NS(=O)(=O)c1ccc(Cl)c(NC(=O)C2CC(O)C[NH2+]2)c1
ZINC37482020	CNC(=O)CNC(=O)C([NH3+])CC(N)=O
ZINC37482184	CC(NC(=O)C([NH3+])CC(N)=O)C(N)=O
ZINC37482186	CC(NC(=O)C([NH3+])CC(N)=O)C(N)=O
ZINC37571917	NS(=O)(=O)CCNC(=O)c1cc(F)ccc1C#CC[NH3+]
ZINC37581761	CC(NS(=O)(=O)c1ccc(C#CC[NH3+])cc1)C(N)=O
ZINC37627652	Cc1cc(S(N)(=O)=O)cc(NC(=O)CNC(=O)C[NH3+])c1C
ZINC37655124	CN(CC(N)=O)C(=O)C([NH3+])CC(N)=O
ZINC37739191	NC(=O)CC([NH3+])C(=O)NCC1CCOC1
ZINC37820926	CCC([NH3+])C(=O)N1CCCC(CNC(N)=O)C1
ZINC04955842	CC1=[NH+]C(C(=O)NN)=C(C)/C1=C(\C)NN
ZINC04738382	Nc1cc(C(=O)N/N=C2/C(=O)Nc3ccc(F)cc32)n[nH]c1=O
ZINC40457901	[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)NC1CCC(O)CC1
ZINC40462083	[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)NC1CCCC(O)C1
ZINC40463107	CC(C)(C)C([NH3+])C(=O)Nc1cnn(CC(N)=O)c1
