ZINC00112261	Cc1cc(C)c(C(=O)Nc2nnc(C(C)C)s2)c(C)c1
ZINC00142675	N#Cc1c(Cl)cccc1Oc1ccc(-c2ccn[nH]2)cc1
ZINC00053135	c1ccc2c(c1)OCC(CSc1nc3ccccc3[nH]1)O2
ZINC01278377	CC1=NN(C(C#N)c2ccccc2O)C(c2ccccc2)C1
ZINC04774900	CC(C)=NOC(=O)Nc1cc(Cl)c(Cl)cc1Cl
ZINC04820846	Cc1cc2nc(/C(C#N)=C/c3cn(C)c4ccccc34)[nH]c2cc1C
ZINC00045376	Cc1occc1C(=O)N/N=C/c1ccc(Cl)c(Cl)c1
ZINC05520383	Cc1ccc(NC2=NC(=O)/C(=C\c3cccn3C)S2)cc1
ZINC00545011	Cc1noc(C)c1-c1ccc(C(=O)Nc2ccccc2)s1
ZINC05121376	Cc1ccc(NS(=O)(=O)c2ccc(Cl)nc2)cc1C
ZINC03566206	Cc1cc(C)cc(NS(=O)(=O)c2ccc(Cl)nc2)c1
ZINC00064287	Cc1ccc(C)c(NC(=O)/C=C/c2ccc3c(c2)OCO3)c1
ZINC09220660	Cc1cccc(NCc2cc(=O)n3cccc(C)c3n2)c1C
ZINC10251956	CC(C)c1ccc2nc(NC(=O)C3CCCO3)sc2c1
ZINC12594403	O=C(CC1C=CCC1)Nc1ccc2c(c1)OC1(CCCC1)O2
ZINC12900418	CCNC(=O)c1sc2nc(C(C)(C)C)nc(C)c2c1C
ZINC12917871	Cc1cc(C)c2cc(C(=O)N(C)Cc3ccc(C)o3)[nH]c2c1
ZINC14478601	Cc1ccccc1C1Nc2c(C)cc([N+](=O)[O-])cc2C2C=CCC21
ZINC19770737	c1ccc(-c2ccc(-c3cccc(-c4cc[nH]n4)c3)nn2)cc1
ZINC20714068	Cc1ccccc1C1Nc2c(C)cc([N+](=O)[O-])cc2C2C=CCC21
ZINC27232890	Cc1cc(C)c2c(CC(=O)Nc3ncccc3C)coc2c1
ZINC27640414	Cc1ccc(NC(=O)Cc2coc3c(C)c(C)ccc23)nc1
ZINC28429425	Cc1cccc(CCC2NCCc3c2sc2ncnn32)c1
ZINC28429430	Cc1cccc(CCC2NCCc3c2sc2ncnn32)c1
ZINC35429451	Cc1cc(Cl)ccc1Oc1nc2sccn2c1CO
ZINC36152850	CCCc1nnc2n1NC(c1ccc(C)c(C)c1)CS2
ZINC36825414	CCc1ccc(-c2noc(C3=C(C)C(C)SC3=N)n2)cc1
ZINC36952941	CC1CCCC(Nc2cc(Cl)ccc2-n2cncn2)C1
ZINC37273915	Cc1ncsc1C(C)Nc1ccc2c(c1)OC(C)(C)O2
ZINC37298964	Cc1ccc(NC2CSCc3ccccc32)c([N+](=O)[O-])c1
ZINC00228248	Cc1cc(C(=O)N/N=C/c2cccc3ccccc23)c(C)o1
ZINC07996562	Cc1ccc2nc(N/N=C\c3cccc(C)n3)cc(C)c2c1
ZINC40794415	CCn1nc(C)c(Cl)c1C(=O)Nc1ccc(C)cc1C
ZINC42247772	Cc1cc(NC2CCSc3ccccc32)ccc1[N+](=O)[O-]
ZINC42373700	Cc1nnc(NC(C)c2ccc(Cl)s2)c(C#N)c1C
ZINC47332863	CCC(C)N(C)C(=O)Nc1nc2c(C)cc(C)cc2s1
ZINC49321846	O=[N+]([O-])c1ccc(NC2CCc3c(Cl)cccc32)cc1
ZINC51073508	CC(NC(=O)c1cccc(Cl)n1)c1cc2ccccc2o1
ZINC54452361	O=C(Oc1ccc2ccccc2c1)c1c[nH]c(=O)c(Cl)c1
ZINC03897150	C(=N/Nc1ccc2ccccc2n1)\c1ccc2ccccc2n1
ZINC12528414	CC1CCCC/C1=N\NC(=O)c1ccccc1-n1cccc1
ZINC61325365	c1nnc(-c2ccc(NC3CCCc4sccc43)cc2)o1
ZINC61327137	Cc1ccc([N+](=O)[O-])cc1NC1CCCc2sccc21
ZINC61639382	CNc1ccc(Cl)c(Cn2cnc3cc(C)c(C)cc32)n1
ZINC13692168	Cc1noc2c1C(c1ccc(C(C)C)cc1)C1=C(CCCC1=O)N2
ZINC62235883	Cc1ccc(-c2c(CO)nnn2-c2ccc(C)c(C)c2)cc1
ZINC09218587	CC(C)SC1=NN/C(=C2\C=Nc3ccccc32)N1C1CC1
ZINC06818779	CC(=O)c1[nH]c(C)c(C(=O)NC2CCCCCCC2)c1C
ZINC65149005	CCC(C)NC(=O)N1CCc2cn(CC)c3cccc(c23)C1
ZINC66430906	CC1(CNC(=O)c2c(Cl)nc3ccccn23)CCCC1
ZINC04084181	Cc1ccc(O)c(C(=O)/C=C/c2cc(Cl)cc3c2OCOC3)c1
ZINC04061284	Fc1cccc2sc(Nc3nc(-c4cccnc4)cs3)nc12
ZINC04323409	O=C(Nc1ccc(Cl)cc1)n1nccc1/C=C/c1cccs1
ZINC01064855	O=C1SC(Nc2cccc3ccccc23)C(=O)N1c1ccccc1
ZINC04025544	CC(C)C(=O)Nc1ccc(-c2cn3c4c(sc3n2)CCCC4)cc1
ZINC00386550	CC1CC(=O)NC(=S)N1c1ccc(Oc2ccccc2)cc1
ZINC04772739	Cc1ccc(C(=O)/C=C/c2cc(Cl)cc3c2OCOC3)c(O)c1
ZINC05087687	CSc1ccc2nc(Nc3ccc4c(c3)OCCO4)sc2c1
ZINC05517024	C/C(=N\NC(=O)c1csc2c1CCCC2)c1cc2ccccc2o1
ZINC02069619	O=S(=O)(Oc1ccc2ccc(O)cc2c1)c1ccc(Cl)cc1
ZINC06045462	Cc1cc(C(=O)N/N=C/C2=CCC3CC2C3(C)C)c2ccccc2n1
ZINC03252955	O=S(=O)(NN=C1c2ccccc2-c2ccccc21)c1ccccc1
ZINC06366722	Cc1ccc(NC2=NC(=O)/C(=C\c3ccc(C#N)cc3)S2)c(C)c1
