ZINC00227558	CC1=C(C(=O)OC(C)C)C(c2ccccc2F)CC(=O)N1
ZINC05567824	COc1ccc(C2CC(CO)ON2c2ccccc2)cc1
ZINC07654748	CCc1ccc2c(CC(=O)Nc3nccs3)coc2c1
ZINC07816319	CC(Sc1nncs1)C(=O)NC1CCCCCC1
ZINC08550048	COc1ccc(C2CC(c3ccc(C)cc3)=NN2)cc1OC
ZINC09338867	Cc1ccc(NC2SC(=O)N(CC(C)C)C2=O)c(C)c1
ZINC09338868	Cc1ccc(NC2SC(=O)N(CC(C)C)C2=O)c(C)c1
ZINC12858514	CC(C)(C)c1ccccc1NC(=O)CN1CCSC1=O
ZINC18940936	Cc1ccccc1CNS(=O)(=O)c1ccc(Cl)nc1
ZINC20088909	COc1ccc(C)cc1NCc1ccc2c(c1)OCCO2
ZINC20900794	CCC(C)NC1=NS(=O)(=O)C(c2ccc(C)cc2)=C1C
ZINC20900869	CCCNC1=NS(=O)(=O)C(c2ccc(C)c(C)c2)=C1C
ZINC23053397	C=CCOc1ccc(/C=C2/Oc3cc(O)ccc3C2=O)cc1
ZINC27231137	CC1COCCN1Cc1csc(Nc2ccccc2)n1
ZINC04587850	Cc1n[nH]c(C)c1Sc1ccccc1/N=C/c1ccco1
ZINC36939577	Cc1noc(-c2ccccc2NCc2sccc2C)n1
ZINC36939656	Cc1noc(-c2ccccc2NC(C)c2cccs2)n1
ZINC37019611	Fc1ccc(CNc2ccc(-n3cccn3)nc2)cc1F
ZINC37087058	Cc1ccc(CNc2cccc(N3CCOC3=O)c2)s1
ZINC37121967	Clc1ccccc1CNc1cccnc1-n1cccn1
ZINC37216150	COc1ccc(NCc2c(C)nc3scc(C)n23)cc1
ZINC37282949	Cc1ncsc1C(C)Nc1ccc(-n2cccn2)cc1
ZINC37362105	O=C1COc2ccc(C(=O)CCC3CCCCC3)cc2N1
ZINC37742027	S=c1[nH]nc(-c2ccccn2)n1CCC1CCCCC1
ZINC06946302	O=C(CSc1nncs1)NC1CCCCCCC1
ZINC40857555	Cc1ccc(-c2ccnc(NCc3ccncc3)n2)cc1C
ZINC41393978	CCCNc1nc2sc3c(c2c(=O)n1CC)CCCC3
ZINC41394344	C=CCn1c(NCC)nc2sc3c(c2c1=O)CCCC3
ZINC43240889	CCc1ccc(CN(C)C(=O)Nc2nc(C)cs2)cc1
ZINC43658704	CC(O)C(C)Cc1ccc([N+](=O)[O-])cc1Br
ZINC44499109	CC(Nc1ccc(-c2nccs2)cc1)c1cnn(C)c1
ZINC45257584	CC(=O)C(C)OC(=O)c1ccc2[nH]c3c(c2c1)CCCC3
ZINC46618026	CCC(=O)NCC1(c2ccc3c(c2)OCCO3)CCCC1
ZINC48336651	CN(CC(O)c1ccc2c(c1)OCO2)c1ccc(F)cc1
ZINC48894241	COc1cc(CNc2ncnc3sccc23)ccc1C
ZINC49053769	CN(Cc1cscn1)C(=O)NC1CC1c1ccccc1
ZINC49055870	CC1Sc2ccc(C(=O)OCC3CC3C)cc2NC1=O
ZINC49278245	O=C(NCC1CC=CCC1)c1csc(-c2ccco2)n1
ZINC49447818	Cc1noc(Cl)c1CCC(=O)NC1CCCC(C)C1
ZINC55003517	CCC1COCCN1c1nc(C(C)(C)C)c(CO)s1
ZINC36851505	CCCN1C(=O)CC(Nc2ccc(F)cc2Cl)C1=O
ZINC61765157	CC(Nc1nccn(C(C)(C)C)c1=O)c1ccc(F)cc1
ZINC62200595	CC(O)COc1cccc2sc(-c3ccccn3)nc12
ZINC62263319	OCc1nnn(-c2ccccc2)c1/C=C/c1ccc(F)cc1
ZINC62496337	CCCN1C(=O)C(Cc2ccccc2)Oc2ccc(O)cc21
ZINC62607562	CCCC(=O)N1CCNC(=O)C1c1ccc(C(C)C)cc1
ZINC62757757	CC(C)c1[nH+]ccn1C1CC(C(C)(C)C)CCC1C(=O)[O-]
ZINC63400987	C#CCN(Cc1ccco1)C(=O)NC1CCc2ccccc21
ZINC63857163	Cc1ccc(CCNC(=O)C2N=NC3=C2CCCC3)s1
ZINC65216747	CCCn1cc(C(=O)NC2CCCCC2)c2cccnc21
ZINC02715005	C=CCNc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(Cl)cc1
ZINC01498251	CC(Nc1cc(-c2ccncc2)nc(-c2ccccc2)n1)c1ccccc1
ZINC01372123	CCc1nc(SCC(=O)NC2CCCCC2)c2c(C)c(C)sc2n1
ZINC04414192	CCOC(=O)C1=C(/N=C/c2cccc(F)c2O)SC2CCCCC12
ZINC01217590	O=C(/C=C/c1ccc2c(c1)OCO2)NC(c1ccccc1)c1ccccc1
ZINC04581552	O=C(COC(=O)c1cc2c(s1)CCC2)NC12CC3CC(CC(C3)C1)C2
ZINC02849064	CCOC(=O)c1c(NC(=O)c2cc(C)ccc2C)sc2c1CCCC2
ZINC04886057	Cc1ccc(C)c(NC(=O)COC(=O)c2cc3c(s2)CCC(C)C3)c1
ZINC04911098	Cc1c(C(=O)OCC(C)C)[nH]c2c1C(=O)CC(c1ccccc1Cl)C2
ZINC06704540	CCC(=O)Nc1ccc(C2SCC(=O)N2c2ccc(CC)cc2)cc1
ZINC02647909	CC(NC(=O)COc1ccc2oc3ccccc3c2c1)c1ccccc1
ZINC03536426	Cc1cccc(C(=O)OCC(=O)c2ccc(Br)s2)c1O
ZINC08062009	CC(C)C(NC(=O)/C=C/c1ccc(F)cc1)c1ccc2c(c1)OCCO2
ZINC01469488	C/C(=N/NC(=O)CCn1c2c(c3ccccc31)CCCC2)c1ccccc1
ZINC09759397	CCc1cc(C(=O)NC(C)c2nc3ccccc3n2C(F)F)sc1C
ZINC13806086	O=C(Nc1ccc(SCc2ccccc2Cl)nn1)c1cccs1
ZINC14545375	CCOc1ccccc1C1Nc2c(OC)ccc(OC)c2C2C=CCC21
ZINC15835297	Cc1ccc2cccc(NC(=O)C(C)Oc3ccc(C(C)C)cc3)c2n1
ZINC07054584	Cc1ccc(S(=O)(=O)Nc2cccc(/C=C/c3ccccn3)c2)cc1
ZINC16346975	Cc1ccc(NC(c2ccccc2)c2nnc(-c3ccccc3)o2)cc1F
