ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC19258413	CC(C)CC(NC(=O)NCC(=O)N1CCCC1)C(=O)[O-]
ZINC19817158	CCC(C)(NC(=O)NCC(=O)N(C)C(C)C)C(=O)[O-]
ZINC20358196	CC(C)C(NC(=O)NCCCN1CCOCC1)C(=O)[O-]
ZINC35383604	O=C([O-])CNC(=O)CNC(=O)CCC1CCCO1
ZINC35383817	O=C([O-])CNC(=O)CNC(=O)C1Cc2cc(Cl)ccc2O1
ZINC35383970	N#CCSCC(=O)NCC(=O)NCC(=O)[O-]
ZINC36133274	CCNC(=O)C(C)NS(=O)(=O)CCC(=O)[O-]
ZINC36981487	Cc1nc(=O)[nH]c(C)c1CC(=O)NC(C)CC(=O)[O-]
ZINC37013852	CC(=O)Nc1ccc(F)c(NS(=O)(=O)CC(=O)[O-])c1
ZINC37224910	CNC(=O)CNS(=O)(=O)CCCC(=O)[O-]
ZINC37431841	CC(O)C(NC(=O)C1CCN(C(=O)C2CC2)CC1)C(=O)[O-]
ZINC37461500	CS(=O)(=O)NCCNC(=O)C1CC1C(=O)[O-]
ZINC37744849	CC(NS(=O)(=O)c1cn[nH]c1)(C(=O)[O-])C1CC1
ZINC37836083	O=C(NCCCO)C1CCN(C(=O)C2CC2C(=O)[O-])CC1
ZINC37931977	CN(CCC(=O)[O-])C(=O)C1CCCN(C(N)=O)C1
ZINC38000511	CCNC(=O)NC(=O)C(C)S(=O)CCC(=O)[O-]
ZINC40532165	COC(=O)CNC(=O)NCCCC(=O)[O-]
ZINC40571355	CN(C)C(=O)CNC(=O)NCCC(=O)[O-]
ZINC40571666	CN(C)C(=O)CNC(=O)NC(C(=O)[O-])C1CCCCC1
ZINC40573947	CNC(=O)CN(C)C(=O)NC(CCSC)C(=O)[O-]
ZINC40590373	O=C([O-])CCCNC(=O)NC1CCS(=O)(=O)CC1
ZINC40595249	CCOC(=O)CNC(=O)NC(C(=O)[O-])C(C)C
ZINC40604935	CC(C)C(NC(=O)NCC1COCCO1)C(=O)[O-]
ZINC41037606	CC1CCCCC1(NC(=O)c1c[nH]c(=O)cn1)C(=O)[O-]
ZINC41044717	CCNC(=O)C(C)NC(=O)COCC(=O)[O-]
ZINC41044827	CC(C)NC(=O)NC(=O)COCC(=O)[O-]
ZINC41064629	CC(=O)Nc1cc(NC(=O)COCC(=O)[O-])ccc1F
ZINC42571104	CNC(=O)C(C)NS(=O)(=O)C(C)C(=O)[O-]
ZINC42575930	CC(NC(=O)NC(C(=O)[O-])C(C)C)C(=O)N(C)C
ZINC43437826	COC(=O)C(NC(=O)NC(C)(C(=O)[O-])C1CC1)C(C)C
ZINC44594669	CC1CCCCC1(NC(=O)NCCS(C)(=O)=O)C(=O)[O-]
ZINC44728209	CCOCC(C)NC(=O)NC(=O)CCC(=O)[O-]
ZINC44882233	CCC(C)C(NC(=O)NC1(C)CCS(=O)(=O)C1)C(=O)[O-]
ZINC44882259	CC1(NC(=O)NC(C)(C(=O)[O-])C2CC2)CCS(=O)(=O)C1
ZINC45013000	CN(C)C(=O)CCNC(=O)NC1(C(=O)[O-])CCCCC1
ZINC45013884	CCC(C)NC(=O)CCNC(=O)N1CCCC1C(=O)[O-]
ZINC48372285	NC(=O)C1CCCCN1C(=O)COCC(=O)[O-]
ZINC48844470	O=C([O-])c1cccc(C(=O)NCC(=O)N2CCNCC2)c1
ZINC49364776	COC(=O)C(C)NC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC49502909	CC(CN1CCOCC1)NC(=O)NC(C(=O)[O-])C(C)(C)C
ZINC49947131	O=C(O)CCCCCNC1=NC(=O)CC([O-])=N1
ZINC50604024	CC(NC(=O)NCC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC50604089	CC(C)(C)C(NC(=O)NCC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC51602398	NS(=O)(=O)CCCN1CC(C(=O)[O-])CCC1=O
ZINC51602407	CC1CC(=O)N(CCCS(N)(=O)=O)C(C)C1C(=O)[O-]
ZINC57340215	CC(=O)Nc1cccc(S(=O)(=O)NCC(=O)[O-])c1
ZINC50397470	O=C([O-])CS(=O)(=O)NC1CCCNC1=O
ZINC61368362	CC(NC(=O)NC(=O)COCC(=O)[O-])c1ccsc1
