ZINC00519932	O=C1NN(c2ccccc2)C(=O)C2C1C1C=CC2C12CC2
ZINC04484399	Cc1ccccc1NC(=O)C1Oc2ccccc2OC1C
ZINC05576624	CCn1c(O)c(/C=C2\C=Nc3ccccc32)sc1=O
ZINC06523001	CC1CCCC(NC(=O)c2c(Cl)cnn2C)C1C
ZINC09642784	Cc1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)on1
ZINC12940267	CCN1C(=O)NC2(CCCCc3ccccc32)C1=O
ZINC19479631	CC1CC(C)CN(C(=O)C2CNc3ccccc3O2)C1
ZINC21814355	Cc1ccccc1-c1noc(C2=CCSC2=N)n1
ZINC35057420	CC1CN/C(=N\c2ccc3c(c2)OC(F)(F)O3)S1
ZINC35673026	O=C1NC(c2ccccc2)c2c1oc1ccccc1c2=O
ZINC36260902	CC1Oc2cc(O)ccc2N(Cc2ccc(F)cc2)C1=O
ZINC36352796	Cn1c(C(=O)Nc2ccccc2F)cc2occc21
ZINC36756470	O=C1NC(c2ccccc2)C(=O)N1c1ccc(Cl)cc1
ZINC36865617	CC(C)n1c(N2CCC3CCCCC3C2)n[nH]c1=S
ZINC36946201	CC1Oc2ccc(C(=O)C3CCCCC3)cc2NC1=O
ZINC36973481	N#Cc1cc(NC2CCS(=O)(=O)CC2)ccc1Cl
ZINC37970112	N#CC1(NC2CCCCCC2)CCC2(CC1)OCCO2
ZINC38010193	Cc1cc(C)c(C(=O)[O-])c(N2C(C)CCCC2C)[nH+]1
ZINC06409187	Cc1cc(C)[nH]/c(=N\S(=O)(=O)c2cccs2)c1
ZINC39316127	Cc1ccc(C2C(=O)[NH+]=c3ccccc3=C2C(=O)[O-])cc1
ZINC39412769	CN1N=CC2=NC(c3cccc(Cl)c3Cl)NC21
ZINC41057270	CC(C)c1n[nH]c(-c2ccc(Br)o2)n1
ZINC41706720	Cc1n[nH]c(C)c1-n1ccc2c1CC(C)(C)CC2=O
ZINC42332612	O=S1(=O)CCc2nc(-c3ccccc3O)sc2C1
ZINC42336406	CCC1COC(C)CN1C(=O)c1ccc(Cl)cc1O
ZINC42608048	CC1CCCCC1N(C)c1ccc2c(c1)NC(=O)C2=O
ZINC42795984	CC(Cl)C(=O)NC(=O)N1CCc2sccc2C1C
ZINC42812172	CC1CN(C(=O)NC(C)c2ccc(F)c(F)c2)CCO1
ZINC43040578	CC1CCCC(NC(=O)N2CCOCC2C)C1C
ZINC43427867	Cc1ccc(O)c(C(=O)N2CCOC3CCCC32)c1
ZINC43427887	Cc1ccc(C(=O)N2CCOC3CCCC32)c(O)c1
ZINC43554408	CCC(Cl)c1nc2sc3c(c2c(=O)[nH]1)CCOC3
ZINC43594456	c1ccc2c(c1)CCNC2c1nc(-c2ccsc2)no1
ZINC44479281	CC1CN(C(=O)c2ccc(Cl)cc2O)CC(C)(C)O1
ZINC44592992	c1cc2c(s1)CCNC2c1nc(C2CCCC2)no1
ZINC45143149	CC(C#N)N(C)C(=O)Nc1ccc(Cl)c(Cl)c1
ZINC49250781	CON(C)C(=O)c1cc(C)cc(Br)c1O
ZINC49975921	Cc1ccc(N(C)C(=O)NC(=O)C(C)Cl)c(C)c1
ZINC50743129	CNc1cc(C(=O)N2CC(C)CC(C)C2)cc(Cl)n1
ZINC51732908	CC1CCN(C(=O)C2CNc3ccccc3O2)C(C)C1
ZINC52063180	[S-]c1nnc(N2CC[NH+](C3CCCC3)CC2)s1
ZINC54189067	O=C(c1ccc2[nH]c(=O)oc2c1)c1cccc(F)c1F
ZINC37756566	N=C1SC2CCCC2=C1c1nc(C2CCCC2)no1
ZINC61821158	CC1(C)CCN(c2n[nH]c(=S)n2C2CCCC2)CC1
ZINC62942748	O=C([O-])C1CCCCCC1[NH+]1CCCN2CCCC2C1
ZINC62943078	O=C([O-])c1cccc(F)c1N1CCC[NH+]2CCCC2C1
ZINC13898547	C/C(=N\O)c1cc2cc(Br)ccc2oc1=O
ZINC13898547	C/C(=N/O)c1cc2cc(Br)ccc2oc1=O
ZINC01277640	Oc1c(Cl)cc(Cl)cc1/C=N/c1cnccn1
ZINC64034301	CON1C=CC23CC(C)CCC2OC2=C3C(CC(O)C2)C1
ZINC21213861	CC1CCc2c(C(=O)Nc3nncs3)csc2C1
ZINC03849928	C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(OC(C)=O)CCC32)C1
ZINC01972864	CC1CCc2c(sc3ncnc(NC(C)c4ccccc4)c23)C1
ZINC00315155	Cc1ccc(C2Nc3ccccc3C(=O)N2c2ccc(C)cc2)cc1
ZINC00225492	CC12CCCCC1C2C(=O)N/N=C/c1ccc(Br)cc1
ZINC04611937	CC1CCc2c(sc(NC(=O)C3CC3c3ccccc3)c2C#N)C1
ZINC00510716	Cc1ccc(C(=O)N/N=C/c2sccc2C)cc1Br
ZINC00246067	Cc1ccc(C)c(NS(=O)(=O)c2cc(Cl)ccc2Cl)c1
ZINC01725492	Cc1ccc(C2Nc3ccccc3S(=O)(=O)C2c2ccccc2)cc1
ZINC05618231	Cc1ccc(Cl)cc1NS(=O)(=O)c1cc(Cl)ccc1Cl
ZINC02765831	N#Cc1c(NC(=O)C2CC2c2ccccc2)sc2c1CCCCC2
ZINC02863229	Cc1ccc(S(=O)(=O)Nc2ccc(Cl)c(C)c2Cl)cc1
ZINC06763775	CC1Oc2ccccc2C=C1/C=C/C(=O)Nc1ccccc1Cl
ZINC00397674	O=S(=O)(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1
ZINC13468862	O=C1Nc2ccccc2/C1=C/c1sccc1Oc1ccccc1
ZINC13645849	COc1ccc(OC)c2c1NC(c1sccc1C)C1CC=CC21
ZINC14544011	COc1ccc2ccccc2c1C1Nc2ccc(C#N)cc2C2C=CCC21
ZINC15223099	Cc1ccc(NC(=O)/C(C#N)=C\c2ccc(Br)cc2)c(C)c1
ZINC18212558	CC(NC(=O)c1ccc(Br)o1)c1ccc2c(c1)CCCC2
ZINC19014962	O=C(Nc1nc2c(s1)CCCCCC2)C1CC2C=CC1C21CC1
ZINC19861924	CC(=O)OC1CCC2(C)C3=C(CCC2C1)c1cccc(O)c1CC3
ZINC24756491	O=C(Nc1ccccc1F)N1CCc2sccc2C1c1cccs1
ZINC31532099	O=C(Nc1ccccc1N1CCc2ccccc21)c1ccccc1F
ZINC33503408	CC(O)c1c(C(C)(C)C)nc2c(Cl)cc(C(F)(F)F)cn12
ZINC33521305	CC(C)(C)C1CCc2c(sc3nc(CCCl)[nH]c(=O)c23)C1
ZINC20594251	CC(Cl)c1nc2sc3c(c2c(=O)[nH]1)CCC(C(C)(C)C)C3
ZINC37129092	Clc1ccc(CNc2c(Cl)cc(Cl)c3nsnc23)s1
ZINC37129217	CC(Nc1c(Cl)cc(Cl)c2nsnc12)c1ccc(F)cc1
ZINC00616758	O=C(Nc1cccc2ccccc12)N1CC=C(c2ccccc2)CC1
ZINC38337843	CC(C)C(=O)N1c2ccccc2-c2ccccc2C1C(C)(C)CO
ZINC39526406	CCON1C(c2ccccc2O)CCCC12CCCC(Cl)C2
ZINC40095441	Cc1ccc(NC(=O)N(C)Cc2ccccc2Br)c(C)c1
ZINC40096713	O=C(Nc1cc(Cl)cc(Cl)c1)N1CCCC(C(F)(F)F)C1
