ZINC04018031	NC(=S)N/N=C/C(O)C(O)C(O)CO
ZINC04477398	[NH2+]=C1NNC(=[NH2+])C1=NNc1ccc([N+](=O)[O-])cc1
ZINC04529966	NC(=S)NNC1OCC(O)C(O)C1O
ZINC04718899	NC(=O)NC1C(O)OC(CO)C(O)C1O
ZINC04718902	NC(=O)NC1C(O)OC(CO)C(O)C1O
ZINC01674441	Nc1nc(N)nc(CCc2nc(N)nc(N)n2)n1
ZINC05131877	NC(=O)NC1OC(CO)C(O)C(O)C1O
ZINC05224152	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
ZINC01605714	CC(C)C([NH3+])C(=O)NNC(=O)C([NH3+])C(C)C
ZINC05736110	CC1OC(O)C(O)C(O)C1[NH2+]C1C=C(CO)C(O)C(O)C1O
ZINC06158052	[NH3+]C1C=C(C(=O)[O-])OC(C(O)C(O)CO)C1O
ZINC06468498	CC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
ZINC06469326	CC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
ZINC04772566	Nc1ncc(C2OC(CO)C(O)C2O)c(N)n1
ZINC15134554	[NH2+]=C1NC2C(N1)N(C=O)C1NC(=[NH2+])NC1N2C=O
ZINC16137473	NC(=S)NNC1OCC(O)C(O)C1O
ZINC16322549	CC(O)C(O)C(O)C(O)C1NNC(=S)NN1
ZINC19319963	CNC(NCCCCc1n[nH]c(N)n1)[NH2+]C#N
ZINC22059715	CC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC22059719	CC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC22591934	[NH3+]CCNC1OC(CO)C(O)C(O)C1O
ZINC32107339	OCC(O)C(O)C(O)C(O)C1[NH2+]CCS1
ZINC33665985	O=c1[nH]c(Nc2[nH]c(=O)[nH]c(=O)[nH+]2)[nH+]c(=O)[nH]1
ZINC17527325	Nc1nc(N)nc(CSc2n[nH]c(N)n2)n1
ZINC04320893	OCC(O)C(O)C(O)C(O)C1[NH2+]CCS1
ZINC38646447	C=CCOCC(O)CN/C(N)=N/C(N)=[NH2+]
ZINC40736212	CCN(CCO)c1nc[nH+]c(NN)c1N
ZINC40759723	NNc1[nH+]cnc(Nc2cccnc2)c1N
ZINC41679629	C[NH+](C)CCCCNC(=O)C([NH3+])CC(N)=O
ZINC44019145	[NH3+]C1C=C(C(=O)[O-])OC(C(O)C(O)CO)C1O
ZINC44250091	CCC1(C)C(C[NH3+])C(=O)NC(=O)C1C[NH3+]
